,专用设备制造业大中型工业企业亏损企业单位数,仪器仪表制造业大中型工业企业亏损企业单位数,其他制造业大中型工业企业亏损企业单位数,其他采矿业大中型工业企业亏损企业单位数,农副食品加工业大中型工业企业亏损企业单位数,化学原料和化学制品制造业大中型工业企业亏损企业单位数,化学纤维制造业大中型工业企业亏损企业单位数,医药制造业大中型工业企业亏损企业单位数,印刷和记录媒介复制业大中型工业企业亏损企业单位数,大中型工业企业亏损企业单位数,家具制造业大中型工业企业亏损企业单位数,废弃资源综合利用业大中型工业企业亏损企业单位数,开采辅助活动大中型工业企业亏损企业单位数,文教、工美、体育和娱乐用品制造业大中型工业企业亏损企业单位数,有色金属冶炼和压延加工业大中型工业企业亏损企业单位数,有色金属矿采选业大中型工业企业亏损企业单位数,木材加工和木、竹、藤、棕、草制品业大中型工业企业亏损企业单位数,橡胶和塑料制品业大中型工业企业亏损企业单位数,水的生产和供应业大中型工业企业亏损企业单位数,汽车制造业大中型工业企业亏损企业单位数,烟草制品业大中型工业企业亏损企业单位数,煤炭开采和洗选业大中型工业企业亏损企业单位数,燃气生产和供应业大中型工业企业亏损企业单位数,电力、热力生产和供应业大中型工业企业亏损企业单位数,电气机械和器材制造业大中型工业企业亏损企业单位数,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业亏损企业单位数,石油加工、炼焦和核燃料加工业大中型工业企业亏损企业单位数,石油和天然气开采业大中型工业企业亏损企业单位数,纺织业大中型工业企业亏损企业单位数,纺织服装、服饰业大中型工业企业亏损企业单位数,计算机、通信和其他电子设备制造业大中型工业企业亏损企业单位数,通用设备制造业大中型工业企业亏损企业单位数,造纸和纸制品业大中型工业企业亏损企业单位数,酒、饮料和精制茶制造业大中型工业企业亏损企业单位数,金属制品、机械和设备修理业大中型工业企业亏损企业单位数,金属制品业大中型工业企业亏损企业单位数,铁路、船舶、航空航天和其他运输设备大中型工业企业亏损企业单位数,非金属矿物制品业大中型工业企业亏损企业单位数,非金属矿采选业大中型工业企业亏损企业单位数,食品制造业大中型工业企业亏损企业单位数,黑色金属冶炼和压延加工业大中型工业企业亏损企业单位数,黑色金属矿采选业大中型工业企业亏损企业单位数
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012年,259,73,29,0,218,476,56,99,69,8327,88,7,9,161,209,39,45,276,135,324,6,398,35,529,491,185,237,6,521,436,826,334,130,146,20,228,145,508,17,118,399,40
2013年,258,70,34,0,265,524,50,110,67,8203,105,12,15,163,249,63,49,239,141,308,2,517,36,488,480,205,220,8,446,432,774,336,110,121,21,236,131,446,17,97,319,39
2014年,284,77,26,0,319,551,40,116,67,8425,78,13,10,151,264,75,39,251,135,322,4,640,34,559,473,162,254,8,436,377,676,338,132,134,19,236,138,423,27,112,348,77
