,专用设备制造业大中型工业企业销售费用,仪器仪表制造业大中型工业企业销售费用,其他制造业大中型工业企业销售费用,其他采矿业大中型工业企业销售费用,农副食品加工业大中型工业企业销售费用,化学原料和化学制品制造业大中型工业企业销售费用,化学纤维制造业大中型工业企业销售费用,医药制造业大中型工业企业销售费用,印刷和记录媒介复制业大中型工业企业销售费用,大中型工业企业销售费用,家具制造业大中型工业企业销售费用,废弃资源综合利用业大中型工业企业销售费用,开采辅助活动大中型工业企业销售费用,文教、工美、体育和娱乐用品制造业大中型工业企业销售费用,有色金属冶炼和压延加工业大中型工业企业销售费用,有色金属矿采选业大中型工业企业销售费用,木材加工和木、竹、藤、棕、草制品业大中型工业企业销售费用,橡胶和塑料制品业大中型工业企业销售费用,水的生产和供应业大中型工业企业销售费用,汽车制造业大中型工业企业销售费用,烟草制品业大中型工业企业销售费用,煤炭开采和洗选业大中型工业企业销售费用,燃气生产和供应业大中型工业企业销售费用,电力、热力生产和供应业大中型工业企业销售费用,电气机械和器材制造业大中型工业企业销售费用,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业销售费用,石油加工、炼焦和核燃料加工业大中型工业企业销售费用,石油和天然气开采业大中型工业企业销售费用,纺织业大中型工业企业销售费用,纺织服装、服饰业大中型工业企业销售费用,计算机、通信和其他电子设备制造业大中型工业企业销售费用,通用设备制造业大中型工业企业销售费用,造纸和纸制品业大中型工业企业销售费用,酒、饮料和精制茶制造业大中型工业企业销售费用,金属制品、机械和设备修理业大中型工业企业销售费用,金属制品业大中型工业企业销售费用,铁路、船舶、航空航天和其他运输设备大中型工业企业销售费用,非金属矿物制品业大中型工业企业销售费用,非金属矿采选业大中型工业企业销售费用,食品制造业大中型工业企业销售费用,黑色金属冶炼和压延加工业大中型工业企业销售费用,黑色金属矿采选业大中型工业企业销售费用
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,544.7764,140.03998,28.90167,0.23724,521.87602,1175.75507,45.22879,1641.15638,50.01643,15840.16152,106.67404,6.08621,7.79533,120.19031,220.38704,30.77397,76.1638,294.65063,61.68386,1391.63699,140.82558,678.76361,68.6577,136.41652,1432.63216,208.89641,238.63436,40.81111,243.83377,451.63331,1405.71811,636.92869,199.56355,887.92375,13.02627,266.96571,188.05746,520.01493,42.37183,998.4826,510.00879,65.96514
2013年,591.35,155.14,32.37,0.19,633.1,1278.52,47.36,1915.28,61.9,17589.41,131.41,6.68,3.44,150.4,265.89,31.14,97.01,339.74,67.82,1725.69,140.83,646.4,73.38,130.45,1643.73,222.42,252.69,44.73,275.64,474.93,1292.4,723.53,216.29,1003.26,13.16,315.27,193.14,590.41,49.55,1139.84,541.89,71.02
2014年,583.75,183.45,35.78,0.33,597.23,1484.05,50.52,2241.5,71.89,19091.29,142.83,7.27,2.99,163.73,289.83,38.0,105.81,363.89,75.39,1835.73,128.69,623.38,82.77,89.1,1809.4,231.77,291.25,42.6,297.87,495.36,1614.38,749.81,226.53,1057.83,5.6,329.76,229.32,616.91,56.45,1178.62,584.94,74.98
