,专用设备制造业大中型工业企业主营业务收入,仪器仪表制造业大中型工业企业主营业务收入,其他制造业大中型工业企业主营业务收入,其他采矿业大中型工业企业主营业务收入,农副食品加工业大中型工业企业主营业务收入,化学原料和化学制品制造业大中型工业企业主营业务收入,化学纤维制造业大中型工业企业主营业务收入,医药制造业大中型工业企业主营业务收入,印刷和记录媒介复制业大中型工业企业主营业务收入,大中型工业企业主营业务收入,家具制造业大中型工业企业主营业务收入,废弃资源综合利用业大中型工业企业主营业务收入,开采辅助活动大中型工业企业主营业务收入,文教、工美、体育和娱乐用品制造业大中型工业企业主营业务收入,有色金属冶炼和压延加工业大中型工业企业主营业务收入,有色金属矿采选业大中型工业企业主营业务收入,木材加工和木、竹、藤、棕、草制品业大中型工业企业主营业务收入,橡胶和塑料制品业大中型工业企业主营业务收入,水的生产和供应业大中型工业企业主营业务收入,汽车制造业大中型工业企业主营业务收入,烟草制品业大中型工业企业主营业务收入,煤炭开采和洗选业大中型工业企业主营业务收入,燃气生产和供应业大中型工业企业主营业务收入,电力、热力生产和供应业大中型工业企业主营业务收入,电气机械和器材制造业大中型工业企业主营业务收入,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业主营业务收入,石油加工、炼焦和核燃料加工业大中型工业企业主营业务收入,石油和天然气开采业大中型工业企业主营业务收入,纺织业大中型工业企业主营业务收入,纺织服装、服饰业大中型工业企业主营业务收入,计算机、通信和其他电子设备制造业大中型工业企业主营业务收入,通用设备制造业大中型工业企业主营业务收入,造纸和纸制品业大中型工业企业主营业务收入,酒、饮料和精制茶制造业大中型工业企业主营业务收入,金属制品、机械和设备修理业大中型工业企业主营业务收入,金属制品业大中型工业企业主营业务收入,铁路、船舶、航空航天和其他运输设备大中型工业企业主营业务收入,非金属矿物制品业大中型工业企业主营业务收入,非金属矿采选业大中型工业企业主营业务收入,食品制造业大中型工业企业主营业务收入,黑色金属冶炼和压延加工业大中型工业企业主营业务收入,黑色金属矿采选业大中型工业企业主营业务收入
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,15878.18087,3855.73326,1180.51267,7.96089,23113.59158,37219.17355,5046.27276,11036.76052,1744.41318,603021.39,2754.49891,939.29592,1345.5828,5584.38,27428.74149,2795.84136,2683.42223,11204.09002,744.01804,41583.0246,7252.27081,25611.9989,1694.14484,43987.78238,35210.14616,7060.42864,34777.95109,11206.02176,17557.36578,9865.32086,62823.12612,20034.41238,6610.90166,8825.23695,583.09361,12718.97046,12121.35011,17404.33454,1085.35473,9646.65199,56850.11629,3948.91656
2013年,17655.03,4286.87,1258.74,5.97,27159.47,42471.22,5119.27,13039.01,2219.06,665283.32,3266.49,1022.43,1882.34,6752.06,31805.79,3072.22,3418.06,12894.21,820.4,48262.3,7942.07,24576.82,1853.59,46874.6,39854.05,7750.82,36059.45,11348.68,20062.96,11056.97,67581.33,22705.06,6763.45,9679.02,602.26,14513.53,11992.86,20458.22,1266.55,11446.59,60080.79,4402.7
2014年,18063.02,4861.46,1393.38,6.39,27981.13,46216.83,5016.84,15232.61,2477.78,705027.12,3523.73,1220.59,1898.19,7483.36,35236.08,3254.18,3830.9,14073.76,932.03,54819.19,8410.08,23061.98,2266.09,45269.47,43754.29,8391.42,36491.32,11144.79,21414.41,11951.51,75282.73,23733.67,7261.29,10268.47,526.49,15752.18,13831.9,22146.09,1283.25,12508.8,58480.14,4275.32
