,专用设备制造业大中型工业企业利润总额,仪器仪表制造业大中型工业企业利润总额,其他制造业大中型工业企业利润总额,其他采矿业大中型工业企业利润总额,农副食品加工业大中型工业企业利润总额,化学原料和化学制品制造业大中型工业企业利润总额,化学纤维制造业大中型工业企业利润总额,医药制造业大中型工业企业利润总额,印刷和记录媒介复制业大中型工业企业利润总额,大中型工业企业利润总额,家具制造业大中型工业企业利润总额,废弃资源综合利用业大中型工业企业利润总额,开采辅助活动大中型工业企业利润总额,文教、工美、体育和娱乐用品制造业大中型工业企业利润总额,有色金属冶炼和压延加工业大中型工业企业利润总额,有色金属矿采选业大中型工业企业利润总额,木材加工和木、竹、藤、棕、草制品业大中型工业企业利润总额,橡胶和塑料制品业大中型工业企业利润总额,水的生产和供应业大中型工业企业利润总额,汽车制造业大中型工业企业利润总额,烟草制品业大中型工业企业利润总额,煤炭开采和洗选业大中型工业企业利润总额,燃气生产和供应业大中型工业企业利润总额,电力、热力生产和供应业大中型工业企业利润总额,电气机械和器材制造业大中型工业企业利润总额,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业利润总额,石油加工、炼焦和核燃料加工业大中型工业企业利润总额,石油和天然气开采业大中型工业企业利润总额,纺织业大中型工业企业利润总额,纺织服装、服饰业大中型工业企业利润总额,计算机、通信和其他电子设备制造业大中型工业企业利润总额,通用设备制造业大中型工业企业利润总额,造纸和纸制品业大中型工业企业利润总额,酒、饮料和精制茶制造业大中型工业企业利润总额,金属制品、机械和设备修理业大中型工业企业利润总额,金属制品业大中型工业企业利润总额,铁路、船舶、航空航天和其他运输设备大中型工业企业利润总额,非金属矿物制品业大中型工业企业利润总额,非金属矿采选业大中型工业企业利润总额,食品制造业大中型工业企业利润总额,黑色金属冶炼和压延加工业大中型工业企业利润总额,黑色金属矿采选业大中型工业企业利润总额
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,1213.69169,352.14973,73.38674,1.13298,1459.8032,2109.02193,198.12298,1307.72667,179.97277,40570.17,194.85153,83.63821,0.85032,304.7735,1135.70356,457.54347,204.64436,753.07398,28.34331,3673.82175,1018.07299,3048.40733,180.34045,2059.08647,2317.29275,561.20737,75.23368,4036.91916,1042.28169,736.04079,2797.7889,1510.69931,402.67516,1185.59064,26.9799,874.80663,715.30521,1490.95989,105.20958,968.59695,1041.64706,642.77423
2013年,1279.69,403.81,79.89,0.55,1534.05,2269.03,192.23,1482.75,214.63,44007.22,216.53,69.63,-25.72,367.73,1149.46,351.26,249.27,960.77,41.72,4400.21,1165.19,2022.35,193.12,2991.87,2625.44,581.03,367.07,3611.87,1233.94,819.17,3124.44,1668.93,414.89,1260.43,27.31,998.48,688.63,1770.74,124.17,1123.01,1321.67,635.97
2014年,1175.93,463.34,89.27,0.54,1451.33,2312.43,195.06,1723.95,240.09,44152.91,241.91,88.04,36.15,404.08,1087.91,311.38,257.77,973.05,73.09,5259.14,1146.36,966.77,204.75,2945.07,2928.99,623.78,-111.0,3080.84,1255.4,863.16,3784.11,1698.92,387.81,1204.6,14.0,1027.46,839.13,1815.35,114.17,1209.92,1225.23,543.62
