,专用设备制造业大中型工业企业实收资本,仪器仪表制造业大中型工业企业实收资本,其他制造业大中型工业企业实收资本,其他采矿业大中型工业企业实收资本,农副食品加工业大中型工业企业实收资本,化学原料和化学制品制造业大中型工业企业实收资本,化学纤维制造业大中型工业企业实收资本,医药制造业大中型工业企业实收资本,印刷和记录媒介复制业大中型工业企业实收资本,大中型工业企业实收资本,家具制造业大中型工业企业实收资本,废弃资源综合利用业大中型工业企业实收资本,开采辅助活动大中型工业企业实收资本,文教、工美、体育和娱乐用品制造业大中型工业企业实收资本,有色金属冶炼和压延加工业大中型工业企业实收资本,有色金属矿采选业大中型工业企业实收资本,木材加工和木、竹、藤、棕、草制品业大中型工业企业实收资本,橡胶和塑料制品业大中型工业企业实收资本,水的生产和供应业大中型工业企业实收资本,汽车制造业大中型工业企业实收资本,烟草制品业大中型工业企业实收资本,煤炭开采和洗选业大中型工业企业实收资本,燃气生产和供应业大中型工业企业实收资本,电力、热力生产和供应业大中型工业企业实收资本,电气机械和器材制造业大中型工业企业实收资本,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业实收资本,石油加工、炼焦和核燃料加工业大中型工业企业实收资本,石油和天然气开采业大中型工业企业实收资本,纺织业大中型工业企业实收资本,纺织服装、服饰业大中型工业企业实收资本,计算机、通信和其他电子设备制造业大中型工业企业实收资本,通用设备制造业大中型工业企业实收资本,造纸和纸制品业大中型工业企业实收资本,酒、饮料和精制茶制造业大中型工业企业实收资本,金属制品、机械和设备修理业大中型工业企业实收资本,金属制品业大中型工业企业实收资本,铁路、船舶、航空航天和其他运输设备大中型工业企业实收资本,非金属矿物制品业大中型工业企业实收资本,非金属矿采选业大中型工业企业实收资本,食品制造业大中型工业企业实收资本,黑色金属冶炼和压延加工业大中型工业企业实收资本,黑色金属矿采选业大中型工业企业实收资本
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,2906.42408,676.40836,220.29561,0.64739,1921.35637,7171.08404,760.03767,1971.53827,462.84615,102440.99487,427.99232,47.50492,796.70768,592.56929,3381.47504,500.91317,309.19466,1797.18858,1245.55508,5387.13785,883.23866,4637.85355,573.08654,11888.97321,5117.82366,795.69143,4490.03695,5219.34133,2312.72026,1275.92296,9604.71425,3217.46278,2096.83396,1406.66377,183.2821,1857.15143,2496.84132,3975.73109,177.11592,1335.79108,7248.96404,1068.87805
2013年,3493.45,720.11,243.55,0.86,2272.55,8319.55,875.88,2197.05,531.85,110438.29,509.31,50.4,1202.45,699.98,3769.01,520.27,361.23,2464.28,1352.23,5809.77,899.95,4724.22,655.11,12046.57,5481.9,830.69,4526.2,6145.9,2441.76,1413.72,8887.18,3568.69,2183.93,1482.57,205.06,2109.61,2512.2,4245.53,210.53,1496.78,7767.48,1208.92
2014年,3529.39,776.97,247.07,1.15,2591.56,8894.89,901.61,2444.47,564.35,117704.77,497.33,76.28,1075.7,740.68,4229.84,553.28,373.3,2207.49,1401.62,6248.43,915.2,5151.59,1034.11,11815.97,6039.89,864.4,4899.25,6368.84,2594.59,1492.94,10202.5,3766.72,2322.2,1611.11,208.72,2271.09,2754.24,4537.47,211.82,1678.92,8273.7,1334.08
