,专用设备制造业大中型工业企业单位数,仪器仪表制造业大中型工业企业单位数,其他制造业大中型工业企业单位数,其他采矿业大中型工业企业单位数,农副食品加工业大中型工业企业单位数,化学原料和化学制品制造业大中型工业企业单位数,化学纤维制造业大中型工业企业单位数,医药制造业大中型工业企业单位数,印刷和记录媒介复制业大中型工业企业单位数,大中型工业企业单位数,家具制造业大中型工业企业单位数,废弃资源综合利用业大中型工业企业单位数,开采辅助活动大中型工业企业单位数,文教、工美、体育和娱乐用品制造业大中型工业企业单位数,有色金属冶炼和压延加工业大中型工业企业单位数,有色金属矿采选业大中型工业企业单位数,木材加工和木、竹、藤、棕、草制品业大中型工业企业单位数,橡胶和塑料制品业大中型工业企业单位数,水的生产和供应业大中型工业企业单位数,汽车制造业大中型工业企业单位数,烟草制品业大中型工业企业单位数,煤炭开采和洗选业大中型工业企业单位数,燃气生产和供应业大中型工业企业单位数,电力、热力生产和供应业大中型工业企业单位数,电气机械和器材制造业大中型工业企业单位数,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业单位数,石油加工、炼焦和核燃料加工业大中型工业企业单位数,石油和天然气开采业大中型工业企业单位数,纺织业大中型工业企业单位数,纺织服装、服饰业大中型工业企业单位数,计算机、通信和其他电子设备制造业大中型工业企业单位数,通用设备制造业大中型工业企业单位数,造纸和纸制品业大中型工业企业单位数,酒、饮料和精制茶制造业大中型工业企业单位数,金属制品、机械和设备修理业大中型工业企业单位数,金属制品业大中型工业企业单位数,铁路、船舶、航空航天和其他运输设备大中型工业企业单位数,非金属矿物制品业大中型工业企业单位数,非金属矿采选业大中型工业企业单位数,食品制造业大中型工业企业单位数,黑色金属冶炼和压延加工业大中型工业企业单位数,黑色金属矿采选业大中型工业企业单位数
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,2275.0,834.0,330.0,5.0,2766.0,3208.0,303.0,1463.0,586.0,63314.0,914.0,101.0,50.0,1617.0,1217.0,448.0,821.0,2239.0,329.0,2599.0,91.0,2280.0,181.0,1968.0,4226.0,2366.0,600.0,49.0,3799.0,3991.0,4662.0,3104.0,1051.0,1009.0,136.0,2420.0,1139.0,4118.0,299.0,1497.0,1780.0,443.0
2013年,2425.0,843.0,322.0,2.0,3046.0,3417.0,301.0,1539.0,662.0,65514.0,968.0,96.0,59.0,1765.0,1262.0,438.0,914.0,2316.0,338.0,2759.0,86.0,2182.0,188.0,1975.0,4410.0,2364.0,596.0,52.0,3774.0,3943.0,4806.0,3266.0,1013.0,1103.0,130.0,2601.0,1113.0,4322.0,318.0,1569.0,1769.0,462.0
2014年,2400.0,854.0,331.0,2.0,3024.0,3441.0,284.0,1609.0,685.0,65301.0,933.0,108.0,60.0,1822.0,1292.0,432.0,925.0,2369.0,344.0,2922.0,83.0,1998.0,196.0,1927.0,4437.0,2290.0,584.0,53.0,3627.0,3786.0,4860.0,3224.0,993.0,1122.0,117.0,2644.0,1149.0,4396.0,299.0,1584.0,1668.0,427.0
