,专用设备制造业大中型工业企业流动负债合计,仪器仪表制造业大中型工业企业流动负债合计,其他制造业大中型工业企业流动负债合计,其他采矿业大中型工业企业流动负债合计,农副食品加工业大中型工业企业流动负债合计,化学原料和化学制品制造业大中型工业企业流动负债合计,化学纤维制造业大中型工业企业流动负债合计,医药制造业大中型工业企业流动负债合计,印刷和记录媒介复制业大中型工业企业流动负债合计,大中型工业企业流动负债合计,家具制造业大中型工业企业流动负债合计,废弃资源综合利用业大中型工业企业流动负债合计,开采辅助活动大中型工业企业流动负债合计,文教、工美、体育和娱乐用品制造业大中型工业企业流动负债合计,有色金属冶炼和压延加工业大中型工业企业流动负债合计,有色金属矿采选业大中型工业企业流动负债合计,木材加工和木、竹、藤、棕、草制品业大中型工业企业流动负债合计,橡胶和塑料制品业大中型工业企业流动负债合计,水的生产和供应业大中型工业企业流动负债合计,汽车制造业大中型工业企业流动负债合计,烟草制品业大中型工业企业流动负债合计,煤炭开采和洗选业大中型工业企业流动负债合计,燃气生产和供应业大中型工业企业流动负债合计,电力、热力生产和供应业大中型工业企业流动负债合计,电气机械和器材制造业大中型工业企业流动负债合计,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业流动负债合计,石油加工、炼焦和核燃料加工业大中型工业企业流动负债合计,石油和天然气开采业大中型工业企业流动负债合计,纺织业大中型工业企业流动负债合计,纺织服装、服饰业大中型工业企业流动负债合计,计算机、通信和其他电子设备制造业大中型工业企业流动负债合计,通用设备制造业大中型工业企业流动负债合计,造纸和纸制品业大中型工业企业流动负债合计,酒、饮料和精制茶制造业大中型工业企业流动负债合计,金属制品、机械和设备修理业大中型工业企业流动负债合计,金属制品业大中型工业企业流动负债合计,铁路、船舶、航空航天和其他运输设备大中型工业企业流动负债合计,非金属矿物制品业大中型工业企业流动负债合计,非金属矿采选业大中型工业企业流动负债合计,食品制造业大中型工业企业流动负债合计,黑色金属冶炼和压延加工业大中型工业企业流动负债合计,黑色金属矿采选业大中型工业企业流动负债合计
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,8572.29887,1590.89251,525.74229,0.77062,6388.35783,15811.5324,2317.85968,3908.87734,698.26659,250485.05077,946.78774,200.4726,933.67118,1326.77409,10533.81464,1015.25653,588.49791,3775.69388,1167.86432,16452.74631,1653.00089,15733.58319,1086.68799,21313.15705,15362.22545,1585.25692,10060.48193,4196.7244,5639.85415,2816.35632,21349.67815,9960.82279,3618.36088,3435.66265,445.52846,4839.10676,8872.02992,8166.66579,357.40524,2736.56829,28475.60791,2024.10831
2013年,9351.66,1724.66,649.83,0.41,7517.37,18781.47,2441.66,4534.86,793.28,278252.37,1126.56,237.52,1404.87,1537.61,12450.41,1132.4,704.08,4016.89,1339.41,19379.62,1899.13,17409.71,1216.16,22934.51,17056.89,1701.62,11109.15,4597.96,5971.25,2968.86,22408.85,11249.18,3746.61,3787.73,449.83,5229.48,8611.89,9235.99,478.23,3117.25,31463.15,2484.35
2014年,9268.75,1943.56,666.85,0.28,7672.13,20844.6,2492.72,5315.25,769.7,299248.95,1128.64,305.12,1277.32,1817.01,14242.82,1259.09,717.75,4251.52,1563.1,21798.85,1681.54,19066.99,1449.29,23748.12,18369.69,1773.47,11691.23,4505.17,5846.1,3058.51,27508.47,11515.08,4024.7,3920.28,386.99,5813.37,9581.12,9745.03,471.92,3411.61,31529.02,2816.22
