,专用设备制造业大中型工业企业产成品,仪器仪表制造业大中型工业企业产成品,其他制造业大中型工业企业产成品,其他采矿业大中型工业企业产成品,农副食品加工业大中型工业企业产成品,化学原料和化学制品制造业大中型工业企业产成品,化学纤维制造业大中型工业企业产成品,医药制造业大中型工业企业产成品,印刷和记录媒介复制业大中型工业企业产成品,大中型工业企业产成品,家具制造业大中型工业企业产成品,废弃资源综合利用业大中型工业企业产成品,开采辅助活动大中型工业企业产成品,文教、工美、体育和娱乐用品制造业大中型工业企业产成品,有色金属冶炼和压延加工业大中型工业企业产成品,有色金属矿采选业大中型工业企业产成品,木材加工和木、竹、藤、棕、草制品业大中型工业企业产成品,橡胶和塑料制品业大中型工业企业产成品,水的生产和供应业大中型工业企业产成品,汽车制造业大中型工业企业产成品,烟草制品业大中型工业企业产成品,煤炭开采和洗选业大中型工业企业产成品,燃气生产和供应业大中型工业企业产成品,电力、热力生产和供应业大中型工业企业产成品,电气机械和器材制造业大中型工业企业产成品,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业产成品,石油加工、炼焦和核燃料加工业大中型工业企业产成品,石油和天然气开采业大中型工业企业产成品,纺织业大中型工业企业产成品,纺织服装、服饰业大中型工业企业产成品,计算机、通信和其他电子设备制造业大中型工业企业产成品,通用设备制造业大中型工业企业产成品,造纸和纸制品业大中型工业企业产成品,酒、饮料和精制茶制造业大中型工业企业产成品,金属制品、机械和设备修理业大中型工业企业产成品,金属制品业大中型工业企业产成品,铁路、船舶、航空航天和其他运输设备大中型工业企业产成品,非金属矿物制品业大中型工业企业产成品,非金属矿采选业大中型工业企业产成品,食品制造业大中型工业企业产成品,黑色金属冶炼和压延加工业大中型工业企业产成品,黑色金属矿采选业大中型工业企业产成品
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,1056.1807,195.16871,48.04314,0.09791,931.88179,1386.05075,270.67339,610.44591,79.84455,21458.97255,118.01736,35.51441,20.49423,366.21467,1157.09744,112.03533,107.24133,511.7786,4.103,1450.77355,205.26107,603.70358,25.20194,57.80507,1723.28691,211.32723,876.02173,92.53268,837.21248,610.85959,1712.97877,1176.12838,301.02955,373.81861,24.32046,548.75701,333.43699,763.06284,36.67619,294.96114,2062.49654,126.43702
2013年,1053.51,195.58,57.84,0.06,1042.24,1494.65,297.09,650.07,89.31,22891.58,140.28,36.7,7.78,411.29,1144.57,106.93,119.87,517.59,5.0,1606.74,184.94,696.63,25.21,67.47,1869.88,223.83,944.16,109.09,849.93,650.22,1745.64,1293.42,274.91,453.26,16.66,632.24,335.17,827.83,34.65,310.32,2241.91,127.13
2014年,1086.07,225.25,67.5,0.05,1022.33,1632.97,272.92,781.83,95.28,24966.93,158.39,43.13,10.81,461.3,1185.27,117.75,128.92,595.37,4.85,1905.36,240.57,782.39,16.89,60.66,2027.64,280.08,1013.75,98.56,866.78,660.62,2211.08,1394.38,285.9,478.39,9.58,702.81,378.28,865.13,40.86,339.67,2271.31,146.24
