,专用设备制造业大中型工业企业存货,仪器仪表制造业大中型工业企业存货,其他制造业大中型工业企业存货,其他采矿业大中型工业企业存货,农副食品加工业大中型工业企业存货,化学原料和化学制品制造业大中型工业企业存货,化学纤维制造业大中型工业企业存货,医药制造业大中型工业企业存货,印刷和记录媒介复制业大中型工业企业存货,大中型工业企业存货,家具制造业大中型工业企业存货,废弃资源综合利用业大中型工业企业存货,开采辅助活动大中型工业企业存货,文教、工美、体育和娱乐用品制造业大中型工业企业存货,有色金属冶炼和压延加工业大中型工业企业存货,有色金属矿采选业大中型工业企业存货,木材加工和木、竹、藤、棕、草制品业大中型工业企业存货,橡胶和塑料制品业大中型工业企业存货,水的生产和供应业大中型工业企业存货,汽车制造业大中型工业企业存货,烟草制品业大中型工业企业存货,煤炭开采和洗选业大中型工业企业存货,燃气生产和供应业大中型工业企业存货,电力、热力生产和供应业大中型工业企业存货,电气机械和器材制造业大中型工业企业存货,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业存货,石油加工、炼焦和核燃料加工业大中型工业企业存货,石油和天然气开采业大中型工业企业存货,纺织业大中型工业企业存货,纺织服装、服饰业大中型工业企业存货,计算机、通信和其他电子设备制造业大中型工业企业存货,通用设备制造业大中型工业企业存货,造纸和纸制品业大中型工业企业存货,酒、饮料和精制茶制造业大中型工业企业存货,金属制品、机械和设备修理业大中型工业企业存货,金属制品业大中型工业企业存货,铁路、船舶、航空航天和其他运输设备大中型工业企业存货,非金属矿物制品业大中型工业企业存货,非金属矿采选业大中型工业企业存货,食品制造业大中型工业企业存货,黑色金属冶炼和压延加工业大中型工业企业存货,黑色金属矿采选业大中型工业企业存货
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,3015.37696,601.71051,188.04948,0.19204,2022.25145,3471.02373,580.35148,1364.08278,205.52432,63992.37378,338.72603,73.08385,218.93828,764.45875,4046.67001,233.64808,223.18993,1126.54213,32.39535,3536.37839,2609.71894,1632.33465,90.94551,914.01068,4066.15725,613.65298,3303.16402,271.79139,1972.90727,1182.6254,5650.69224,3603.17212,751.27061,1275.83787,109.53354,1575.86579,2730.48819,1809.97265,72.81321,676.64608,6776.75749,259.42235
2013年,3197.33,632.37,300.25,0.09,2322.8,3687.52,596.49,1542.43,226.76,68989.02,378.31,77.74,216.88,895.18,4286.78,232.26,275.89,1212.69,43.18,3805.44,3229.53,1839.03,97.3,892.88,4296.17,649.28,3698.09,282.87,2134.05,1247.24,5747.13,3847.19,741.69,1521.67,105.71,1739.09,2570.11,1925.25,79.68,731.23,7394.46,289.02
2014年,3176.28,691.0,326.2,0.06,2385.62,3909.38,555.46,1764.08,231.76,72064.09,395.75,81.68,202.05,922.58,4328.65,269.48,281.25,1279.07,49.75,4461.38,3605.48,2114.84,106.33,919.58,4376.28,704.24,3098.02,288.93,2125.59,1265.11,6715.1,4106.6,764.57,1708.42,84.32,1822.54,3096.44,1937.66,90.63,815.98,6686.54,319.42
