,专用设备制造业大中型工业企业国家资本金,仪器仪表制造业大中型工业企业国家资本金,其他制造业大中型工业企业国家资本金,其他采矿业大中型工业企业国家资本金,农副食品加工业大中型工业企业国家资本金,化学原料和化学制品制造业大中型工业企业国家资本金,化学纤维制造业大中型工业企业国家资本金,医药制造业大中型工业企业国家资本金,印刷和记录媒介复制业大中型工业企业国家资本金,大中型工业企业国家资本金,家具制造业大中型工业企业国家资本金,废弃资源综合利用业大中型工业企业国家资本金,开采辅助活动大中型工业企业国家资本金,文教、工美、体育和娱乐用品制造业大中型工业企业国家资本金,有色金属冶炼和压延加工业大中型工业企业国家资本金,有色金属矿采选业大中型工业企业国家资本金,木材加工和木、竹、藤、棕、草制品业大中型工业企业国家资本金,橡胶和塑料制品业大中型工业企业国家资本金,水的生产和供应业大中型工业企业国家资本金,汽车制造业大中型工业企业国家资本金,烟草制品业大中型工业企业国家资本金,煤炭开采和洗选业大中型工业企业国家资本金,燃气生产和供应业大中型工业企业国家资本金,电力、热力生产和供应业大中型工业企业国家资本金,电气机械和器材制造业大中型工业企业国家资本金,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业国家资本金,石油加工、炼焦和核燃料加工业大中型工业企业国家资本金,石油和天然气开采业大中型工业企业国家资本金,纺织业大中型工业企业国家资本金,纺织服装、服饰业大中型工业企业国家资本金,计算机、通信和其他电子设备制造业大中型工业企业国家资本金,通用设备制造业大中型工业企业国家资本金,造纸和纸制品业大中型工业企业国家资本金,酒、饮料和精制茶制造业大中型工业企业国家资本金,金属制品、机械和设备修理业大中型工业企业国家资本金,金属制品业大中型工业企业国家资本金,铁路、船舶、航空航天和其他运输设备大中型工业企业国家资本金,非金属矿物制品业大中型工业企业国家资本金,非金属矿采选业大中型工业企业国家资本金,食品制造业大中型工业企业国家资本金,黑色金属冶炼和压延加工业大中型工业企业国家资本金,黑色金属矿采选业大中型工业企业国家资本金
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,359.30768,76.26139,50.75779,,93.32902,1133.72282,35.29358,184.29751,52.18331,25837.5822,3.79514,0.906,432.36379,10.7045,979.91975,133.98166,12.38971,74.35219,838.06361,860.61557,227.68434,1853.03117,179.31741,6385.78331,287.83707,2.7232,2126.80553,3681.54404,77.97454,11.80452,1233.74334,341.25581,139.11377,155.0826,96.11717,297.14691,651.66126,448.07787,66.27677,41.16909,1566.65421,634.53325
2013年,648.1,68.29,35.74,0.0,107.87,1528.88,59.24,243.26,77.23,29752.76,6.27,1.01,524.78,18.34,1183.04,145.29,10.36,88.89,893.1,978.39,325.5,2191.35,241.05,7697.49,407.52,3.16,2003.1,4407.74,87.01,13.42,608.89,447.26,190.22,164.82,111.94,302.12,895.92,551.87,87.74,68.57,1685.06,642.96
2014年,601.61,88.17,72.11,0.0,118.0,1718.83,35.46,191.22,84.25,33487.54,5.15,4.48,570.19,18.84,1301.33,185.55,11.92,114.25,963.74,1126.76,323.84,2477.53,266.95,8319.84,449.49,3.71,2294.05,4843.52,103.69,17.03,900.21,522.77,204.63,172.78,118.6,331.9,1200.4,639.7,86.45,65.42,2166.05,767.11
