,专用设备制造业大中型工业企业主营业务费用及附加,仪器仪表制造业大中型工业企业主营业务费用及附加,其他制造业大中型工业企业主营业务费用及附加,其他采矿业大中型工业企业主营业务费用及附加,农副食品加工业大中型工业企业主营业务费用及附加,化学原料和化学制品制造业大中型工业企业主营业务费用及附加,化学纤维制造业大中型工业企业主营业务费用及附加,医药制造业大中型工业企业主营业务费用及附加,印刷和记录媒介复制业大中型工业企业主营业务费用及附加,大中型工业企业主营业务费用及附加,家具制造业大中型工业企业主营业务费用及附加,废弃资源综合利用业大中型工业企业主营业务费用及附加,开采辅助活动大中型工业企业主营业务费用及附加,文教、工美、体育和娱乐用品制造业大中型工业企业主营业务费用及附加,有色金属冶炼和压延加工业大中型工业企业主营业务费用及附加,有色金属矿采选业大中型工业企业主营业务费用及附加,木材加工和木、竹、藤、棕、草制品业大中型工业企业主营业务费用及附加,橡胶和塑料制品业大中型工业企业主营业务费用及附加,水的生产和供应业大中型工业企业主营业务费用及附加,汽车制造业大中型工业企业主营业务费用及附加,烟草制品业大中型工业企业主营业务费用及附加,煤炭开采和洗选业大中型工业企业主营业务费用及附加,燃气生产和供应业大中型工业企业主营业务费用及附加,电力、热力生产和供应业大中型工业企业主营业务费用及附加,电气机械和器材制造业大中型工业企业主营业务费用及附加,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业主营业务费用及附加,石油加工、炼焦和核燃料加工业大中型工业企业主营业务费用及附加,石油和天然气开采业大中型工业企业主营业务费用及附加,纺织业大中型工业企业主营业务费用及附加,纺织服装、服饰业大中型工业企业主营业务费用及附加,计算机、通信和其他电子设备制造业大中型工业企业主营业务费用及附加,通用设备制造业大中型工业企业主营业务费用及附加,造纸和纸制品业大中型工业企业主营业务费用及附加,酒、饮料和精制茶制造业大中型工业企业主营业务费用及附加,金属制品、机械和设备修理业大中型工业企业主营业务费用及附加,金属制品业大中型工业企业主营业务费用及附加,铁路、船舶、航空航天和其他运输设备大中型工业企业主营业务费用及附加,非金属矿物制品业大中型工业企业主营业务费用及附加,非金属矿采选业大中型工业企业主营业务费用及附加,食品制造业大中型工业企业主营业务费用及附加,黑色金属冶炼和压延加工业大中型工业企业主营业务费用及附加,黑色金属矿采选业大中型工业企业主营业务费用及附加
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,76.45168,20.72806,5.47142,0.12595,88.83564,375.72644,12.59412,81.10564,9.85278,12107.14,13.18953,5.43182,24.60285,22.20481,88.16304,26.39522,18.99698,54.9047,8.66055,1006.5051,3852.39411,389.91345,8.71312,217.20849,145.20647,39.35872,2962.20527,1217.2903,77.52759,52.80855,171.50728,98.48173,26.45112,356.14646,3.49653,66.14203,59.80955,117.76756,22.26519,58.14146,163.26074,61.09644
2013年,94.52,24.52,6.91,0.05,121.48,371.73,12.72,96.38,13.53,13039.1,17.79,6.09,29.16,28.3,87.68,33.87,22.21,68.32,10.14,1270.91,4269.06,350.22,11.02,242.83,171.55,42.72,3042.55,1126.49,87.53,64.53,170.18,119.1,25.88,386.77,3.17,77.86,61.27,141.37,25.56,73.56,154.95,74.63
2014年,95.11,26.05,7.31,0.04,117.4,366.07,12.25,114.42,16.14,13896.98,20.62,7.6,28.92,31.2,96.16,32.06,24.89,70.15,9.89,1366.48,4565.59,312.44,11.65,212.09,197.45,48.71,3123.02,1448.94,97.6,71.75,185.81,131.08,25.89,375.42,2.75,81.51,70.28,153.39,26.35,84.79,157.93,69.79
