,专用设备制造业大中型工业企业应收帐款净额,仪器仪表制造业大中型工业企业应收帐款净额,其他制造业大中型工业企业应收帐款净额,其他采矿业大中型工业企业应收帐款净额,农副食品加工业大中型工业企业应收帐款净额,化学原料和化学制品制造业大中型工业企业应收帐款净额,化学纤维制造业大中型工业企业应收帐款净额,医药制造业大中型工业企业应收帐款净额,印刷和记录媒介复制业大中型工业企业应收帐款净额,大中型工业企业应收帐款净额,家具制造业大中型工业企业应收帐款净额,废弃资源综合利用业大中型工业企业应收帐款净额,开采辅助活动大中型工业企业应收帐款净额,文教、工美、体育和娱乐用品制造业大中型工业企业应收帐款净额,有色金属冶炼和压延加工业大中型工业企业应收帐款净额,有色金属矿采选业大中型工业企业应收帐款净额,木材加工和木、竹、藤、棕、草制品业大中型工业企业应收帐款净额,橡胶和塑料制品业大中型工业企业应收帐款净额,水的生产和供应业大中型工业企业应收帐款净额,汽车制造业大中型工业企业应收帐款净额,烟草制品业大中型工业企业应收帐款净额,煤炭开采和洗选业大中型工业企业应收帐款净额,燃气生产和供应业大中型工业企业应收帐款净额,电力、热力生产和供应业大中型工业企业应收帐款净额,电气机械和器材制造业大中型工业企业应收帐款净额,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业应收帐款净额,石油加工、炼焦和核燃料加工业大中型工业企业应收帐款净额,石油和天然气开采业大中型工业企业应收帐款净额,纺织业大中型工业企业应收帐款净额,纺织服装、服饰业大中型工业企业应收帐款净额,计算机、通信和其他电子设备制造业大中型工业企业应收帐款净额,通用设备制造业大中型工业企业应收帐款净额,造纸和纸制品业大中型工业企业应收帐款净额,酒、饮料和精制茶制造业大中型工业企业应收帐款净额,金属制品、机械和设备修理业大中型工业企业应收帐款净额,金属制品业大中型工业企业应收帐款净额,铁路、船舶、航空航天和其他运输设备大中型工业企业应收帐款净额,非金属矿物制品业大中型工业企业应收帐款净额,非金属矿采选业大中型工业企业应收帐款净额,食品制造业大中型工业企业应收帐款净额,黑色金属冶炼和压延加工业大中型工业企业应收帐款净额,黑色金属矿采选业大中型工业企业应收帐款净额
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,3599.88209,769.12216,141.60533,0.22305,894.57799,2363.75015,206.01151,1294.58623,263.49643,55981.28566,241.8239,31.04639,324.94944,443.91477,1201.62312,119.12496,135.94354,1170.7401,114.59079,4130.4331,341.43641,2322.32141,103.36357,1932.59835,6366.58455,676.54154,885.79189,172.98599,1053.73765,988.17805,10592.67631,3813.16152,660.37382,380.19807,150.94307,1554.02925,2003.01119,1637.50465,58.12816,678.50454,1773.44371,388.32691
2013年,4495.48,829.26,151.55,0.11,1020.89,2823.16,253.02,1572.3,304.45,63297.6,298.32,46.61,630.09,485.0,1420.45,121.94,155.08,1327.5,139.64,5528.71,371.43,2576.17,126.33,1949.73,7038.36,748.24,899.87,270.21,1143.71,992.45,10605.04,4437.6,767.78,488.42,138.45,1713.84,2153.37,1914.57,74.96,753.33,2062.31,467.87
2014年,4545.96,1005.84,167.44,0.1,1085.38,3037.93,267.09,1799.41,327.37,69442.27,313.01,53.97,595.13,675.57,1714.68,137.93,171.61,1369.95,134.18,5810.91,296.89,2964.4,144.31,1965.1,7455.28,777.49,1146.2,240.31,1196.32,1039.11,13028.25,4824.03,743.86,523.77,117.13,1863.33,2248.02,2110.77,66.11,850.55,2175.9,451.69
