,专用设备制造业大中型工业企业应付帐款,仪器仪表制造业大中型工业企业应付帐款,其他制造业大中型工业企业应付帐款,其他采矿业大中型工业企业应付帐款,农副食品加工业大中型工业企业应付帐款,化学原料和化学制品制造业大中型工业企业应付帐款,化学纤维制造业大中型工业企业应付帐款,医药制造业大中型工业企业应付帐款,印刷和记录媒介复制业大中型工业企业应付帐款,大中型工业企业应付帐款,家具制造业大中型工业企业应付帐款,废弃资源综合利用业大中型工业企业应付帐款,开采辅助活动大中型工业企业应付帐款,文教、工美、体育和娱乐用品制造业大中型工业企业应付帐款,有色金属冶炼和压延加工业大中型工业企业应付帐款,有色金属矿采选业大中型工业企业应付帐款,木材加工和木、竹、藤、棕、草制品业大中型工业企业应付帐款,橡胶和塑料制品业大中型工业企业应付帐款,水的生产和供应业大中型工业企业应付帐款,汽车制造业大中型工业企业应付帐款,烟草制品业大中型工业企业应付帐款,煤炭开采和洗选业大中型工业企业应付帐款,燃气生产和供应业大中型工业企业应付帐款,电力、热力生产和供应业大中型工业企业应付帐款,电气机械和器材制造业大中型工业企业应付帐款,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业应付帐款,石油加工、炼焦和核燃料加工业大中型工业企业应付帐款,石油和天然气开采业大中型工业企业应付帐款,纺织业大中型工业企业应付帐款,纺织服装、服饰业大中型工业企业应付帐款,计算机、通信和其他电子设备制造业大中型工业企业应付帐款,通用设备制造业大中型工业企业应付帐款,造纸和纸制品业大中型工业企业应付帐款,酒、饮料和精制茶制造业大中型工业企业应付帐款,金属制品、机械和设备修理业大中型工业企业应付帐款,金属制品业大中型工业企业应付帐款,铁路、船舶、航空航天和其他运输设备大中型工业企业应付帐款,非金属矿物制品业大中型工业企业应付帐款,非金属矿采选业大中型工业企业应付帐款,食品制造业大中型工业企业应付帐款,黑色金属冶炼和压延加工业大中型工业企业应付帐款,黑色金属矿采选业大中型工业企业应付帐款
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,2710.44795,545.2524,155.39021,0.19391,1155.7785,3185.71528,399.60273,839.85017,212.21499,70075.65896,249.01363,59.26245,377.0042,369.06443,1917.03527,111.60253,86.40839,949.18805,105.84189,6391.58439,709.12335,3379.19989,193.49015,5424.06914,5029.6807,450.51827,2627.27136,1514.29549,881.85543,776.1898,11525.76172,3140.7852,748.73982,642.02158,108.54097,1193.79037,2694.06922,1725.94028,56.70529,722.87161,6305.49575,404.7922
2013年,3089.29,598.3,211.59,0.1,1320.29,3821.25,394.84,1002.87,240.91,79511.17,315.14,54.42,665.55,478.69,2471.61,168.33,113.41,1032.38,122.91,8156.73,812.09,3850.4,207.09,6136.94,5761.15,478.24,2941.37,1947.86,1018.68,815.59,11807.6,3477.11,834.92,710.57,119.47,1309.32,2532.73,1964.28,49.82,745.22,7220.57,511.47
2014年,2837.36,702.25,228.18,0.02,1279.13,4335.56,397.69,1153.48,249.02,84886.61,298.22,60.89,607.68,624.75,2788.21,172.0,123.59,1085.37,144.36,9145.14,721.71,3606.31,267.02,6409.06,5912.23,455.69,2854.37,1823.43,1019.38,843.51,14468.02,3616.31,825.66,779.44,114.48,1441.94,2757.89,2030.76,58.16,798.96,7319.98,529.38
