,专用设备制造业大中型工业企业所有者权益合计,仪器仪表制造业大中型工业企业所有者权益合计,其他制造业大中型工业企业所有者权益合计,其他采矿业大中型工业企业所有者权益合计,农副食品加工业大中型工业企业所有者权益合计,化学原料和化学制品制造业大中型工业企业所有者权益合计,化学纤维制造业大中型工业企业所有者权益合计,医药制造业大中型工业企业所有者权益合计,印刷和记录媒介复制业大中型工业企业所有者权益合计,大中型工业企业所有者权益合计,家具制造业大中型工业企业所有者权益合计,废弃资源综合利用业大中型工业企业所有者权益合计,开采辅助活动大中型工业企业所有者权益合计,文教、工美、体育和娱乐用品制造业大中型工业企业所有者权益合计,有色金属冶炼和压延加工业大中型工业企业所有者权益合计,有色金属矿采选业大中型工业企业所有者权益合计,木材加工和木、竹、藤、棕、草制品业大中型工业企业所有者权益合计,橡胶和塑料制品业大中型工业企业所有者权益合计,水的生产和供应业大中型工业企业所有者权益合计,汽车制造业大中型工业企业所有者权益合计,烟草制品业大中型工业企业所有者权益合计,煤炭开采和洗选业大中型工业企业所有者权益合计,燃气生产和供应业大中型工业企业所有者权益合计,电力、热力生产和供应业大中型工业企业所有者权益合计,电气机械和器材制造业大中型工业企业所有者权益合计,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业所有者权益合计,石油加工、炼焦和核燃料加工业大中型工业企业所有者权益合计,石油和天然气开采业大中型工业企业所有者权益合计,纺织业大中型工业企业所有者权益合计,纺织服装、服饰业大中型工业企业所有者权益合计,计算机、通信和其他电子设备制造业大中型工业企业所有者权益合计,通用设备制造业大中型工业企业所有者权益合计,造纸和纸制品业大中型工业企业所有者权益合计,酒、饮料和精制茶制造业大中型工业企业所有者权益合计,金属制品、机械和设备修理业大中型工业企业所有者权益合计,金属制品业大中型工业企业所有者权益合计,铁路、船舶、航空航天和其他运输设备大中型工业企业所有者权益合计,非金属矿物制品业大中型工业企业所有者权益合计,非金属矿采选业大中型工业企业所有者权益合计,食品制造业大中型工业企业所有者权益合计,黑色金属冶炼和压延加工业大中型工业企业所有者权益合计,黑色金属矿采选业大中型工业企业所有者权益合计
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,7464.16017,1939.10196,501.67792,4.15701,5170.0594,14408.22622,1665.22799,6405.46815,1002.98629,229421.94,915.19375,160.1839,909.18274,1380.39252,8214.36414,1336.70445,788.69997,3952.72051,2034.64205,14672.5472,5030.70128,15314.91814,1165.35447,23689.40075,11902.89649,1987.78183,6367.68635,8531.0864,5647.29893,3221.41572,16224.07424,8581.15891,3404.47258,4190.40906,373.0601,4462.7482,5197.18637,8351.28954,528.89213,3303.55098,16298.82459,2722.03181
2013年,8646.37,2129.9,556.75,2.07,6125.35,16082.2,1711.19,7389.11,1160.56,254573.24,1111.46,168.09,1206.52,1672.01,9068.51,1382.11,942.44,4697.2,2265.04,16503.07,5631.95,14935.03,1198.48,26204.66,13424.09,2179.93,6777.39,9766.85,6150.12,3694.41,17711.96,9816.04,3737.03,4876.91,379.59,5311.03,5408.77,9344.65,611.29,3806.81,17786.39,2999.91
2014年,9230.14,2432.73,634.13,2.95,7075.33,17627.27,1785.39,8894.54,1319.77,280911.93,1200.95,216.96,1160.82,1889.24,10302.46,1575.4,1079.32,5407.74,2451.34,18454.82,6146.72,15329.59,1676.72,27838.73,14541.93,2452.54,7124.46,10569.0,6691.16,4173.48,20771.54,10681.54,3869.56,5505.27,345.67,6629.05,6444.27,10330.42,698.65,4386.46,18800.55,3163.37
