,专用设备制造业规模以上工业企业营业利润,交通运输设备制造业规模以上工业企业营业利润,仪器仪表及文化、办公用机械制造业规模以上工业企业营业利润,其他采矿业规模以上工业企业营业利润,农副食品加工业规模以上工业企业营业利润,化学原料及化学制品制造业规模以上工业企业营业利润,化学纤维制造业规模以上工业企业营业利润,医药制造业规模以上工业企业营业利润,印刷业和记录媒介的复制规模以上工业企业营业利润,塑料制品业规模以上工业企业营业利润,家具制造业规模以上工业企业营业利润,工艺品及其他制造业规模以上工业企业营业利润,废弃资源和废旧材料回收加工业规模以上工业企业营业利润,文教体育用品制造业规模以上工业企业营业利润,有色金属冶炼及压延加工业规模以上工业企业营业利润,有色金属矿采选业规模以上工业企业营业利润,木材加工及木、竹、藤、棕、草制品业规模以上工业企业营业利润,橡胶制品业规模以上工业企业营业利润,水的生产和供应业规模以上工业企业营业利润,烟草制品业规模以上工业企业营业利润,煤炭开采和洗选业规模以上工业企业营业利润,燃气生产和供应业规模以上工业企业营业利润,电力、热力的生产和供应业规模以上工业企业营业利润,电气机械及器材制造业规模以上工业企业营业利润,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业营业利润,石油加工、炼焦及核燃料加工业规模以上工业企业营业利润,石油和天然气开采业规模以上工业企业营业利润,纺织业规模以上工业企业营业利润,纺织服装、鞋、帽制造业规模以上工业企业营业利润,规模以上工业企业营业利润,通信设备、计算机及其他电子设备制造规模以上工业企业营业利润,通用设备制造业规模以上工业企业营业利润,造纸及纸制品业规模以上工业企业营业利润,金属制品业规模以上工业企业营业利润,非金属矿物制品业规模以上工业企业营业利润,非金属矿采选业规模以上工业企业营业利润,食品制造业规模以上工业企业营业利润,饮料制造业规模以上工业企业营业利润,黑色金属冶炼及压延加工业规模以上工业企业营业利润,黑色金属矿采选业规模以上工业企业营业利润
2003年,155.70395,673.47315,84.92559,0.8449,160.62811,451.97605,52.41988,247.40264,70.13536,131.07768,31.5286,47.7483,0.7958,37.46177,146.40089,49.67691,30.31659,58.99426,-7.12077,257.19021,136.6751,-10.92983,686.91597,356.85684,81.71202,163.25546,1312.14853,224.18279,135.88987,8153.64109,575.46082,294.27012,111.41422,171.14376,254.77181,22.77054,109.85852,151.7944,664.79558,29.0747
2004年,224.15208,633.18325,100.00871,0.15183,242.03436,859.82591,43.26903,255.06679,83.5648,170.05876,48.43699,65.22888,4.96795,38.89428,292.43664,109.6702,44.21272,72.4442,-7.16895,329.72198,398.41118,-1.04052,690.01912,478.12631,98.33228,329.6437,1773.64705,251.02439,150.54727,11301.11,822.06067,444.76191,139.97626,226.90185,359.29039,32.43893,129.99203,148.5026,1106.01179,112.30107
2005年,318.86949,579.4589,158.99788,1.14499,485.01522,981.60056,56.80298,332.77681,92.48101,227.22982,69.78775,94.87486,11.61131,55.47591,432.16159,208.88828,82.33365,107.42606,-10.75935,382.45596,643.07054,4.41539,957.45811,634.02123,153.51531,-160.60104,3035.38129,454.41598,214.65753,14825.64806,911.3429,626.13559,204.04513,329.93571,391.94198,68.35135,218.62352,228.83345,1084.08029,157.39012
2006年,468.26747,899.928,204.97184,0.23878,694.72497,1184.97665,71.54091,369.55048,115.46662,297.05457,94.97635,128.28672,25.40026,62.88073,903.86616,365.10864,122.61287,132.7964,9.66814,445.26997,757.33223,14.03786,1362.28287,846.5921,201.93634,-236.02367,3710.93977,588.35688,284.63524,19728.41,1155.27992,850.85624,276.03431,427.40156,602.32935,88.45288,306.68924,312.69461,1391.78937,189.21106
2007年,768.82391,1621.53219,279.57032,0.59292,1073.94817,1928.8837,190.00043,557.84224,153.79652,449.54157,127.70602,174.11846,38.34173,84.90492,1271.75486,444.48736,223.11488,192.8032,15.6215,617.61286,1137.95219,61.9639,1653.76417,1306.43661,279.07677,240.91703,3588.66596,833.79959,395.72531,28170.80868,1462.66718,1249.3775,396.24797,607.96893,1045.67333,126.95714,424.49107,451.07716,2327.22822,365.82089
2008年,1023.43591,2091.77627,316.19842,0.70357,1485.23757,2155.51523,78.60625,844.62467,196.94466,544.07111,156.75103,232.99024,68.96586,90.49184,1092.01054,445.07405,333.61357,200.45856,-0.55053,695.73106,2536.47061,110.93334,511.58859,1906.6513,359.32494,-1115.94034,4634.65739,1022.4803,529.53313,32892.75102,1657.25217,1690.06905,457.68112,850.41231,1517.09648,198.76587,569.52428,592.35413,2063.64281,747.60366
2009年,1224.42894,3111.27343,378.90843,0.82394,1746.98969,2300.98252,163.24636,1002.76722,238.53578,650.58805,203.52221,272.23396,84.64289,130.76785,1110.9662,375.80528,385.40965,336.62603,-0.30256,690.52955,2315.56818,168.76715,1205.72524,2284.86712,433.34779,1004.37611,1904.34289,1149.65458,635.35281,36788.84647,1800.97286,1901.64067,530.8813,958.76133,1935.65294,199.91756,759.97061,768.08707,1935.74673,486.46811
2010年,1901.09219,4995.17617,534.15603,2.38041,2560.31775,3792.42093,363.84555,1349.97945,308.96168,957.4386,288.0033,380.25077,161.09804,185.61636,1914.82432,595.38461,554.37156,416.1224,15.32614,739.12899,3599.28779,242.17153,1922.55323,3210.30638,631.27262,1366.33424,3028.50886,1736.57233,852.47457,55537.21701,2946.15189,2816.42039,739.76943,1470.81659,2907.52943,296.59758,1053.98554,1018.42661,2753.13262,929.01013
2011年,2194.44564,5512.68931,612.88249,1.52136,3055.35402,4624.46758,372.57511,1631.9144,347.94855,1049.09755,352.84473,461.0478,194.43658,178.38102,2382.17624,840.26197,701.51966,464.71233,36.10204,857.2107,4666.1574,300.65776,1741.86837,3465.05706,719.58622,549.8206,4271.05414,1999.61782,971.07547,63744.1618,2917.40456,3211.93982,772.93666,1649.76729,3633.81174,393.63547,1278.19763,1327.87641,2694.81733,1307.29097
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
