,专用设备制造业规模以上工业企业流动负债合计,交通运输设备制造业规模以上工业企业流动负债合计,仪器仪表及文化、办公用机械制造业规模以上工业企业流动负债合计,其他采矿业规模以上工业企业流动负债合计,农副食品加工业规模以上工业企业流动负债合计,化学原料及化学制品制造业规模以上工业企业流动负债合计,化学纤维制造业规模以上工业企业流动负债合计,医药制造业规模以上工业企业流动负债合计,印刷业和记录媒介的复制规模以上工业企业流动负债合计,塑料制品业规模以上工业企业流动负债合计,家具制造业规模以上工业企业流动负债合计,工艺品及其他制造业规模以上工业企业流动负债合计,废弃资源和废旧材料回收加工业规模以上工业企业流动负债合计,文教体育用品制造业规模以上工业企业流动负债合计,有色金属冶炼及压延加工业规模以上工业企业流动负债合计,有色金属矿采选业规模以上工业企业流动负债合计,木材加工及木、竹、藤、棕、草制品业规模以上工业企业流动负债合计,橡胶制品业规模以上工业企业流动负债合计,水的生产和供应业规模以上工业企业流动负债合计,烟草制品业规模以上工业企业流动负债合计,煤炭开采和洗选业规模以上工业企业流动负债合计,燃气生产和供应业规模以上工业企业流动负债合计,电力、热力的生产和供应业规模以上工业企业流动负债合计,电气机械及器材制造业规模以上工业企业流动负债合计,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业流动负债合计,石油加工、炼焦及核燃料加工业规模以上工业企业流动负债合计,石油和天然气开采业规模以上工业企业流动负债合计,纺织业规模以上工业企业流动负债合计,纺织服装、鞋、帽制造业规模以上工业企业流动负债合计,规模以上工业企业流动负债合计,通信设备、计算机及其他电子设备制造规模以上工业企业流动负债合计,通用设备制造业规模以上工业企业流动负债合计,造纸及纸制品业规模以上工业企业流动负债合计,金属制品业规模以上工业企业流动负债合计,非金属矿物制品业规模以上工业企业流动负债合计,非金属矿采选业规模以上工业企业流动负债合计,食品制造业规模以上工业企业流动负债合计,饮料制造业规模以上工业企业流动负债合计,黑色金属冶炼及压延加工业规模以上工业企业流动负债合计,黑色金属矿采选业规模以上工业企业流动负债合计
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,2712.00908,6253.42199,767.83289,19.12218,2316.714,4557.52734,671.72273,1903.57935,606.92725,1357.37371,300.46932,439.66252,17.511,355.18498,1954.21973,265.72378,401.02973,706.12273,512.45301,1099.31192,2045.55334,262.22553,5771.63958,3962.74453,729.32836,1504.2911,1112.51689,3994.69618,1228.82686,73413.52934,6738.22273,3728.86634,1508.42717,1737.81951,3470.9021,273.69714,1111.99657,1495.35385,5318.79411,199.70821
2004年,3290.22685,7550.97609,995.36531,4.63962,2759.92801,5609.11326,934.49913,2047.50973,722.30399,1960.43484,476.55534,627.51126,65.05547,456.99065,2699.11188,316.42035,542.97313,912.1404,641.84256,1059.73943,2830.83035,326.93739,7889.01926,5365.1149,911.87714,2193.19923,1431.62192,5000.31685,1474.73428,94649.34,8787.32862,5033.42093,1923.76137,2296.85519,4357.30091,297.67742,1365.27466,1587.6514,7555.7828,347.30041
2005年,3581.53215,8730.55004,1108.79294,2.50469,2947.63529,6542.30309,1118.48566,2391.64257,796.61011,2139.56015,541.33485,662.8736,76.37843,507.85549,3259.68187,369.40328,567.70881,937.31824,741.72796,1016.38917,3630.44018,407.87658,9245.45273,6181.29883,1065.29281,2745.56394,1562.8733,5382.10476,1675.59477,108411.69832,10272.99845,5568.61708,2073.66151,2518.5185,4843.95228,297.91218,1557.48806,1636.31764,9216.6936,488.75273
2006年,4194.28508,10487.98344,1357.9769,1.53222,3441.02102,7730.69462,1314.78228,2642.5978,874.3433,2528.117,669.94077,795.58508,109.38856,584.78525,4314.75178,555.69259,699.43783,1121.41983,917.54252,1003.54273,4476.15508,536.72786,11436.40327,7526.04456,1192.38517,3186.03527,1960.47066,6098.15587,1930.58001,128179.74,11389.27154,6459.06261,2309.50618,3160.14541,5328.15734,363.52442,1727.31617,1901.7087,11248.16454,604.50302
2007年,5264.35867,14123.87105,1531.28532,1.68462,4292.02217,9542.9526,1786.40678,2907.00327,1024.5748,2974.51128,822.98669,1026.03326,166.30388,679.46208,5513.30246,688.8921,892.69359,1299.54914,1013.97388,895.33568,5605.68661,624.10799,14142.00348,9277.17212,1380.98286,4366.87149,2222.53826,7153.23258,2310.43368,157912.35778,13801.23039,7923.86079,2717.27754,4026.87883,6266.33495,374.97429,1994.99303,2222.36556,14244.40079,809.80922
2008年,7073.93747,17110.9087,1740.91047,1.62998,5049.70845,11453.86731,1711.07881,3229.91801,1136.21896,3364.97103,969.3743,1139.81286,337.59658,772.21666,6504.02361,829.82469,1103.6449,1593.44644,1158.49458,1006.7638,7794.85816,791.42718,17878.70348,10926.94388,1493.44002,5816.92089,2877.16223,7727.02583,2752.4353,190115.98358,13995.1949,10341.51336,3259.94302,4961.35748,7891.72746,481.65356,2346.89092,2609.6611,17614.54417,1266.23303
2009年,7884.18818,20799.17976,2218.4434,1.72817,5996.41527,13190.71165,1725.56449,3622.65112,1208.5431,3544.33141,1003.66033,1240.47323,465.19791,757.68732,7606.63221,916.22201,1160.20522,1590.4474,1234.43011,1134.1777,9128.26255,1700.02451,18788.43325,12630.25472,1569.19206,6339.82815,4040.75508,8044.77464,2774.21532,214406.08643,15465.01532,11398.08044,3417.43159,5471.25714,8698.06316,534.55593,2621.47969,2898.51166,20195.01916,1390.04207
2010年,9550.12117,26392.4172,2340.31316,4.08921,7674.29956,16233.50346,2159.3486,4032.36231,1348.30384,4213.57701,1252.26829,1505.12397,567.37638,842.0205,9678.33934,1115.84901,1276.175,1874.03458,1429.20829,1263.87081,11393.95236,1084.18706,22933.87673,16259.82085,1800.99357,7598.3084,4139.68312,9207.85576,3167.13185,257995.57108,18334.57343,13655.24516,4035.67466,6402.78153,10572.55272,626.29941,3143.09088,3423.28064,23541.15863,1922.50263
2011年,10951.81131,28262.4356,2723.5345,2.26027,8893.49981,19233.28193,2710.11578,4613.49096,1275.21435,4356.77289,1351.97484,1956.12944,757.63106,812.47233,11438.47411,1242.19877,1337.04935,2209.45089,1482.29211,1440.99942,15181.15436,1326.74461,26095.39692,19279.17044,1851.09325,9600.6818,5626.53729,9642.73968,3360.13797,298911.19741,21666.99658,14533.63449,4700.19379,7566.33092,12470.3651,702.82257,3482.7984,3965.13354,28416.1692,2392.00678
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
