,专用设备制造业规模以上工业企业亏损企业单位数,交通运输设备制造业规模以上工业企业亏损企业单位数,仪器仪表及文化、办公用机械制造业规模以上工业企业亏损企业单位数,其他采矿业规模以上工业企业亏损企业单位数,农副食品加工业规模以上工业企业亏损企业单位数,化学原料及化学制品制造业规模以上工业企业亏损企业单位数,化学纤维制造业规模以上工业企业亏损企业单位数,医药制造业规模以上工业企业亏损企业单位数,印刷业和记录媒介的复制规模以上工业企业亏损企业单位数,塑料制品业规模以上工业企业亏损企业单位数,家具制造业规模以上工业企业亏损企业单位数,工艺品及其他制造业规模以上工业企业亏损企业单位数,废弃资源和废旧材料回收加工业规模以上工业企业亏损企业单位数,文教体育用品制造业规模以上工业企业亏损企业单位数,有色金属冶炼及压延加工业规模以上工业企业亏损企业单位数,有色金属矿采选业规模以上工业企业亏损企业单位数,木材加工及木、竹、藤、棕、草制品业规模以上工业企业亏损企业单位数,橡胶制品业规模以上工业企业亏损企业单位数,水的生产和供应业规模以上工业企业亏损企业单位数,烟草制品业规模以上工业企业亏损企业单位数,煤炭开采和洗选业规模以上工业企业亏损企业单位数,燃气生产和供应业规模以上工业企业亏损企业单位数,电力、热力的生产和供应业规模以上工业企业亏损企业单位数,电气机械及器材制造业规模以上工业企业亏损企业单位数,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业亏损企业单位数,石油加工、炼焦及核燃料加工业规模以上工业企业亏损企业单位数,石油和天然气开采业规模以上工业企业亏损企业单位数,纺织业规模以上工业企业亏损企业单位数,纺织服装、鞋、帽制造业规模以上工业企业亏损企业单位数,规模以上工业企业亏损企业单位数,通信设备、计算机及其他电子设备制造规模以上工业企业亏损企业单位数,通用设备制造业规模以上工业企业亏损企业单位数,造纸及纸制品业规模以上工业企业亏损企业单位数,金属制品业规模以上工业企业亏损企业单位数,非金属矿物制品业规模以上工业企业亏损企业单位数,非金属矿采选业规模以上工业企业亏损企业单位数,食品制造业规模以上工业企业亏损企业单位数,饮料制造业规模以上工业企业亏损企业单位数,黑色金属冶炼及压延加工业规模以上工业企业亏损企业单位数,黑色金属矿采选业规模以上工业企业亏损企业单位数
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,1418.0,1584.0,478.0,,2225.0,2455.0,191.0,906.0,922.0,1419.0,316.0,584.0,20.0,445.0,682.0,140.0,517.0,356.0,1096.0,44.0,416.0,137.0,1486.0,1786.0,665.0,177.0,12.0,2761.0,1674.0,36520.0,1308.0,1918.0,1004.0,1475.0,3036.0,223.0,1034.0,815.0,698.0,97.0
2004年,2209.0,2514.0,806.0,1.0,2740.0,3660.0,450.0,1232.0,1279.0,2538.0,611.0,849.0,72.0,703.0,1138.0,171.0,909.0,625.0,1316.0,33.0,634.0,196.0,2119.0,3116.0,1090.0,469.0,33.0,5375.0,2760.0,58203.0,2421.0,3436.0,1594.0,2506.0,4246.0,289.0,1347.0,862.0,1644.0,210.0
2005年,1677.0,2107.0,632.0,2.0,2193.0,3150.0,291.0,1147.0,1041.0,1962.0,514.0,691.0,78.0,591.0,1026.0,177.0,744.0,463.0,1204.0,23.0,634.0,162.0,1766.0,2528.0,865.0,540.0,15.0,3607.0,2202.0,48305.0,2084.0,2601.0,1334.0,1977.0,4159.0,243.0,1093.0,710.0,1731.0,341.0
2006年,1628.0,2061.0,641.0,2.0,2091.0,2981.0,262.0,1248.0,990.0,2015.0,529.0,723.0,46.0,600.0,939.0,203.0,762.0,432.0,1164.0,11.0,894.0,154.0,1633.0,2437.0,851.0,561.0,18.0,3620.0,2066.0,47135.0,2006.0,2505.0,1247.0,1943.0,3802.0,277.0,1042.0,714.0,1614.0,423.0
2007年,1582.0,1957.0,649.0,3.0,1934.0,2915.0,242.0,1145.0,789.0,2100.0,603.0,848.0,56.0,662.0,1074.0,236.0,807.0,458.0,681.0,7.0,983.0,128.0,1382.0,2417.0,886.0,384.0,16.0,3703.0,2365.0,45648.0,2223.0,2517.0,1224.0,2048.0,3391.0,258.0,982.0,653.0,1085.0,255.0
2008年,2720.0,2985.0,903.0,3.0,2318.0,3977.0,415.0,1185.0,1035.0,3069.0,982.0,1215.0,305.0,994.0,1759.0,439.0,1054.0,675.0,740.0,7.0,1045.0,151.0,2059.0,3863.0,1174.0,519.0,38.0,5079.0,3320.0,65393.0,3377.0,4243.0,1642.0,3421.0,4207.0,288.0,1178.0,720.0,1772.0,517.0
2009年,2594.0,2544.0,826.0,2.0,1974.0,3880.0,265.0,1015.0,987.0,2565.0,817.0,1042.0,230.0,788.0,1401.0,406.0,968.0,513.0,759.0,5.0,1383.0,132.0,1897.0,3591.0,1028.0,491.0,55.0,4143.0,2807.0,59868.0,3041.0,4175.0,1396.0,3322.0,4131.0,386.0,1040.0,676.0,1753.0,840.0
2010年,1851.0,2110.0,579.0,6.0,1644.0,2954.0,148.0,873.0,770.0,2097.0,619.0,746.0,169.0,596.0,934.0,283.0,742.0,414.0,698.0,11.0,1115.0,107.0,1599.0,2711.0,718.0,396.0,48.0,2874.0,2130.0,45379.0,2327.0,2916.0,1070.0,2405.0,3330.0,284.0,960.0,588.0,1155.0,402.0
2011年,1057.0,1546.0,343.0,2.0,1118.0,2083.0,234.0,547.0,353.0,1220.0,392.0,394.0,157.0,317.0,885.0,137.0,368.0,265.0,317.0,8.0,892.0,96.0,1467.0,2051.0,428.0,389.0,42.0,2109.0,1050.0,30456.0,1824.0,1606.0,667.0,1433.0,2160.0,128.0,552.0,420.0,1131.0,268.0
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
