,专用设备制造业规模以上工业企业港澳台资本金,交通运输设备制造业规模以上工业企业港澳台资本金,仪器仪表及文化、办公用机械制造业规模以上工业企业港澳台资本金,其他采矿业规模以上工业企业港澳台资本金,农副食品加工业规模以上工业企业港澳台资本金,化学原料及化学制品制造业规模以上工业企业港澳台资本金,化学纤维制造业规模以上工业企业港澳台资本金,医药制造业规模以上工业企业港澳台资本金,印刷业和记录媒介的复制规模以上工业企业港澳台资本金,塑料制品业规模以上工业企业港澳台资本金,家具制造业规模以上工业企业港澳台资本金,工艺品及其他制造业规模以上工业企业港澳台资本金,废弃资源和废旧材料回收加工业规模以上工业企业港澳台资本金,文教体育用品制造业规模以上工业企业港澳台资本金,有色金属冶炼及压延加工业规模以上工业企业港澳台资本金,有色金属矿采选业规模以上工业企业港澳台资本金,木材加工及木、竹、藤、棕、草制品业规模以上工业企业港澳台资本金,橡胶制品业规模以上工业企业港澳台资本金,水的生产和供应业规模以上工业企业港澳台资本金,烟草制品业规模以上工业企业港澳台资本金,煤炭开采和洗选业规模以上工业企业港澳台资本金,燃气生产和供应业规模以上工业企业港澳台资本金,电力、热力的生产和供应业规模以上工业企业港澳台资本金,电气机械及器材制造业规模以上工业企业港澳台资本金,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业港澳台资本金,石油加工、炼焦及核燃料加工业规模以上工业企业港澳台资本金,石油和天然气开采业规模以上工业企业港澳台资本金,纺织业规模以上工业企业港澳台资本金,纺织服装、鞋、帽制造业规模以上工业企业港澳台资本金,规模以上工业企业港澳台资本金,通信设备、计算机及其他电子设备制造规模以上工业企业港澳台资本金,通用设备制造业规模以上工业企业港澳台资本金,造纸及纸制品业规模以上工业企业港澳台资本金,金属制品业规模以上工业企业港澳台资本金,非金属矿物制品业规模以上工业企业港澳台资本金,非金属矿采选业规模以上工业企业港澳台资本金,食品制造业规模以上工业企业港澳台资本金,饮料制造业规模以上工业企业港澳台资本金,黑色金属冶炼及压延加工业规模以上工业企业港澳台资本金,黑色金属矿采选业规模以上工业企业港澳台资本金
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,73.17977,144.07211,77.66063,0.0463,81.70155,189.9733,81.53899,59.39838,90.04386,264.09742,55.49304,74.25216,0.23499,108.12741,51.51258,1.30707,44.74128,40.10293,7.51755,1.44625,1.11416,7.55026,186.79212,212.45895,128.24107,43.41017,72.89306,353.77914,172.15751,3972.38856,468.36555,87.0859,101.63876,172.69063,196.82612,3.83406,96.49233,126.64701,93.12441,0.83978
2004年,126.36332,162.87704,102.17256,,112.22261,246.8557,74.47735,67.72607,94.8097,319.64729,73.63664,99.50909,2.82072,135.33156,94.42377,1.03857,54.32529,81.09829,14.3764,1.25944,1.63311,18.1686,234.53124,320.11415,155.40803,51.64689,52.82043,496.98464,214.41532,5186.69,696.06594,141.5171,144.68606,211.25213,242.39069,6.7893,96.28567,101.29909,134.51286,1.19847
2005年,139.16513,163.81939,101.45067,0.53,128.12998,270.77837,100.60598,70.22044,100.03487,344.21315,76.83971,101.21392,2.31883,136.25029,90.52577,1.64911,58.5895,74.57945,18.03104,1.52163,2.20893,16.61635,302.93807,328.10033,174.46303,44.31306,61.77502,523.80631,236.71557,5774.3004,895.5991,149.19613,162.29684,228.04373,265.48976,8.88743,111.87856,112.5221,167.69704,1.28581
2006年,158.50716,216.90319,107.62514,,139.13127,331.96054,115.60674,82.10961,114.13271,357.2995,100.2971,126.71538,4.51537,150.62846,111.63944,1.45226,53.02528,90.47855,21.80615,1.30625,3.61746,28.76215,297.61867,424.29079,190.84465,51.46769,63.20009,609.7753,413.96597,6775.41,993.36663,176.3682,215.06707,264.20856,305.75403,8.14658,114.52593,130.44968,197.70987,1.12609
2007年,232.97712,276.04863,132.53065,,156.51751,408.57633,137.09822,104.42433,139.45963,406.99,119.04126,133.15318,5.50528,166.14573,143.29743,3.04742,63.31559,150.61818,40.64717,1.54663,6.85651,38.07448,324.75207,459.31694,218.92478,60.45663,69.24596,707.66171,346.46549,8036.49057,1320.91622,238.27263,209.52377,328.77076,359.23982,9.48591,137.53355,148.65082,228.32767,3.07456
2008年,324.73407,359.74567,148.18098,,182.43876,512.43963,149.01404,130.09601,156.79024,435.33204,129.48274,166.5323,13.88807,198.02615,182.97984,4.0035,67.96367,110.08624,54.5066,0.99599,9.89876,61.77682,345.31096,602.14785,239.96412,74.7991,44.14065,794.67345,399.02833,9619.30381,1673.11174,302.93369,317.33577,378.83059,447.23171,11.36288,180.3319,165.31393,233.40562,10.4694
2009年,318.06922,398.36986,133.5636,,204.22188,566.01296,153.01087,156.67414,139.14079,452.39325,119.36506,158.78025,14.21827,208.30795,251.43502,5.69252,75.8533,107.65429,68.3386,1.04155,7.53871,52.18125,344.7154,649.09536,253.13596,58.2905,48.33845,795.22695,417.88802,10170.83016,1806.82819,362.74982,353.31959,435.20233,438.64793,10.79882,178.08465,171.06969,244.85571,10.71945
2010年,334.35421,454.26534,165.30032,,228.51097,675.8978,170.51579,162.67112,141.13777,478.36352,132.41591,148.47959,17.81,187.38412,278.18692,5.09382,63.66854,96.8724,79.51079,1.04155,33.64436,66.87049,356.39996,700.78005,258.3306,80.66064,44.97268,819.61611,399.83722,10739.49431,1864.84877,339.56392,361.26956,436.26727,508.62316,10.71612,177.45525,181.7124,263.83268,12.61259
2011年,331.69609,422.00323,131.34251,0.00988,225.60334,789.20556,188.63708,170.39998,145.84191,453.78819,126.59817,123.82732,19.89676,165.01123,322.60101,9.94786,79.02244,95.94661,73.69632,1.11607,48.97405,83.0928,368.00093,654.61787,235.24786,66.88983,5.47092,781.99285,358.77281,10742.32221,1910.30122,334.89977,390.61702,361.03395,557.10367,7.75146,239.10304,210.27948,247.53502,4.4461
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
