,专用设备制造业规模以上工业企业本年应交增值税,交通运输设备制造业规模以上工业企业本年应交增值税,仪器仪表及文化、办公用机械制造业规模以上工业企业本年应交增值税,其他采矿业规模以上工业企业本年应交增值税,农副食品加工业规模以上工业企业本年应交增值税,化学原料及化学制品制造业规模以上工业企业本年应交增值税,化学纤维制造业规模以上工业企业本年应交增值税,医药制造业规模以上工业企业本年应交增值税,印刷业和记录媒介的复制规模以上工业企业本年应交增值税,塑料制品业规模以上工业企业本年应交增值税,家具制造业规模以上工业企业本年应交增值税,工艺品及其他制造业规模以上工业企业本年应交增值税,废弃资源和废旧材料回收加工业规模以上工业企业本年应交增值税,文教体育用品制造业规模以上工业企业本年应交增值税,有色金属冶炼及压延加工业规模以上工业企业本年应交增值税,有色金属矿采选业规模以上工业企业本年应交增值税,木材加工及木、竹、藤、棕、草制品业规模以上工业企业本年应交增值税,橡胶制品业规模以上工业企业本年应交增值税,水的生产和供应业规模以上工业企业本年应交增值税,烟草制品业规模以上工业企业本年应交增值税,煤炭开采和洗选业规模以上工业企业本年应交增值税,燃气生产和供应业规模以上工业企业本年应交增值税,电力、热力的生产和供应业规模以上工业企业本年应交增值税,电气机械及器材制造业规模以上工业企业本年应交增值税,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业本年应交增值税,石油加工、炼焦及核燃料加工业规模以上工业企业本年应交增值税,石油和天然气开采业规模以上工业企业本年应交增值税,纺织业规模以上工业企业本年应交增值税,纺织服装、鞋、帽制造业规模以上工业企业本年应交增值税,规模以上工业企业本年应交增值税,通信设备、计算机及其他电子设备制造规模以上工业企业本年应交增值税,通用设备制造业规模以上工业企业本年应交增值税,造纸及纸制品业规模以上工业企业本年应交增值税,金属制品业规模以上工业企业本年应交增值税,非金属矿物制品业规模以上工业企业本年应交增值税,非金属矿采选业规模以上工业企业本年应交增值税,食品制造业规模以上工业企业本年应交增值税,饮料制造业规模以上工业企业本年应交增值税,黑色金属冶炼及压延加工业规模以上工业企业本年应交增值税,黑色金属矿采选业规模以上工业企业本年应交增值税
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,113.2624,376.86817,38.44556,0.55903,91.04807,337.953,41.38717,168.41699,45.72095,77.58419,15.08703,29.00154,0.85174,15.53822,112.46945,16.07348,25.99271,38.07944,22.22803,245.84093,185.99864,11.67545,791.92881,211.48099,47.74235,203.46632,306.51786,195.54976,83.96173,5487.73,230.46267,195.53614,99.75974,95.67473,256.29834,21.15528,89.09428,127.70273,503.58007,17.73289
2004年,145.99278,379.53723,52.63611,0.08118,111.0948,452.92752,43.80402,185.08602,51.32885,92.64382,20.47374,36.77705,3.62504,19.40624,188.636,27.27672,36.02935,43.41652,24.41539,300.50619,323.83587,16.49412,960.62881,257.88698,53.35019,284.66112,410.18195,247.47637,90.7812,6912.78,264.22222,255.54769,116.95152,115.74956,325.72122,28.6779,107.69693,135.2627,652.88886,49.06968
2005年,169.38596,454.5578,60.58804,0.42183,166.77944,534.35781,46.01251,219.28275,58.21275,114.8258,28.91179,50.70875,5.45811,27.09609,251.27865,46.32862,50.85197,52.48488,26.89311,329.33828,448.84424,17.05969,1139.52239,316.6211,79.18069,303.25523,608.98071,316.50653,118.92211,8520.94,315.23476,322.60799,138.92724,157.18962,370.8458,38.88481,141.77427,166.25937,761.25493,65.29438
2006年,224.52823,566.96667,86.54091,0.16876,221.79653,626.36672,54.88581,244.54571,67.56278,148.87594,41.78305,64.16482,9.7615,39.47631,414.64473,83.76922,65.69202,62.61164,30.3097,372.61036,554.60177,28.23511,1414.14506,426.0926,106.26287,346.74939,763.58109,381.76975,154.63656,10707.16,410.52313,419.21879,171.17004,211.24905,469.4008,46.88405,171.45147,201.08762,922.56435,80.47099
2007年,295.99832,759.3286,93.73424,0.27836,295.31086,864.76351,79.92353,307.71124,79.88328,190.44241,51.82496,86.87673,16.99821,43.15424,582.9811,110.89028,100.82949,96.08775,36.04927,456.22578,702.32374,37.53347,1653.15131,553.71565,126.87758,519.06214,755.947,469.04132,204.22033,13650.34,430.41582,542.80978,217.63351,283.34847,643.28845,60.92332,223.53251,242.81735,1309.72574,124.67878
2008年,406.52725,957.75947,119.54513,0.36644,490.18926,1127.69898,78.37082,398.23522,110.77769,266.77258,87.77758,113.31043,32.00714,62.1962,623.09475,109.60427,152.57056,128.1996,39.51909,527.04363,1156.78528,63.37161,1704.08903,845.99503,178.85093,626.32052,1037.53832,606.06785,288.84775,17690.72,618.94882,753.60606,263.67905,428.49741,888.34829,85.09993,293.90979,309.16038,1481.90189,228.13679
2009年,483.49845,1305.21817,135.24835,0.30035,509.73284,1073.90078,69.47428,453.47939,104.20063,267.35094,81.80851,110.81856,33.31936,61.0095,501.699,94.71307,170.63486,136.16114,43.49556,567.5581,1345.86804,49.97708,1438.26813,914.15536,173.47957,744.65618,569.52919,573.28276,286.73464,17490.2,577.79511,823.67563,250.65233,406.79515,944.44799,94.65124,322.87769,351.22073,1230.0004,188.51405
2010年,628.5842,1776.68649,177.85627,0.91182,703.15214,1362.78515,107.12289,547.11792,119.18618,333.3137,109.80585,137.08954,72.05962,70.40679,704.53694,142.28033,201.04926,152.54785,48.54434,674.63027,1848.02026,64.95634,1635.14759,1125.4121,214.69428,1115.13074,830.13324,720.77761,345.49232,22472.72,900.91357,1047.52673,299.82078,521.88607,1189.50294,122.69047,388.11324,407.88554,1311.24212,313.70177
2011年,730.25467,1804.54876,208.0563,0.24028,860.80343,1685.44382,145.01739,670.2763,128.5468,372.96639,132.52225,158.59963,85.05586,74.27766,826.5183,195.35834,244.12453,158.0101,50.73179,842.72387,2356.41806,80.45025,1838.91122,1268.22379,255.15275,1129.86195,1072.3607,814.13866,371.13599,26302.71,1326.11413,1135.71575,319.17027,582.34583,1433.51129,152.86698,478.14135,511.11202,1388.36684,414.63935
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
