,专用设备制造业规模以上工业企业利润总额,交通运输设备制造业规模以上工业企业利润总额,仪器仪表及文化、办公用机械制造业规模以上工业企业利润总额,其他采矿业规模以上工业企业利润总额,农副食品加工业规模以上工业企业利润总额,化学原料及化学制品制造业规模以上工业企业利润总额,化学纤维制造业规模以上工业企业利润总额,医药制造业规模以上工业企业利润总额,印刷业和记录媒介的复制规模以上工业企业利润总额,塑料制品业规模以上工业企业利润总额,家具制造业规模以上工业企业利润总额,工艺品及其他制造业规模以上工业企业利润总额,废弃资源和废旧材料回收加工业规模以上工业企业利润总额,文教体育用品制造业规模以上工业企业利润总额,有色金属冶炼及压延加工业规模以上工业企业利润总额,有色金属矿采选业规模以上工业企业利润总额,木材加工及木、竹、藤、棕、草制品业规模以上工业企业利润总额,橡胶制品业规模以上工业企业利润总额,水的生产和供应业规模以上工业企业利润总额,烟草制品业规模以上工业企业利润总额,煤炭开采和洗选业规模以上工业企业利润总额,燃气生产和供应业规模以上工业企业利润总额,电力、热力的生产和供应业规模以上工业企业利润总额,电气机械及器材制造业规模以上工业企业利润总额,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业利润总额,石油加工、炼焦及核燃料加工业规模以上工业企业利润总额,石油和天然气开采业规模以上工业企业利润总额,纺织业规模以上工业企业利润总额,纺织服装、鞋、帽制造业规模以上工业企业利润总额,规模以上工业企业利润总额,通信设备、计算机及其他电子设备制造规模以上工业企业利润总额,通用设备制造业规模以上工业企业利润总额,造纸及纸制品业规模以上工业企业利润总额,金属制品业规模以上工业企业利润总额,非金属矿物制品业规模以上工业企业利润总额,非金属矿采选业规模以上工业企业利润总额,食品制造业规模以上工业企业利润总额,饮料制造业规模以上工业企业利润总额,黑色金属冶炼及压延加工业规模以上工业企业利润总额,黑色金属矿采选业规模以上工业企业利润总额
2003年,173.45521,777.04374,86.83382,1.03903,173.16702,472.63222,58.00123,259.63867,73.86333,130.94255,28.89796,48.75116,0.84418,36.44869,154.72095,52.57826,33.58103,57.92372,1.50539,275.57136,140.07358,6.4695,699.2614,374.47864,79.85769,123.4123,1221.45776,248.19795,132.57193,8337.24,617.18956,299.62972,117.04825,168.40502,290.30687,23.55988,113.08613,149.04453,609.55045,26.19513
2004年,259.66522,784.61368,107.84036,0.15539,248.22649,883.27799,45.74502,274.98499,89.11994,174.9026,48.93235,70.12874,5.90758,40.6672,305.39806,115.70458,52.15164,74.32068,6.36168,366.20036,349.8313,13.94655,888.21359,507.61676,100.32171,284.40732,1744.71147,272.62098,154.60349,11929.3,837.53908,469.7505,153.86498,234.00505,418.88363,30.32438,135.36478,155.16332,1105.85994,117.96331
2005年,324.65081,664.01102,154.34882,1.05856,398.70785,991.06379,46.20437,338.19527,93.19331,215.79394,61.89197,90.8152,8.12965,52.46558,426.82551,209.5301,82.42733,105.18549,-1.4564,406.53818,561.00441,16.82404,1157.7313,640.16688,138.50297,-119.27238,2957.79238,437.12865,206.16314,14802.54,891.68896,625.26163,194.04103,314.22779,420.34748,58.93448,206.21304,221.45516,1067.44246,137.30522
2006年,478.64191,1002.71308,203.31641,0.20375,565.14271,1138.55031,69.66769,372.55123,115.68854,271.30922,86.03493,123.24544,14.22504,57.43139,877.63378,355.55957,117.366,114.62969,24.23715,465.78006,690.54265,29.82947,1689.33784,841.7625,178.57957,-312.24375,3652.12498,563.92956,273.38292,19504.44,1137.60605,837.90745,262.55834,394.39752,618.58912,78.98329,273.15286,300.41397,1367.19914,172.462
2007年,774.58259,1685.07539,278.65691,0.41752,893.57799,1834.33951,161.01942,581.27964,155.88004,402.39179,108.96232,168.22317,24.44316,73.32185,1176.99915,428.12026,192.95671,177.90207,30.89431,608.34942,1022.1795,75.51646,1982.22323,1233.35167,255.5614,216.25277,3535.40978,765.87035,357.13422,27155.18,1445.88813,1172.25114,381.23208,532.59555,1037.19222,108.97379,394.21737,445.4343,2087.47501,349.03245
2008年,1010.34589,2127.41119,326.08747,0.56702,1213.87939,1919.11704,81.83033,792.89572,200.66832,511.7595,139.87662,224.22071,40.30697,78.2004,848.21399,407.31384,294.63663,180.47793,27.06786,712.98754,2348.44678,125.36529,508.68849,1809.33062,333.12063,-1003.1365,4601.22981,927.42241,487.34418,30562.37,1542.67036,1587.84005,434.80095,749.79465,1480.54997,168.9223,489.60399,558.84603,1573.28898,700.37226
2009年,1184.87962,3063.33218,376.47281,0.59066,1501.16002,2185.29012,170.85328,993.96432,236.51893,605.94211,184.11646,250.10653,66.28981,116.0664,924.60062,339.13749,345.46307,322.1066,25.34922,650.40913,2208.3124,177.47454,1291.05788,2169.11706,408.91948,931.24393,1903.45356,1091.23424,611.1954,34542.22,1756.22933,1784.72633,504.71294,858.8767,1856.58957,185.64135,716.78173,728.7805,1375.92704,439.29357
2010年,1855.04581,4856.39756,538.00905,1.97639,2343.61399,3638.40572,359.31048,1331.09391,309.19733,929.50359,281.57359,370.53495,114.8779,165.71454,1620.61907,572.0485,515.27012,398.80387,60.25175,733.99591,3446.51743,253.97338,1968.48107,3116.19711,611.4507,1221.10806,3026.76333,1697.90971,851.91265,53049.66,2873.02674,2710.66741,727.08216,1364.72891,2858.59243,276.15524,1015.44578,991.32899,2149.0325,893.04647
2011年,2154.42622,5478.38158,612.83122,1.41064,2795.21545,4432.12953,368.07467,1606.02415,349.7848,1016.67682,341.04462,445.45954,160.56681,175.93206,2067.37817,815.0672,643.38604,435.73684,72.02815,840.51507,4560.86244,314.47791,1921.58431,3310.13103,714.69592,423.1001,4299.60096,1956.80886,951.98163,61396.33,2827.42089,3054.91908,760.40754,1545.71253,3587.24873,358.13552,1232.25171,1315.37269,2239.4803,1210.06934
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
