,专用设备制造业规模以上工业企业应交所得税,交通运输设备制造业规模以上工业企业应交所得税,仪器仪表及文化、办公用机械制造业规模以上工业企业应交所得税,其他采矿业规模以上工业企业应交所得税,农副食品加工业规模以上工业企业应交所得税,化学原料及化学制品制造业规模以上工业企业应交所得税,化学纤维制造业规模以上工业企业应交所得税,医药制造业规模以上工业企业应交所得税,印刷业和记录媒介的复制规模以上工业企业应交所得税,塑料制品业规模以上工业企业应交所得税,家具制造业规模以上工业企业应交所得税,工艺品及其他制造业规模以上工业企业应交所得税,废弃资源和废旧材料回收加工业规模以上工业企业应交所得税,文教体育用品制造业规模以上工业企业应交所得税,有色金属冶炼及压延加工业规模以上工业企业应交所得税,有色金属矿采选业规模以上工业企业应交所得税,木材加工及木、竹、藤、棕、草制品业规模以上工业企业应交所得税,橡胶制品业规模以上工业企业应交所得税,水的生产和供应业规模以上工业企业应交所得税,烟草制品业规模以上工业企业应交所得税,煤炭开采和洗选业规模以上工业企业应交所得税,燃气生产和供应业规模以上工业企业应交所得税,电力、热力的生产和供应业规模以上工业企业应交所得税,电气机械及器材制造业规模以上工业企业应交所得税,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业应交所得税,石油加工、炼焦及核燃料加工业规模以上工业企业应交所得税,石油和天然气开采业规模以上工业企业应交所得税,纺织业规模以上工业企业应交所得税,纺织服装、鞋、帽制造业规模以上工业企业应交所得税,规模以上工业企业应交所得税,通信设备、计算机及其他电子设备制造规模以上工业企业应交所得税,通用设备制造业规模以上工业企业应交所得税,造纸及纸制品业规模以上工业企业应交所得税,金属制品业规模以上工业企业应交所得税,非金属矿物制品业规模以上工业企业应交所得税,非金属矿采选业规模以上工业企业应交所得税,食品制造业规模以上工业企业应交所得税,饮料制造业规模以上工业企业应交所得税,黑色金属冶炼及压延加工业规模以上工业企业应交所得税,黑色金属矿采选业规模以上工业企业应交所得税
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,35.72232,96.33304,13.39137,0.14554,28.32022,86.48372,12.021,45.70856,15.27685,23.47995,4.40125,8.48006,0.14783,6.70973,34.59904,8.40873,5.40243,10.90193,4.70583,81.78815,42.83251,2.51336,126.15371,64.57403,13.40294,32.10288,104.4542,50.82035,22.53151,1434.23213,68.83097,55.46815,23.9252,28.16283,57.14743,5.29896,23.60762,37.30209,147.95256,4.72328
2004年,47.05453,96.19388,15.3188,0.0437,36.13351,154.36781,10.35665,48.44309,17.96446,30.46224,6.14428,11.39113,0.94757,7.43246,64.38121,20.50041,8.31959,14.19144,7.44041,107.8645,107.65506,4.82688,182.43962,88.85189,15.27874,67.5795,153.78847,60.92021,26.72936,2102.58,107.70802,84.86649,30.77494,41.1447,81.39389,7.08617,23.18309,42.2441,243.70778,27.45311
2005年,55.06591,92.18867,21.96398,0.03625,54.69002,179.83766,11.51209,56.50277,18.61813,35.10293,8.67946,14.03946,1.43209,9.49817,84.78508,36.57451,10.41579,17.70952,5.91963,119.56343,162.54326,3.63611,231.12956,105.80535,21.58763,51.82031,287.82754,81.71034,36.30294,2586.40722,108.7095,111.4544,34.26597,48.64136,78.37783,10.85852,34.21213,49.49611,260.37798,33.51483
2006年,78.27336,144.81161,25.33095,0.03005,75.00884,200.00877,12.1592,63.30988,21.88591,45.5793,12.37186,19.37762,2.24902,10.49243,164.22469,66.44627,16.32881,19.61006,8.59494,139.58264,181.19145,6.14758,319.19562,137.93597,29.44445,46.6655,284.44847,97.64112,44.63822,3189.17,126.26895,142.01064,40.13246,63.68021,107.0375,14.77207,42.06046,66.01012,274.70301,39.51138
2007年,110.4409,192.62065,36.38856,0.06951,101.55516,275.94028,22.45697,91.99019,27.85955,56.60283,16.27827,25.44677,3.40111,11.31248,180.38081,73.44954,25.15788,28.75162,10.49812,199.39207,230.29852,10.24532,387.97125,191.65202,36.29488,116.61617,273.62797,129.12042,55.37099,4175.1285,156.07146,191.90385,52.09861,80.66293,157.66373,17.89556,53.03261,82.72054,388.39924,73.48916
2008年,135.87922,251.05862,44.45734,0.04954,132.96679,304.17674,14.51387,117.98933,30.66067,65.16991,19.55221,28.95596,4.7746,13.47747,132.56208,57.80044,35.80645,26.92875,11.51897,179.11226,470.39773,16.74375,243.04566,238.78378,41.78296,64.45632,376.03884,133.52259,63.11257,4629.55287,214.45558,226.45634,56.64861,103.18795,205.79978,25.19851,69.86021,101.0358,242.21661,129.39806
2009年,161.64144,389.09171,50.84905,0.06015,146.67717,306.61558,19.49072,134.1622,37.36013,78.52352,25.01302,33.89455,4.95922,16.55532,119.76039,41.84681,37.57257,40.75976,9.71563,164.3051,442.1129,21.07689,284.22046,272.35431,45.90135,142.7953,195.89346,147.34571,71.91369,4862.02676,247.91771,249.43439,68.91046,113.26725,240.20539,19.22345,85.28618,125.59467,201.08157,68.63758
2010年,241.90985,663.13607,72.28836,0.18663,207.9488,450.7654,39.73481,169.98033,45.50801,111.99299,34.51434,44.01078,12.42168,20.51291,155.0431,63.40753,52.32689,52.38163,16.84298,172.50207,659.82035,29.17181,360.61487,391.89092,62.70913,184.31384,356.01449,215.7416,100.29121,6992.4216,332.36683,353.51014,86.36247,163.58112,346.74528,29.01416,118.72236,166.83593,271.80926,135.49067
2011年,287.34811,753.63176,89.14914,0.11918,253.79906,605.82769,47.90463,213.63445,131.40571,127.77053,50.64327,56.17061,13.26025,23.80172,241.26275,108.06549,63.29396,63.57177,18.35402,178.13784,912.8983,45.3318,334.91976,424.70157,84.66578,129.60026,408.68798,247.09041,117.87355,8448.46555,366.40005,403.06054,94.32476,184.66491,475.57733,36.75958,161.86689,227.65282,274.83948,190.39784
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
