,专用设备制造业规模以上工业企业流动资产合计,交通运输设备制造业规模以上工业企业流动资产合计,仪器仪表及文化、办公用机械制造业规模以上工业企业流动资产合计,其他采矿业规模以上工业企业流动资产合计,农副食品加工业规模以上工业企业流动资产合计,化学原料及化学制品制造业规模以上工业企业流动资产合计,化学纤维制造业规模以上工业企业流动资产合计,医药制造业规模以上工业企业流动资产合计,印刷业和记录媒介的复制规模以上工业企业流动资产合计,塑料制品业规模以上工业企业流动资产合计,家具制造业规模以上工业企业流动资产合计,工艺品及其他制造业规模以上工业企业流动资产合计,废弃资源和废旧材料回收加工业规模以上工业企业流动资产合计,文教体育用品制造业规模以上工业企业流动资产合计,有色金属冶炼及压延加工业规模以上工业企业流动资产合计,有色金属矿采选业规模以上工业企业流动资产合计,木材加工及木、竹、藤、棕、草制品业规模以上工业企业流动资产合计,橡胶制品业规模以上工业企业流动资产合计,水的生产和供应业规模以上工业企业流动资产合计,烟草制品业规模以上工业企业流动资产合计,煤炭开采和洗选业规模以上工业企业流动资产合计,燃气生产和供应业规模以上工业企业流动资产合计,电力、热力的生产和供应业规模以上工业企业流动资产合计,电气机械及器材制造业规模以上工业企业流动资产合计,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业流动资产合计,石油加工、炼焦及核燃料加工业规模以上工业企业流动资产合计,石油和天然气开采业规模以上工业企业流动资产合计,纺织业规模以上工业企业流动资产合计,纺织服装、鞋、帽制造业规模以上工业企业流动资产合计,规模以上工业企业流动资产合计,通信设备、计算机及其他电子设备制造规模以上工业企业流动资产合计,通用设备制造业规模以上工业企业流动资产合计,造纸及纸制品业规模以上工业企业流动资产合计,金属制品业规模以上工业企业流动资产合计,非金属矿物制品业规模以上工业企业流动资产合计,非金属矿采选业规模以上工业企业流动资产合计,食品制造业规模以上工业企业流动资产合计,饮料制造业规模以上工业企业流动资产合计,黑色金属冶炼及压延加工业规模以上工业企业流动资产合计,黑色金属矿采选业规模以上工业企业流动资产合计
2003年,2804.32865,6891.39966,953.72383,16.83574,2098.88885,4407.04204,586.41546,2132.18901,643.78044,1510.37664,331.77134,520.65638,19.04412,430.21536,1800.2991,226.96477,403.37373,714.23081,486.86237,1698.17823,1979.11692,246.23844,5707.29161,4589.62012,824.79695,1432.28226,967.91116,3757.60668,1414.83026,76163.74,7994.09362,4061.45672,1346.33757,1918.32605,3219.26968,257.80113,1108.42136,1465.54551,5011.00273,185.21964
2004年,3498.63174,8127.81139,1237.51252,3.91175,2605.67009,5699.11474,842.90091,2284.42751,756.96236,2084.69908,526.81109,734.31108,78.10301,535.93222,2572.96209,302.63582,566.56872,926.60964,653.97045,1865.54316,2705.60298,316.68742,6724.55408,6101.35888,1052.9758,2121.53544,1300.84631,4657.62457,1700.76003,97183.74,10185.52526,5608.06319,1718.03311,2573.48206,4050.5592,278.17835,1356.17431,1537.24065,6913.63311,375.82058
2005年,3918.45052,9036.40523,1422.33246,2.3799,2960.4088,6737.89309,1011.70953,2674.83523,849.11844,2364.53106,588.41978,795.99892,86.43682,613.22879,3162.80693,418.43014,619.90697,976.5983,692.50104,2074.87154,3402.86882,361.06449,6578.08311,7168.85121,1219.28314,2919.55592,1498.44402,5196.30646,1961.70765,111031.41,11945.35822,6338.71087,1883.66795,2881.5839,4457.28224,277.64864,1589.32133,1682.42083,8151.92484,510.0644
2006年,4773.66432,11118.66273,1779.71014,1.07152,3567.25145,8286.5334,1177.19332,2979.198,956.57506,2845.57924,748.88742,992.05858,122.99004,721.98041,4418.65788,709.74078,788.55419,1115.66168,859.68613,2283.10905,4146.7689,472.8681,7211.64812,8752.30929,1421.26649,3299.80238,1940.84474,6050.84043,2329.617,132310.12,13441.6255,7496.49452,2225.47838,3646.68998,5074.96731,351.21899,1777.7667,2008.54212,9769.86752,644.73681
2007年,6211.97131,14955.36962,2060.2987,1.38589,4687.84794,10380.70284,1599.13481,3409.93429,1127.39064,3386.69991,933.57871,1294.09479,186.86265,823.08742,5805.36294,898.20695,1018.85567,1321.80634,958.79939,2435.04185,5093.75422,536.99087,7653.01006,11108.83175,1691.00708,4041.91679,2083.01136,7187.48495,2790.52599,163259.62,15904.80644,9439.38371,2582.37833,4662.96015,6101.14096,408.71475,2218.08526,2462.36095,12861.78964,935.03062
2008年,8463.3031,17970.14054,2511.50877,1.58734,5593.26159,12249.09663,1523.30584,3992.18596,1312.23917,3907.97445,1115.53015,1475.96925,355.27297,944.45501,6766.22517,980.42416,1314.19374,1607.53781,1006.59213,2941.58268,7983.65578,745.40522,9027.23267,13386.58189,1833.24425,5028.67606,2419.72305,7915.71541,3343.19068,195681.75,16675.08716,12130.30078,3117.58861,5729.34929,7845.10635,526.55988,2566.61812,2879.16916,15026.18343,1469.97087
2009年,9710.59488,22453.76549,3132.10349,1.64313,6809.11699,13744.85818,1618.10653,4820.61516,1420.19901,4170.69919,1200.91123,1683.92555,488.3627,958.94462,7872.57613,1048.74397,1387.29319,1725.74105,1171.23446,3301.83496,9427.45988,1641.34633,8951.08299,15766.44153,2017.83599,5028.96215,2803.10626,8413.93641,3554.30285,223038.68,18927.13808,13729.6002,3343.16581,6395.89672,8917.71578,613.04675,3005.72443,3276.90734,16976.6709,1527.07027
2010年,12453.30962,29859.8214,3425.38127,6.57925,8879.31544,17269.53233,2164.9447,5993.88605,1654.81653,5224.49371,1519.46884,2085.34585,623.67153,1084.54453,10223.91622,1207.54001,1633.59878,2092.09807,1348.86024,3710.47497,12598.26698,1008.41767,11087.89509,20986.89591,2446.8007,6799.49677,3522.31148,9976.28118,4253.17855,279227.32,23567.72408,16804.97826,4151.47363,7776.22325,11108.09375,748.82985,3597.86988,3986.792,19792.65918,2551.53235
2011年,14511.13842,33049.158,4080.42117,4.48076,10887.83864,20924.55893,2757.05213,7288.79647,1668.74893,5493.55337,1682.7758,2622.23854,874.17383,1060.61743,12380.64379,1421.40721,1788.80885,2470.8413,1382.19,4228.13849,16492.85674,1207.7365,12628.74988,25027.59722,2659.38698,8877.04295,4323.32965,10669.80222,4676.06176,327778.65,27725.97065,18491.80503,4907.29972,9115.55696,13464.7114,876.48681,4382.48848,4987.40569,23820.33472,2866.44601
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
