,专用设备制造业规模以上工业企业利息支出,交通运输设备制造业规模以上工业企业利息支出,仪器仪表及文化、办公用机械制造业规模以上工业企业利息支出,其他采矿业规模以上工业企业利息支出,农副食品加工业规模以上工业企业利息支出,化学原料及化学制品制造业规模以上工业企业利息支出,化学纤维制造业规模以上工业企业利息支出,医药制造业规模以上工业企业利息支出,印刷业和记录媒介的复制规模以上工业企业利息支出,塑料制品业规模以上工业企业利息支出,家具制造业规模以上工业企业利息支出,工艺品及其他制造业规模以上工业企业利息支出,废弃资源和废旧材料回收加工业规模以上工业企业利息支出,文教体育用品制造业规模以上工业企业利息支出,有色金属冶炼及压延加工业规模以上工业企业利息支出,有色金属矿采选业规模以上工业企业利息支出,木材加工及木、竹、藤、棕、草制品业规模以上工业企业利息支出,橡胶制品业规模以上工业企业利息支出,水的生产和供应业规模以上工业企业利息支出,烟草制品业规模以上工业企业利息支出,煤炭开采和洗选业规模以上工业企业利息支出,燃气生产和供应业规模以上工业企业利息支出,电力、热力的生产和供应业规模以上工业企业利息支出,电气机械及器材制造业规模以上工业企业利息支出,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业利息支出,石油加工、炼焦及核燃料加工业规模以上工业企业利息支出,石油和天然气开采业规模以上工业企业利息支出,纺织业规模以上工业企业利息支出,纺织服装、鞋、帽制造业规模以上工业企业利息支出,规模以上工业企业利息支出,通信设备、计算机及其他电子设备制造规模以上工业企业利息支出,通用设备制造业规模以上工业企业利息支出,造纸及纸制品业规模以上工业企业利息支出,金属制品业规模以上工业企业利息支出,非金属矿物制品业规模以上工业企业利息支出,非金属矿采选业规模以上工业企业利息支出,食品制造业规模以上工业企业利息支出,饮料制造业规模以上工业企业利息支出,黑色金属冶炼及压延加工业规模以上工业企业利息支出,黑色金属矿采选业规模以上工业企业利息支出
2003年,51.90894,80.83992,9.8146,0.27253,58.87736,136.18504,24.84071,46.88921,11.618,28.71089,5.70981,8.36612,0.2671,4.94007,60.54642,8.92263,10.82627,17.8657,16.26516,23.01663,54.64643,5.59108,404.02936,68.33824,13.08163,41.21828,23.5549,104.44926,21.79761,1855.91746,68.48591,65.07994,52.23097,33.08072,94.92822,6.61179,24.00334,29.02701,134.26454,4.81512
2004年,49.20208,96.41893,11.15363,0.00861,74.96727,153.2852,26.76767,51.73217,12.41332,38.95747,7.81799,10.98345,0.88231,5.49578,78.44116,8.6232,14.87651,22.16366,20.88361,19.73742,73.86491,5.92731,528.5021,82.01569,15.18145,51.25478,32.21391,127.06621,23.34337,2255.89,83.84572,69.51908,60.1241,39.86848,112.06957,7.39737,29.36599,29.18877,172.24156,8.08397
2005年,50.71449,111.85402,10.93578,0.06024,89.85602,176.78584,38.21424,61.13732,13.16588,44.10755,10.02892,12.73008,0.8781,6.73508,91.69695,10.94281,17.47832,26.08559,22.23856,16.27911,75.56959,5.94837,583.84491,97.82694,18.38291,70.1051,29.67024,150.44374,30.09917,2601.94162,110.05338,78.02601,69.02763,48.30561,131.76946,7.00336,35.4198,28.3514,210.76569,9.40341
2006年,60.75821,124.6795,12.23664,0.04962,100.37408,233.68076,46.95082,68.1206,15.53307,55.75266,12.50262,16.20841,1.11011,8.49405,123.21983,11.72016,20.31565,32.01272,39.91319,11.1091,91.55568,8.95562,696.67717,119.12732,23.35058,90.46005,25.99742,176.11273,34.13829,3151.75,119.8303,90.8078,85.12674,59.69955,159.33132,8.76297,39.17263,33.93564,281.42574,12.53801
2007年,78.92806,149.80243,16.33502,0.07612,141.40357,295.01604,66.66883,81.59914,17.92346,67.29289,17.90525,21.40704,2.46786,10.97934,161.71555,16.15062,30.62331,41.96636,44.80474,5.65494,134.93559,15.50025,945.09099,167.14194,29.03949,119.78916,46.05431,224.42683,46.70637,4163.30647,142.94017,118.90924,102.36567,85.48863,191.74709,10.63279,51.47187,43.5429,397.33842,21.46419
2008年,120.07942,211.67894,24.47458,0.06359,194.40994,390.10781,75.22677,99.99413,23.65755,89.79711,23.20033,29.56249,8.21099,15.08553,226.96283,20.14136,41.94961,56.84628,54.76577,-1.91746,211.47655,20.37401,1277.9381,235.48368,38.35631,195.78518,45.98668,275.97351,57.78529,5664.16458,179.36296,171.27266,130.9297,122.91419,252.86072,15.68506,67.91367,58.01837,570.61361,31.13676
2009年,114.00434,212.44572,24.42336,0.02829,191.2281,383.02209,57.58207,92.56499,20.8835,79.21788,21.7395,29.01639,7.78252,14.23394,216.4717,23.60584,42.80944,49.89193,56.95553,3.01376,235.4295,17.32714,1278.03385,206.93906,39.58593,149.04612,37.88395,240.06076,56.87442,5323.00587,129.52671,173.46518,111.75358,120.75995,246.61923,18.65188,64.14474,52.21183,474.33538,29.43577
2010年,135.05786,230.54496,28.82654,0.10814,243.81118,464.1248,64.87984,95.29429,23.90248,94.45076,27.21442,36.60806,9.28342,15.2813,297.71805,28.18163,51.21417,52.48121,62.31593,-1.73396,305.66839,22.32817,1383.72986,279.1036,45.53196,182.03919,38.54126,286.58445,66.0157,6274.20018,121.37436,214.85526,131.38272,134.80767,305.74664,20.64293,68.93319,58.59015,600.29044,48.46916
2011年,225.50247,446.35794,48.25938,0.16423,345.95498,659.32421,98.8519,132.64782,31.62194,122.92963,39.16682,51.73973,15.59161,18.47397,448.35691,39.68799,68.67487,77.32414,71.38069,10.1012,456.69037,30.18897,1714.27371,444.22074,67.56549,272.31632,134.19937,373.91914,84.15428,9054.30254,244.18548,315.5819,173.94118,185.3472,433.69671,26.70579,90.41467,84.04021,891.70639,79.04219
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
