,专用设备制造业外商及港澳台商投资工业企业存货,交通运输设备制造业外商及港澳台商投资工业企业存货,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业存货,其他矿采选业外商及港澳台商投资工业企业存货,其它制造业外商及港澳台商投资工业企业存货,化学原料及化学制品制造业外商及港澳台商投资工业企业存货,化学纤维制造业外商及港澳台商投资工业企业存货,医药制造业外商及港澳台商投资工业企业存货,印刷业、记录媒介的复制外商及港澳台商投资工业企业存货,塑料制品业外商及港澳台商投资工业企业存货,外商及港澳台商投资工业企业存货,家具制造业外商及港澳台商投资工业企业存货,文教体育用品制造业外商及港澳台商投资工业企业存货,普通机械制造业外商及港澳台商投资工业企业存货,有色金属冶炼及压延加工业外商及港澳台商投资工业企业存货,有色金属矿采选业外商及港澳台商投资工业企业存货,服装及其他纤维制品制造业外商及港澳台商投资工业企业存货,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业存货,木材及竹材采运业外商及港澳台商投资工业企业存货,橡胶制品业外商及港澳台商投资工业企业存货,烟草加工业外商及港澳台商投资工业企业存货,煤气生产和供应业外商及港澳台商投资工业企业存货,煤炭采选业外商及港澳台商投资工业企业存货,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业存货,电子及通信设备制造业外商及港澳台商投资工业企业存货,电气机械及器材制造业外商及港澳台商投资工业企业存货,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业存货,石油加工及炼焦业外商及港澳台商投资工业企业存货,石油和天然气开采业外商及港澳台商投资工业企业存货,纺织业外商及港澳台商投资工业企业存货,自来水的生产和供应业外商及港澳台商投资工业企业存货,造纸及纸制品业外商及港澳台商投资工业企业存货,金属制品业外商及港澳台商投资工业企业存货,非金属矿物制造业外商及港澳台商投资工业企业存货,非金属矿采选业外商及港澳台商投资工业企业存货,食品制造业外商及港澳台商投资工业企业存货,食品加工业外商及港澳台商投资工业企业存货,饮料制造业外商及港澳台商投资工业企业存货,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业存货,黑色金属矿采选业外商及港澳台商投资工业企业存货
2000年,96.98561,298.82024,71.5345,0.0549,69.90456,190.77784,64.41437,79.197,40.19883,146.1146,4078.38827,39.50712,64.2462,163.44758,56.23709,0.53129,176.54277,52.26132,,65.02212,3.32527,1.35894,1.81438,47.30192,791.81823,300.18654,127.30185,34.35426,0.82729,255.63163,0.15385,121.93898,192.09188,155.04853,2.70751,75.26592,133.1584,93.85053,64.4113,0.04312
2001年,108.38216,327.02686,74.79063,,81.90144,218.75692,39.16988,87.52298,45.19145,162.34444,4287.69848,44.079,72.48794,182.67035,53.12456,0.86309,175.88181,53.80003,,68.36295,3.5921,1.41717,2.80311,64.20572,747.58707,323.41224,135.66745,51.64803,2.54756,265.92749,0.13779,110.67617,202.91959,166.27818,2.54207,83.87751,149.07475,95.16982,81.79677,0.0614
2002年,131.38673,350.51122,91.06332,,94.43394,230.25419,38.85072,88.29264,47.16874,175.34602,4707.8965,50.84285,80.91578,214.15425,65.76195,0.9756,180.76015,52.03145,,73.87529,2.67417,3.78952,2.82499,65.31021,862.33386,322.49152,147.71824,65.1546,2.69441,296.55631,0.31475,121.07276,217.97306,177.44614,3.01758,90.99475,184.71125,93.08627,79.96005,0.07995
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
