,专用设备制造业外商及港澳台商投资工业企业产成品,交通运输设备制造业外商及港澳台商投资工业企业产成品,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业产成品,其他矿采选业外商及港澳台商投资工业企业产成品,其它制造业外商及港澳台商投资工业企业产成品,化学原料及化学制品制造业外商及港澳台商投资工业企业产成品,化学纤维制造业外商及港澳台商投资工业企业产成品,医药制造业外商及港澳台商投资工业企业产成品,印刷业、记录媒介的复制外商及港澳台商投资工业企业产成品,塑料制品业外商及港澳台商投资工业企业产成品,外商及港澳台商投资工业企业产成品,家具制造业外商及港澳台商投资工业企业产成品,文教体育用品制造业外商及港澳台商投资工业企业产成品,普通机械制造业外商及港澳台商投资工业企业产成品,有色金属冶炼及压延加工业外商及港澳台商投资工业企业产成品,有色金属矿采选业外商及港澳台商投资工业企业产成品,服装及其他纤维制品制造业外商及港澳台商投资工业企业产成品,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业产成品,木材及竹材采运业外商及港澳台商投资工业企业产成品,橡胶制品业外商及港澳台商投资工业企业产成品,烟草加工业外商及港澳台商投资工业企业产成品,煤气生产和供应业外商及港澳台商投资工业企业产成品,煤炭采选业外商及港澳台商投资工业企业产成品,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业产成品,电子及通信设备制造业外商及港澳台商投资工业企业产成品,电气机械及器材制造业外商及港澳台商投资工业企业产成品,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业产成品,石油加工及炼焦业外商及港澳台商投资工业企业产成品,石油和天然气开采业外商及港澳台商投资工业企业产成品,纺织业外商及港澳台商投资工业企业产成品,自来水的生产和供应业外商及港澳台商投资工业企业产成品,造纸及纸制品业外商及港澳台商投资工业企业产成品,金属制品业外商及港澳台商投资工业企业产成品,非金属矿物制造业外商及港澳台商投资工业企业产成品,非金属矿采选业外商及港澳台商投资工业企业产成品,食品制造业外商及港澳台商投资工业企业产成品,食品加工业外商及港澳台商投资工业企业产成品,饮料制造业外商及港澳台商投资工业企业产成品,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业产成品,黑色金属矿采选业外商及港澳台商投资工业企业产成品
2000年,31.93898,88.26125,18.74504,0.043,24.46379,79.13895,21.12135,35.32629,12.87406,55.83891,1417.64352,12.562,19.90662,54.64883,18.70803,0.08454,68.25868,22.0447,,32.26898,1.03306,0.68114,0.25207,0.54167,219.17708,116.60746,36.33664,10.07122,0.8142,101.79241,0.0254,48.21092,72.52234,73.67053,1.31085,31.75458,55.53307,28.57033,22.48321,0.02134
2001年,35.01305,96.16174,19.9085,,26.79371,95.41567,20.49196,42.79621,13.1123,60.93911,1538.02294,13.74546,23.7632,59.99776,18.01689,0.19185,71.83094,21.98001,,34.73784,0.89848,0.2651,0.74479,0.5311,204.75151,132.23806,41.33595,11.56909,1.0464,123.73159,0.00776,42.21056,78.63948,87.20223,1.20243,36.35464,62.30352,27.71016,30.35313,0.03076
2002年,43.78657,107.89426,28.378,,33.32955,101.52007,18.24989,42.17338,15.97465,69.84701,1697.08284,13.19302,25.24776,72.52853,24.35954,0.10887,74.46009,23.01887,,32.73435,0.35027,1.03235,0.21624,1.00719,274.28368,125.54722,46.31849,15.34534,2.51709,119.38724,0.0029,44.98111,78.75156,87.85694,1.25398,40.28411,75.95528,29.38693,25.58313,0.05508
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
