,专用设备制造业外商及港澳台商投资工业企业利润总额,交通运输设备制造业外商及港澳台商投资工业企业利润总额,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业利润总额,其他矿采选业外商及港澳台商投资工业企业利润总额,其它制造业外商及港澳台商投资工业企业利润总额,化学原料及化学制品制造业外商及港澳台商投资工业企业利润总额,化学纤维制造业外商及港澳台商投资工业企业利润总额,医药制造业外商及港澳台商投资工业企业利润总额,印刷业、记录媒介的复制外商及港澳台商投资工业企业利润总额,塑料制品业外商及港澳台商投资工业企业利润总额,外商及港澳台商投资工业企业利润总额,家具制造业外商及港澳台商投资工业企业利润总额,文教体育用品制造业外商及港澳台商投资工业企业利润总额,普通机械制造业外商及港澳台商投资工业企业利润总额,有色金属冶炼及压延加工业外商及港澳台商投资工业企业利润总额,有色金属矿采选业外商及港澳台商投资工业企业利润总额,服装及其他纤维制品制造业外商及港澳台商投资工业企业利润总额,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业利润总额,木材及竹材采运业外商及港澳台商投资工业企业利润总额,橡胶制品业外商及港澳台商投资工业企业利润总额,烟草加工业外商及港澳台商投资工业企业利润总额,煤气生产和供应业外商及港澳台商投资工业企业利润总额,煤炭采选业外商及港澳台商投资工业企业利润总额,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业利润总额,电子及通信设备制造业外商及港澳台商投资工业企业利润总额,电气机械及器材制造业外商及港澳台商投资工业企业利润总额,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业利润总额,石油加工及炼焦业外商及港澳台商投资工业企业利润总额,石油和天然气开采业外商及港澳台商投资工业企业利润总额,纺织业外商及港澳台商投资工业企业利润总额,自来水的生产和供应业外商及港澳台商投资工业企业利润总额,造纸及纸制品业外商及港澳台商投资工业企业利润总额,金属制品业外商及港澳台商投资工业企业利润总额,非金属矿物制造业外商及港澳台商投资工业企业利润总额,非金属矿采选业外商及港澳台商投资工业企业利润总额,食品制造业外商及港澳台商投资工业企业利润总额,食品加工业外商及港澳台商投资工业企业利润总额,饮料制造业外商及港澳台商投资工业企业利润总额,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业利润总额,黑色金属矿采选业外商及港澳台商投资工业企业利润总额
2000年,22.17844,127.85102,25.66958,0.059,14.10962,56.62318,29.15131,32.86125,20.32831,34.3162,1282.48,6.85635,12.84626,42.04504,6.28733,0.14838,43.54229,2.92388,,2.17693,0.44052,1.34462,0.20597,120.3196,350.2334,80.73801,16.16537,7.2172,40.09866,33.69891,2.06176,22.96133,29.63296,26.82082,1.03215,24.04451,13.28226,19.61152,12.57365,0.0259
2001年,33.65683,186.85232,30.75065,,20.7561,63.72427,8.17543,38.79125,24.26826,44.76432,1442.95,7.5911,13.52427,48.58471,3.97786,0.41187,43.6955,3.2477,,12.67279,1.59345,0.80083,0.65064,132.56505,328.2904,105.47715,15.66549,1.34187,45.89188,33.29134,1.93844,24.28767,41.61022,30.05168,0.38307,33.48456,19.74735,25.57952,14.75235,0.09904
2002年,49.64654,291.59853,33.49307,,27.5793,115.79759,9.68168,46.16727,25.55097,51.79636,1877.22,9.1923,17.38215,83.21687,9.75871,0.28969,46.05671,3.48131,,23.37054,0.93401,1.05111,0.86595,182.86767,330.17867,117.04141,23.10909,21.01173,53.8185,43.98435,3.18625,46.0485,52.02428,33.43468,0.36513,35.19346,27.0256,38.25544,22.75622,0.07199
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
