,专用设备制造业外商及港澳台商投资工业企业资产总计,交通运输设备制造业外商及港澳台商投资工业企业资产总计,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业资产总计,其他矿采选业外商及港澳台商投资工业企业资产总计,其它制造业外商及港澳台商投资工业企业资产总计,化学原料及化学制品制造业外商及港澳台商投资工业企业资产总计,化学纤维制造业外商及港澳台商投资工业企业资产总计,医药制造业外商及港澳台商投资工业企业资产总计,印刷业、记录媒介的复制外商及港澳台商投资工业企业资产总计,塑料制品业外商及港澳台商投资工业企业资产总计,外商及港澳台商投资工业企业资产总计,家具制造业外商及港澳台商投资工业企业资产总计,文教体育用品制造业外商及港澳台商投资工业企业资产总计,普通机械制造业外商及港澳台商投资工业企业资产总计,有色金属冶炼及压延加工业外商及港澳台商投资工业企业资产总计,有色金属矿采选业外商及港澳台商投资工业企业资产总计,服装及其他纤维制品制造业外商及港澳台商投资工业企业资产总计,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业资产总计,木材及竹材采运业外商及港澳台商投资工业企业资产总计,橡胶制品业外商及港澳台商投资工业企业资产总计,烟草加工业外商及港澳台商投资工业企业资产总计,煤气生产和供应业外商及港澳台商投资工业企业资产总计,煤炭采选业外商及港澳台商投资工业企业资产总计,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业资产总计,电子及通信设备制造业外商及港澳台商投资工业企业资产总计,电气机械及器材制造业外商及港澳台商投资工业企业资产总计,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业资产总计,石油加工及炼焦业外商及港澳台商投资工业企业资产总计,石油和天然气开采业外商及港澳台商投资工业企业资产总计,纺织业外商及港澳台商投资工业企业资产总计,自来水的生产和供应业外商及港澳台商投资工业企业资产总计,造纸及纸制品业外商及港澳台商投资工业企业资产总计,金属制品业外商及港澳台商投资工业企业资产总计,非金属矿物制造业外商及港澳台商投资工业企业资产总计,非金属矿采选业外商及港澳台商投资工业企业资产总计,食品制造业外商及港澳台商投资工业企业资产总计,食品加工业外商及港澳台商投资工业企业资产总计,饮料制造业外商及港澳台商投资工业企业资产总计,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业资产总计,黑色金属矿采选业外商及港澳台商投资工业企业资产总计
2000年,411.65274,1980.78211,355.81558,0.271,327.7003,1398.571,527.50475,529.8095,286.44126,925.54552,25714.06,166.55091,307.38642,919.11248,341.46661,4.00199,797.56298,256.32506,,409.91891,12.91465,42.94884,7.72182,2182.69704,4202.17712,1598.64101,500.39243,172.06261,35.60659,1228.46051,31.33529,910.20147,999.16036,1270.12322,20.24334,635.04497,711.12291,762.50852,443.23708,1.03789
2001年,459.79286,2138.48988,374.31157,,362.48782,1551.51203,332.77813,580.26674,387.86723,1045.05421,28354.46,191.22684,338.10255,1033.49683,308.04335,5.20722,836.95875,273.73902,,439.33139,17.70694,40.66361,24.15985,2529.80421,4800.35011,1759.7666,530.67404,407.85556,101.6354,1343.18291,42.10486,961.65157,1116.3936,1292.46502,18.56143,692.56619,732.65533,777.17776,505.06204,1.35989
2002年,567.7997,2445.45376,475.42138,,420.98894,1691.56535,370.99878,651.25849,370.37299,1166.14069,31513.76,217.92904,387.06936,1172.2729,398.91688,5.74654,925.51108,272.92154,,487.88959,14.13704,64.30755,25.7217,2596.09807,5618.85227,1831.73412,632.66507,457.68175,104.50398,1496.25329,77.13164,1021.04783,1191.93615,1383.63865,19.42019,775.75758,839.48297,789.48142,537.32834,1.98792
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
