,专用设备制造业外商及港澳台商投资工业企业应交所得税,交通运输设备制造业外商及港澳台商投资工业企业应交所得税,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业应交所得税,其他矿采选业外商及港澳台商投资工业企业应交所得税,其它制造业外商及港澳台商投资工业企业应交所得税,化学原料及化学制品制造业外商及港澳台商投资工业企业应交所得税,化学纤维制造业外商及港澳台商投资工业企业应交所得税,医药制造业外商及港澳台商投资工业企业应交所得税,印刷业、记录媒介的复制外商及港澳台商投资工业企业应交所得税,塑料制品业外商及港澳台商投资工业企业应交所得税,外商及港澳台商投资工业企业应交所得税,家具制造业外商及港澳台商投资工业企业应交所得税,文教体育用品制造业外商及港澳台商投资工业企业应交所得税,普通机械制造业外商及港澳台商投资工业企业应交所得税,有色金属冶炼及压延加工业外商及港澳台商投资工业企业应交所得税,有色金属矿采选业外商及港澳台商投资工业企业应交所得税,服装及其他纤维制品制造业外商及港澳台商投资工业企业应交所得税,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业应交所得税,木材及竹材采运业外商及港澳台商投资工业企业应交所得税,橡胶制品业外商及港澳台商投资工业企业应交所得税,烟草加工业外商及港澳台商投资工业企业应交所得税,煤气生产和供应业外商及港澳台商投资工业企业应交所得税,煤炭采选业外商及港澳台商投资工业企业应交所得税,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业应交所得税,电子及通信设备制造业外商及港澳台商投资工业企业应交所得税,电气机械及器材制造业外商及港澳台商投资工业企业应交所得税,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业应交所得税,石油加工及炼焦业外商及港澳台商投资工业企业应交所得税,石油和天然气开采业外商及港澳台商投资工业企业应交所得税,纺织业外商及港澳台商投资工业企业应交所得税,自来水的生产和供应业外商及港澳台商投资工业企业应交所得税,造纸及纸制品业外商及港澳台商投资工业企业应交所得税,金属制品业外商及港澳台商投资工业企业应交所得税,非金属矿物制造业外商及港澳台商投资工业企业应交所得税,非金属矿采选业外商及港澳台商投资工业企业应交所得税,食品制造业外商及港澳台商投资工业企业应交所得税,食品加工业外商及港澳台商投资工业企业应交所得税,饮料制造业外商及港澳台商投资工业企业应交所得税,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业应交所得税,黑色金属矿采选业外商及港澳台商投资工业企业应交所得税
2001年,3.3195,20.84323,2.9244,,2.70203,8.46195,1.8395,5.818,3.05599,4.59931,154.78152,0.62438,1.7504,6.26892,0.85323,0.02895,5.98912,0.60944,,0.91555,0.20312,0.12789,0.07141,9.93865,28.18026,9.65573,2.02992,0.69513,,4.94653,0.20747,3.96863,4.48801,4.00576,0.15871,4.53188,4.98157,4.74583,1.23836,0.00276
2002年,5.45845,28.88971,3.70913,,3.6941,12.62177,7.28929,6.28589,3.48291,5.51442,218.50613,1.20257,2.27412,10.52022,1.47068,0.03359,6.29344,0.95252,,1.46639,0.06682,0.22079,0.14645,21.39665,35.7866,12.36914,3.12832,1.77537,,5.87761,0.32239,5.27696,5.95285,4.71507,0.23649,7.56548,4.5422,5.83568,2.12394,0.00812
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
