,专用设备制造业外商及港澳台商投资工业企业固定资产原价合计,交通运输设备制造业外商及港澳台商投资工业企业固定资产原价合计,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业固定资产原价合计,其他矿采选业外商及港澳台商投资工业企业固定资产原价合计,其它制造业外商及港澳台商投资工业企业固定资产原价合计,化学原料及化学制品制造业外商及港澳台商投资工业企业固定资产原价合计,化学纤维制造业外商及港澳台商投资工业企业固定资产原价合计,医药制造业外商及港澳台商投资工业企业固定资产原价合计,印刷业、记录媒介的复制外商及港澳台商投资工业企业固定资产原价合计,塑料制品业外商及港澳台商投资工业企业固定资产原价合计,外商及港澳台商投资工业企业固定资产原价合计,家具制造业外商及港澳台商投资工业企业固定资产原价合计,文教体育用品制造业外商及港澳台商投资工业企业固定资产原价合计,普通机械制造业外商及港澳台商投资工业企业固定资产原价合计,有色金属冶炼及压延加工业外商及港澳台商投资工业企业固定资产原价合计,有色金属矿采选业外商及港澳台商投资工业企业固定资产原价合计,服装及其他纤维制品制造业外商及港澳台商投资工业企业固定资产原价合计,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业固定资产原价合计,木材及竹材采运业外商及港澳台商投资工业企业固定资产原价合计,橡胶制品业外商及港澳台商投资工业企业固定资产原价合计,烟草加工业外商及港澳台商投资工业企业固定资产原价合计,煤气生产和供应业外商及港澳台商投资工业企业固定资产原价合计,煤炭采选业外商及港澳台商投资工业企业固定资产原价合计,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业固定资产原价合计,电子及通信设备制造业外商及港澳台商投资工业企业固定资产原价合计,电气机械及器材制造业外商及港澳台商投资工业企业固定资产原价合计,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业固定资产原价合计,石油加工及炼焦业外商及港澳台商投资工业企业固定资产原价合计,石油和天然气开采业外商及港澳台商投资工业企业固定资产原价合计,纺织业外商及港澳台商投资工业企业固定资产原价合计,自来水的生产和供应业外商及港澳台商投资工业企业固定资产原价合计,造纸及纸制品业外商及港澳台商投资工业企业固定资产原价合计,金属制品业外商及港澳台商投资工业企业固定资产原价合计,非金属矿物制造业外商及港澳台商投资工业企业固定资产原价合计,非金属矿采选业外商及港澳台商投资工业企业固定资产原价合计,食品制造业外商及港澳台商投资工业企业固定资产原价合计,食品加工业外商及港澳台商投资工业企业固定资产原价合计,饮料制造业外商及港澳台商投资工业企业固定资产原价合计,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业固定资产原价合计,黑色金属矿采选业外商及港澳台商投资工业企业固定资产原价合计
2001年,187.39354,1104.575,153.91815,,159.96469,901.89259,264.49388,249.17288,258.74056,622.46382,16700.29658,85.49312,156.85903,504.98469,175.14938,1.43077,375.40325,163.16922,,262.64227,13.10034,22.65095,13.22174,2814.88729,1993.3301,863.29153,233.21438,332.23682,60.87774,839.25551,17.16643,636.28298,609.1349,877.26321,10.28946,437.07831,408.62574,547.31734,342.75249,0.57248
2002年,222.0152,1244.9799,191.49184,,183.88744,978.2091,307.6862,303.14111,244.54603,708.21097,18726.87612,103.93306,185.92057,592.38658,238.48821,1.42864,411.78764,166.456,,297.37421,10.91543,41.02402,14.77547,3116.23143,2392.80153,923.29891,254.1688,400.67828,65.10568,925.58153,49.69487,698.55762,630.34992,957.19535,12.0775,488.93116,454.06361,580.07845,324.05804,0.9493
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
