,专用设备制造业外商及港澳台商投资工业企业集体资本金,交通运输设备制造业外商及港澳台商投资工业企业集体资本金,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业集体资本金,其他矿采选业外商及港澳台商投资工业企业集体资本金,其它制造业外商及港澳台商投资工业企业集体资本金,化学原料及化学制品制造业外商及港澳台商投资工业企业集体资本金,化学纤维制造业外商及港澳台商投资工业企业集体资本金,医药制造业外商及港澳台商投资工业企业集体资本金,印刷业、记录媒介的复制外商及港澳台商投资工业企业集体资本金,塑料制品业外商及港澳台商投资工业企业集体资本金,外商及港澳台商投资工业企业集体资本金,家具制造业外商及港澳台商投资工业企业集体资本金,文教体育用品制造业外商及港澳台商投资工业企业集体资本金,普通机械制造业外商及港澳台商投资工业企业集体资本金,有色金属冶炼及压延加工业外商及港澳台商投资工业企业集体资本金,有色金属矿采选业外商及港澳台商投资工业企业集体资本金,服装及其他纤维制品制造业外商及港澳台商投资工业企业集体资本金,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业集体资本金,木材及竹材采运业外商及港澳台商投资工业企业集体资本金,橡胶制品业外商及港澳台商投资工业企业集体资本金,烟草加工业外商及港澳台商投资工业企业集体资本金,煤气生产和供应业外商及港澳台商投资工业企业集体资本金,煤炭采选业外商及港澳台商投资工业企业集体资本金,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业集体资本金,电子及通信设备制造业外商及港澳台商投资工业企业集体资本金,电气机械及器材制造业外商及港澳台商投资工业企业集体资本金,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业集体资本金,石油加工及炼焦业外商及港澳台商投资工业企业集体资本金,石油和天然气开采业外商及港澳台商投资工业企业集体资本金,纺织业外商及港澳台商投资工业企业集体资本金,自来水的生产和供应业外商及港澳台商投资工业企业集体资本金,造纸及纸制品业外商及港澳台商投资工业企业集体资本金,金属制品业外商及港澳台商投资工业企业集体资本金,非金属矿物制造业外商及港澳台商投资工业企业集体资本金,非金属矿采选业外商及港澳台商投资工业企业集体资本金,食品制造业外商及港澳台商投资工业企业集体资本金,食品加工业外商及港澳台商投资工业企业集体资本金,饮料制造业外商及港澳台商投资工业企业集体资本金,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业集体资本金,黑色金属矿采选业外商及港澳台商投资工业企业集体资本金
2001年,5.83081,14.42112,3.51842,,3.91825,25.33394,5.11057,8.92006,8.17365,23.54629,353.80951,3.53096,4.56445,8.30464,2.69722,0.01385,21.00855,4.64611,,3.98491,,0.2176,0.64048,25.74239,19.12351,31.40126,8.81234,1.35843,,29.40442,,8.11001,22.81704,27.23764,0.67981,7.29483,10.18738,7.10235,6.14422,0.012
2002年,4.75998,16.89262,3.1514,,4.9048,23.54613,4.02655,6.45131,9.45823,22.28714,310.83866,3.01863,3.93156,8.01625,2.61295,0.0103,18.59631,3.2714,,3.93912,,0.8173,0.16498,11.59868,10.86921,26.66124,7.0551,1.59197,,27.87918,1.12031,6.6743,20.08681,27.62429,0.77618,4.65082,8.80944,8.63072,6.93209,0.02136
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
