,专用设备制造业外商及港澳台商投资工业企业个人资本金,交通运输设备制造业外商及港澳台商投资工业企业个人资本金,仪器仪表及文化办公用机械制造业外商及港澳台商投资工业企业个人资本金,其他矿采选业外商及港澳台商投资工业企业个人资本金,其它制造业外商及港澳台商投资工业企业个人资本金,化学原料及化学制品制造业外商及港澳台商投资工业企业个人资本金,化学纤维制造业外商及港澳台商投资工业企业个人资本金,医药制造业外商及港澳台商投资工业企业个人资本金,印刷业、记录媒介的复制外商及港澳台商投资工业企业个人资本金,塑料制品业外商及港澳台商投资工业企业个人资本金,外商及港澳台商投资工业企业个人资本金,家具制造业外商及港澳台商投资工业企业个人资本金,文教体育用品制造业外商及港澳台商投资工业企业个人资本金,普通机械制造业外商及港澳台商投资工业企业个人资本金,有色金属冶炼及压延加工业外商及港澳台商投资工业企业个人资本金,有色金属矿采选业外商及港澳台商投资工业企业个人资本金,服装及其他纤维制品制造业外商及港澳台商投资工业企业个人资本金,木材加工及竹、藤、棕、草制品业外商及港澳台商投资工业企业个人资本金,木材及竹材采运业外商及港澳台商投资工业企业个人资本金,橡胶制品业外商及港澳台商投资工业企业个人资本金,烟草加工业外商及港澳台商投资工业企业个人资本金,煤气生产和供应业外商及港澳台商投资工业企业个人资本金,煤炭采选业外商及港澳台商投资工业企业个人资本金,电力、蒸汽、热水的生产和供应业外商及港澳台商投资工业企业个人资本金,电子及通信设备制造业外商及港澳台商投资工业企业个人资本金,电气机械及器材制造业外商及港澳台商投资工业企业个人资本金,皮革、毛皮、羽绒及其制品业外商及港澳台商投资工业企业个人资本金,石油加工及炼焦业外商及港澳台商投资工业企业个人资本金,石油和天然气开采业外商及港澳台商投资工业企业个人资本金,纺织业外商及港澳台商投资工业企业个人资本金,自来水的生产和供应业外商及港澳台商投资工业企业个人资本金,造纸及纸制品业外商及港澳台商投资工业企业个人资本金,金属制品业外商及港澳台商投资工业企业个人资本金,非金属矿物制造业外商及港澳台商投资工业企业个人资本金,非金属矿采选业外商及港澳台商投资工业企业个人资本金,食品制造业外商及港澳台商投资工业企业个人资本金,食品加工业外商及港澳台商投资工业企业个人资本金,饮料制造业外商及港澳台商投资工业企业个人资本金,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业个人资本金,黑色金属矿采选业外商及港澳台商投资工业企业个人资本金
2001年,4.20891,7.90624,0.9302,,3.5109,8.45174,1.1407,5.21249,1.09704,8.06168,174.87623,2.40429,3.91833,8.45776,1.60605,0.17973,11.10763,2.11317,,1.89253,,0.03581,0.00655,2.64845,12.13001,11.88972,5.34701,7.69636,,17.72025,,3.42535,8.84295,11.15114,0.16262,4.41949,8.74753,4.80513,3.6447,0.00377
2002年,5.82259,10.90218,1.60486,,4.83867,13.82047,4.54729,5.37869,3.05419,9.57222,256.1308,2.43358,3.81766,9.88318,23.9778,0.0885,14.20859,2.84553,,1.94239,,0.002,0.00655,5.62472,16.80179,13.4031,7.25757,8.56791,,21.96765,,4.18103,13.15706,12.72347,0.68522,7.52321,13.48765,7.18428,4.605,0.2142
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
