,中型工业企业应收帐款净额,中外合作经营工业企业应收帐款净额,中外合资经营工业企业应收帐款净额,其他外商投资工业企业应收帐款净额,其他工业企业应收帐款净额,其他有限责任公司工业企业应收帐款净额,其他港澳台商投资工业企业应收帐款净额,其他联营工业企业应收帐款净额,内资工业企业应收帐款净额,合作经营(港或澳、台资)工业企业应收帐款净额,合资经营(港或澳、台资)工业企业应收帐款净额,国有与集体联营工业企业应收帐款净额,国有工业企业应收帐款净额,国有独资公司工业企业应收帐款净额,国有联营工业企业应收帐款净额,外商投资工业企业应收帐款净额,外商投资股份有限公司工业企业应收帐款净额,外资工业企业应收帐款净额,大型工业企业应收帐款净额,小型工业企业应收帐款净额,工业企业应收帐款净额,有限责任公司工业企业应收帐款净额,港、澳、台商投资工业企业应收帐款净额,港澳台商投资股份有限公司工业企业应收帐款净额,港澳台商独资经营工业企业应收帐款净额,私营合伙工业企业应收帐款净额,私营工业企业应收帐款净额,私营有限责任公司工业企业应收帐款净额,私营独资工业企业应收帐款净额,私营股份有限公司工业企业应收帐款净额,联营工业企业应收帐款净额,股份合作工业企业应收帐款净额,股份有限公司工业企业应收帐款净额,轻工业企业应收帐款净额,重工业企业应收帐款净额,集体工业企业应收帐款净额,集体联营工业企业应收帐款净额
2003年,6938.89304,147.8562,1928.32845,0.0,15.68961,2409.73795,0.0,16.87612,11559.70575,203.99782,1082.39126,40.53606,2756.65548,1076.01383,43.85875,4096.8235,139.24554,1881.39331,5025.15234,6396.34011,18360.38549,3485.75178,2703.85624,117.29169,1300.17547,84.42807,2152.81553,1492.65561,448.26715,127.4647,119.07594,449.3042,1650.17916,5911.6146,12448.77089,930.23405,17.80501
2004年,8454.77,219.32,2446.39,0.0,11.44,3674.47,0.0,16.0,13644.61,187.52,1206.07,24.08,2240.72,873.6,43.24,6037.98,214.73,3157.54,5547.94,9081.7,23084.41,4548.07,3401.82,110.22,1898.0,96.23,3619.05,2865.47,478.75,178.61,95.76,352.73,1981.05,7031.5,16052.91,795.79,12.44
2005年,9444.70877,290.26624,2735.79304,0.0,46.26636,4338.0633,0.0,19.85585,15224.18939,183.20901,1307.51118,21.87436,2202.22006,1125.77383,29.72276,7378.95453,242.08236,4110.81289,7574.09628,9627.37426,26646.17931,5463.83713,4043.03539,139.96298,2412.35222,110.94833,4333.84824,3462.18654,554.14115,206.57222,86.26251,359.908,1963.17411,7879.1939,18766.98541,768.67298,14.80954
2006年,11313.83,255.34,3272.08,0.0,44.95,5475.93,0.0,18.72,18036.33,202.0,1514.67,21.26,2199.94,1186.27,42.84,8992.94,296.86,5168.67,8892.36,11486.02,31692.21,6662.2,4662.94,138.26,2808.01,147.73,5737.66,4582.45,735.57,271.91,100.92,361.27,2154.43,9180.61,22511.6,774.96,18.1
2007年,13854.45996,311.91728,3972.84257,0.0,61.78064,6519.29539,0.0,22.38754,21905.29403,227.75644,1869.35881,20.58555,2411.07058,1591.96111,56.03897,11110.72115,419.8445,6406.1168,10880.69003,13955.42806,38690.57805,8111.2565,5674.56287,173.76335,3403.68427,173.65047,7500.20919,6042.07468,907.62173,376.86231,112.48717,369.73496,2555.98013,10856.65558,27833.92247,782.77486,13.47511
2008年,14899.03079,280.80925,4206.4356,0.0,122.09874,7668.40434,0.0,17.92153,26810.25746,162.08895,1822.77379,16.40355,2752.94676,1510.99624,54.9742,11012.48607,325.49069,6199.75053,11780.86962,17253.9159,43933.81631,9179.40058,6111.07278,163.3439,3962.86614,234.68587,10375.75546,8229.9162,1320.58911,590.56428,102.71104,320.15451,3275.81781,11956.481,31977.33531,681.37256,13.41176
2009年,17888.24579,260.83346,5097.92129,0.0,130.94692,8793.55004,0.0,12.9652,30538.96788,169.77757,2756.68223,11.33072,3048.49051,1925.24445,53.75768,13143.13264,371.17982,7413.19807,14320.16613,19191.41006,51399.82198,10718.79449,7717.72146,245.46997,4545.79169,242.54704,11944.17718,9553.12683,1403.01022,745.49309,90.27722,329.27494,3645.10336,13273.52861,38126.29337,631.90326,12.22362
2010年,21325.88758,291.10657,6036.31778,0.0,161.88408,10812.18782,0.0,9.71063,37264.9503,186.75336,2572.97968,18.86011,3551.82275,2079.85015,41.53222,15715.64581,535.70135,8852.52011,17894.10797,22221.25439,61441.24994,12892.03797,8460.65383,335.04108,5365.87971,298.56231,15137.66328,12090.39952,1693.10894,1055.59251,84.78327,333.91205,4423.51248,15751.63253,45689.61741,679.33442,14.68031
2011年,18882.06597,269.31908,6505.4091,12.94596,622.84477,13492.38314,14.61659,16.53043,43369.95758,191.13743,2960.80704,24.80495,3664.75399,2271.68968,31.6726,17311.19459,582.32742,9941.19303,28999.99197,22619.94359,70502.00153,15764.07282,9820.84936,381.94129,6272.34701,241.6044,16244.407,13159.71041,1562.72546,1280.36673,88.16604,325.05979,6079.86774,17072.59998,53429.40155,580.78543,15.15806
2012年,21559.6509,336.42979,7031.10119,40.44464,895.86278,16907.60551,23.70963,17.08657,54192.5166,189.33437,3342.27137,26.92728,4668.65579,2878.55812,47.5094,18509.61161,639.05834,10462.57765,34421.63476,28061.85382,84043.13948,19786.16363,11341.01127,525.12621,7260.56969,298.6457,19819.71446,16187.98071,1761.86816,1571.21989,103.53185,328.5187,7991.17592,20113.3272,63929.81228,598.89347,12.0086
2013年,24906.87,360.66,8154.15,56.01,177.57,22299.24,13.88,7.68,64942.02,211.37,3599.03,6.93,2856.56,4488.13,15.82,20458.11,640.3,11246.98,38390.72,34105.13,97402.73,26787.37,12002.6,563.29,7615.03,160.89,24676.23,21529.77,942.55,2043.02,37.02,173.65,9730.95,23319.95,74082.79,502.68,6.58
2014年,27085.18,366.43,8067.53,60.14,160.48,25907.32,4.64,5.19,73017.57,226.42,3888.14,6.17,2611.12,4819.13,9.17,21004.13,630.23,11879.8,42357.09,37994.72,107436.99,30726.45,13415.29,611.98,8684.11,149.17,27805.4,24400.69,915.09,2340.45,25.39,168.56,11015.81,25773.85,81663.14,504.37,4.85
