,其他发电施工规模,其他汽车制造施工规模,其他酒施工规模,化学纤维施工规模,卷烟施工规模,原煤开采施工规模,啤酒施工规模,城市自来水供水能力(万吨/日)施工规模,塑料树脂及共聚物施工规模,天然原油开采施工规模,天然气开采施工规模,客车制造施工规模,家用洗衣机施工规模,家用电冰箱施工规模,平板玻璃施工规模,改建公路施工规模,新(扩)建港口码头年吞吐量施工规模,新(扩)建港口码头泊位施工规模,新建公路施工规模,新建铁路投产里程施工规模,机制纸浆施工规模,核能发电施工规模,棉纺锭施工规模,毛纺锭施工规模,氧化铝施工规模,氮肥施工规模,水力发电施工规模,水泥施工规模,火力发电施工规模,焦炭施工规模,生铁施工规模,电石施工规模,电视机施工规模,电解铅施工规模,电解铜施工规模,电解铝施工规模,电解锌施工规模,白酒施工规模,磷肥施工规模,粗钢施工规模,轮胎内胎施工规模,轮胎外胎施工规模,载货汽车制造施工规模,轿车制造施工规模,钾肥施工规模,铁合金施工规模,铁矿开采(原矿)施工规模,铅冶炼施工规模,铅含量施工规模,铅锌选矿处理原矿施工规模,铅锌采矿施工规模,铜冶炼施工规模,铜选矿处理原矿施工规模,铜选矿铜含量施工规模,铜采矿(原矿)施工规模,锌冶炼施工规模,锌含量施工规模,风能发电施工规模
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,172.0,57800.0,30.0,1536510.0,3807167.0,26156.0,317.0,,3564930.0,2218.0,54.0,956400.0,224.0,168.0,2218.0,102701.0,,20374.0,53502.0,,1071.0,460.0,6149367.0,71514.0,4479800.0,3802676.0,6690.0,17582.0,9120.0,11091.0,7912.0,1644607.0,264.0,56000.0,390500.0,4716229.0,221500.0,62.0,3195650.0,7042.0,977.0,4380.0,106094.0,1472999.0,307350.0,785.0,2237.0,278320.0,35435.0,295.0,3258.0,423300.0,410.0,24510.0,342.0,481819.0,41730.0,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,848.94,375055.0,130.0,4939477.0,5261368.0,75655.99,760.06,,10404741.0,2628.23,152.79,346337.0,1184.7,922.7,17048.26,152268.54,,572.0,102010.72,,560.68,532.0,22927497.0,441164.0,10677570.0,9806545.0,15190.34,58312.14,27253.31,18481.47,13501.48,2577960.0,4253.5,821300.0,781675.0,3219177.5,228045.0,389.22,6214065.0,,3443.5,7676.8,504680.0,4198296.0,1542796.0,1543.77,18189.62,1242208.0,95700.0,720.3,1528.07,1950339.0,522.54,36615.0,1008.67,1278327.0,140172.0,
2006年,1278.36,407070.0,172.47,3388779.0,3842714.0,95264.64,896.51,,7675882.0,2137.14,119.77,187250.0,773.0,607.0,8886.55,206715.33,21700.22,50919.98,107992.26,9215.29,405.36,731.08,30385226.0,363355.0,11438718.0,13423526.0,16789.94,53145.09,25101.38,13060.03,7462.35,2041180.0,2446.2,848550.0,786016.0,3383819.0,723697.0,340.04,9086657.0,7291.82,13827.05,16005.01,637813.0,3541029.0,2345345.0,4905262.31,16071.02,1718899.0,200189.0,1687.88,3186.01,2184148.0,1187.4,50032.0,1055.65,1401319.0,272687.0,
2007年,2128.71,387563.0,209.98,6356437.0,4088422.0,109746.3,1386.04,,13096544.0,3697.09,288.52,529284.0,607.25,1384.9,12522.42,240051.66,18572959.0,687.0,141541.82,12976.86,588.91,1078.2,31788070.0,247880.0,8202970.0,13017239.0,25044.48,60364.74,23138.8,13358.6,9791.77,4446131.0,618.2,1070000.0,981412.0,2892238.0,685738.0,691.71,7033293.0,8014.01,9379.0,14999.65,493069.0,3552227.0,2674426.0,6435847.0,18383.51,2534065.0,334898.0,4245.29,3766.17,2629628.8,2268.55,275652.0,4292.29,8029819.0,506192.0,
2008年,3103.93,271122.0,80.99,6468620.36,2460005.0,89492.89,916.88,7647.86,7972789.23,2199.47,138.95,345950.0,801.5,1501.55,40633.12,202289.32,19287273.0,511.0,119587.35,16408.82,423.21,1717.9,15445976.0,807306.0,8668750.0,11048616.0,13188.02,75704.54,21059.6,17168.79,10000.29,7135681.0,697.4,507880.0,824346.1,2200645.0,504259.0,329.96,5135529.3,7115.61,5517.52,9437.37,303100.0,3425118.0,1724663.94,5136785.12,18370.19,1149196.0,168259.4,1723.34,2832.1,2043914.7,865.16,31896.0,3199.23,1694601.3,193702.4,
2009年,3534.01,374919.0,112.27,4244650.7,4030006.0,101007.96,736.28,8269.81,6622962.3,2802.58,29.91,644420.0,977.5,636.0,18935.53,216840.94,43080.07,498.0,167687.57,20994.42,623.07,2985.9,16342129.7,216802.0,5981900.0,15645973.0,11117.86,93978.81,18043.07,18461.98,6247.54,6389909.5,755.64,444180.0,1231646.0,2988406.0,983330.0,272.3,6985658.67,5199.5,24736.3,8751.45,698030.0,3485065.0,3296149.0,5272880.7,16411.93,1477021.1,142798.5,2577.04,3535.92,2640646.5,1788.45,72248.0,3346.3,2503422.0,178037.0,
2010年,4883.0,696318.0,105.0,5469971.0,8684600.0,137744.0,982.0,3116.0,11185558.0,4062.0,587.0,1201670.0,1518.0,1901.0,34455.0,168576.0,98360.0,654.0,117755.0,12890.0,382.0,3242.0,17259841.0,338800.0,8006170.0,12910532.0,7882.0,83307.0,16965.0,20435.0,4524.0,6787305.0,464.0,416473.0,1528200.0,4391600.0,960112.0,476.0,4455356.0,3457.0,23116.0,17540.0,780900.0,3035653.0,2166839.0,4531116.0,27257.0,1611052.0,291845.0,4139.0,4504.0,2944067.0,2307.0,66447.0,4747.0,2568893.0,270568.0,
2011年,1105.09,511402.0,66.24,11591626.0,1947000.0,131376.73,651.12,32728.97,12738977.0,4168.19,464.05,758359.0,940.0,1943.2,25015.17,112419.36,83540.56,763.4,96819.94,29340.9,380.33,2055.5,19542457.0,460800.0,9489617.0,15340433.5,11634.49,64822.5,13918.71,18661.49,7234.35,7286777.0,467.8,501530.0,1094000.0,3647183.0,986000.0,832.47,3581882.0,4872.28,3825.0,20144.72,776278.0,4847339.0,3223665.0,1109301.7,25155.79,1086594.0,244671.5,3072.62,51262.07,2597460.0,4800.84,223851.0,13352.85,1803227.0,322133.0,3875.61
2012年,1574.33,347292.0,126.22,12563039.0,4020000.0,151118.24,835.5,3254.4,23567213.8,3143.69,361.97,907142.0,1082.0,2524.5,15008.05,112621.84,140952.1,789.0,117316.16,12675.91,418.88,2777.5,19941774.0,157818.0,9666820.1,24566301.3,12687.51,63432.75,13008.8,17967.95,5337.74,16108157.7,1307.0,521240.0,1506934.0,9437819.0,632200.0,2012.72,3413331.0,4150.71,3587.5,22618.78,501402.0,6364730.0,4632709.0,,29263.41,1310759.1,405759.0,3063.85,4942.76,3007595.0,6078.28,140179.35,6278.15,934130.0,387085.0,3844.13
2013年,920.14,213135.0,193.36,14045299.6,4005600.0,140353.94,426.34,2100.28,20151602.9,3087.24,279.63,372923.0,728.0,1759.0,16181.1,91274.06,83306.45,791.82,95761.41,14088.24,314.54,3380.0,15462305.0,210177.0,8280400.0,20928233.0,12182.29,50340.72,13478.95,16979.84,2797.99,,1008.8,522900.0,862067.0,6362000.0,345677.0,277.63,3402061.0,4832.89,2096.0,16232.7,116880.0,4125275.0,2154073.0,,36120.68,950881.0,239567.9,1396.8,6141.25,3176805.0,4487.88,157952.0,6343.56,945741.0,332465.0,3690.15
2014年,991.98,195393.0,154.77,12959602.0,7492015.0,104522.62,433.48,2262.97,16251091.36,2993.72,321.27,566600.0,605.0,1107.0,11892.9,95766.37,83615.41,661.64,92297.22,19948.08,288.63,2637.61,11555314.0,142995.6,3845926.5,18986651.83,11264.92,35397.64,19700.37,12038.51,1712.18,,743.0,140030.0,534100.0,4000349.5,,218.1,2810835.2,4828.92,2336.9,13797.23,247400.0,4736525.0,2927540.0,,26399.91,625859.9,235139.1,1734.23,5816.77,1829098.5,2352.66,168873.35,3294.95,1166063.0,214343.73,4575.04
