,规模以上专用设备制造业工业企业有效发明专利数,规模以上交通运输设备制造业工业企业有效发明专利数,规模以上仪器仪表及文化、办公用机械制造业工业企业有效发明专利数,规模以上农副食品加工业企业有效发明专利数,规模以上化学原料及化学制品制造业工业企业有效发明专利数,规模以上化学纤维制造业工业企业有效发明专利数,规模以上医药制造业工业企业有效发明专利数,规模以上印刷业和记录媒介的复制工业企业有效发明专利数,规模以上塑料制品业工业企业有效发明专利数,规模以上家具制造业工业企业有效发明专利数,规模以上工业企业有效发明专利数,规模以上工艺品及其他制造业工业企业有效发明专利数,规模以上文教体育用品制造业工业企业有效发明专利数,规模以上有色金属冶炼及压延加工业企业有效发明专利数,规模以上有色金属矿采选业工业企业有效发明专利数,规模以上木材加工及木、竹、藤、棕、草制品业工业企业有效发明专利数,规模以上橡胶制品业工业企业有效发明专利数,规模以上水的生产和供应业工业企业有效发明专利数,规模以上烟草制品业工业企业有效发明专利数,规模以上煤炭开采和洗选业工业企业有效发明专利数,规模以上燃气生产和供应业工业企业有效发明专利数,规模以上电力、热力的生产和供应业工业企业有效发明专利数,规模以上电气机械及器材制造业工业企业有效发明专利数,规模以上皮革、毛皮、羽毛(绒)及其制品业工业企业有效发明专利数,规模以上石油加工、炼焦及核燃料加工业企业有效发明专利数,规模以上石油和天然气开采业工业企业有效发明专利数,规模以上纺织业工业企业有效发明专利数,规模以上纺织服装、鞋、帽制造业工业企业有效发明专利数,规模以上通信设备、计算机及其他电子设备制造业工业企业有效发明专利数,规模以上通用设备制造业工业企业有效发明专利数,规模以上造纸及纸制品业工业企业有效发明专利数,规模以上金属制品业工业企业有效发明专利数,规模以上非金属矿物制品业工业企业有效发明专利数,规模以上非金属矿采选业工业企业有效发明专利数,规模以上食品制造业工业企业有效发明专利数,规模以上饮料制造业工业企业有效发明专利数,规模以上黑色金属冶炼及压延加工业企业有效发明专利数,规模以上黑色金属矿采选业工业企业有效发明专利数
2004年,,,,,,,,,,,30315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,80252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,118245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,16358.0,12071.0,6759.0,1613.0,11917.0,733.0,10506.0,578.0,3393.0,1102.0,201089.0,863.0,1229.0,4651.0,71.0,583.0,999.0,116.0,490.0,606.0,48.0,2415.0,24052.0,377.0,1228.0,954.0,1962.0,686.0,62159.0,13464.0,809.0,4780.0,6366.0,118.0,1435.0,1239.0,4119.0,204.0
2012年,21785.0,,,2261.0,16777.0,1064.0,15058.0,1016.0,,814.0,277196.0,,,5338.0,114.0,1224.0,,128.0,710.0,1023.0,69.0,3078.0,31346.0,,1514.0,807.0,2245.0,,83589.0,22984.0,1042.0,8093.0,7740.0,157.0,2375.0,,5976.0,376.0
2013年,28145.0,,,3221.0,22005.0,1288.0,19558.0,1404.0,,880.0,335401.0,,,6753.0,140.0,1011.0,,138.0,1168.0,835.0,49.0,3602.0,38601.0,,1710.0,1198.0,2587.0,,97994.0,23994.0,1282.0,9656.0,8941.0,221.0,3105.0,,7018.0,540.0
2014年,39555.0,,,4858.0,29433.0,1394.0,24799.0,1610.0,,2073.0,448885.0,,,8361.0,176.0,991.0,,205.0,1605.0,1222.0,149.0,6710.0,51467.0,,1900.0,1255.0,4338.0,,126488.0,33014.0,1877.0,12514.0,11574.0,244.0,4411.0,,9543.0,893.0
