,实物交易资金来源_其他经常转移,实物交易资金来源_其他财产收入,实物交易资金来源_其他资本转移,实物交易资金来源_其他非金融资产获得减处置,实物交易资金来源_净出口,实物交易资金来源_净金融投资,实物交易资金来源_初次分配总收入,实物交易资金来源_利息,实物交易资金来源_劳动者报酬,实物交易资金来源_单位社会保险付款,实物交易资金来源_可支配总收入,实物交易资金来源_固定资本形成总额,实物交易资金来源_地租,实物交易资金来源_增加值,实物交易资金来源_存货增加,实物交易资金来源_居民消费,实物交易资金来源_工资及工资性收入,实物交易资金来源_总储蓄,实物交易资金来源_投资性补助,实物交易资金来源_收入税,实物交易资金来源_政府消费,实物交易资金来源_最终消费,实物交易资金来源_生产税,实物交易资金来源_生产税净额,实物交易资金来源_生产补贴,实物交易资金来源_社会保险福利,实物交易资金来源_社会保险缴款,实物交易资金来源_社会补助,实物交易资金来源_红利,实物交易资金来源_经常转移,实物交易资金来源_财产收入,实物交易资金来源_资本形成总额,实物交易资金来源_资本转移
2005年,5085.50314238,393.646701483,485.061176799,,-10209.0533722,,183617.408976,15451.939,93296.8720259,,185572.364121,,306.0631,184937.4,,,,75370.8200857,1781.96573482,6949.2665,,,,23685.681399,,5400.8,6975.2,2241.91,8677.6515333,26652.6796424,24829.3003348,,2267.02691162
2006年,5868.48593951,1180.90136641,565.07707512,,-16654.5988233,,215904.359777,24986.86,106554.741343,,218141.812917,,579.864,216314.380142,,,,86555.8813189,1965.08540191,8814.8529,,,,27656.6856117,,6477.4,8643.2,2807.754,10164.4112636,32611.6928395,36912.03663,,2530.16247703
2007年,7699.66915664,2387.234,671.5455328,,-23423.0596287,,266421.999212,31292.06,128108.491182,,269243.210698,,965.6565,265810.305844,,,,110154.346282,2507.65918761,11964.83,,,,35304.8632,,7887.9,10812.3,3364.59583,13407.8668487,41729.2949866,48052.8173487,,3179.20472041
2008年,9460.83358809,2058.48412313,786.67899013,,-24226.7682601,,316030.337527,43538.17006,150701.731331,,319027.49338,,1337.06,314045.425794,,,,136396.157534,3162.56915715,14897.94,,,,39556.3366667,,9925.1,13696.1,5156.87594,15231.3795169,53136.8495281,62165.0937,,3949.24814728
2009年,9575.12775954,2301.97622114,1739.684,,-15037.1077174,,340319.951542,41421.256,167098.092621,,342482.489269,,1733.808814,340902.812581,,,,156590.904364,3817.29234894,15486.184512,,,,41962.7575439,,12302.6,16115.6,6246.031731,17865.0044049,59725.5440025,63322.04544,,5556.97634894
2010年,11466.3370013,2748.03668278,1616.8047858,,-15097.601015,,399759.544314,56850.276715,190967.992556,,402513.713616,,2428.67602574,401512.8,,,,192300.198985,5174.52257057,17680.81,,,,52672.5909182,,16207.243134,20584.5011,6137.51478654,15378.6528497,72076.4060218,77405.6422732,,6791.32735637
2011年,14026.2673596,3211.54652427,2436.88325064,,-12163.3,,,82711.24572,222528.353704,,470145.44467,,3075.524,473104.048647,,,,228829.248314,6219.44472476,22823.75,,,,62270.8052059,,,,7588.84553155,18179.7255845,44438.8628911,107178.041829,,8656.3279754
2012年,15975.6990226,4093.77579032,3023.71713953,,-14632.4,,,103907.53375,256676.808411,,518431.549566,,4411.21098258,519470.09917,,,,242844.098793,6622.54401218,25818.161912,,,,68866.0282854,,23930.6977,31411.0283,8708.279533,17606.9309466,105843.866468,130019.45147,,9646.26115171
2013年,17800.8965165,3305.0494405,3944.13356724,,-14552.0992661,,,87877.793724,299072.279679,,582656.905328,,5127.9177,588018.755872,,,,272458.256606,7707.34359611,29030.3639,,,,73536.4115246,,28743.9264,35993.5842,10090.9631663,23563.1681254,121659.734183,119873.92899,,11651.4771633
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
