,专用设备制造业外商及港澳台商投资工业企业单位数,交通运输设备制造业外商及港澳台商投资工业企业单位数,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业单位数,其他采矿业外商及港澳台商投资工业企业单位数,农副食品加工业外商及港澳台商投资工业企业单位数,化学原料及化学制品制造业外商及港澳台商投资工业企业单位数,化学纤维制造业外商及港澳台商投资工业企业单位数,医药制造业外商及港澳台商投资工业企业单位数,印刷业和记录媒介的复制外商及港澳台商投资工业企业单位数,塑料制品业外商及港澳台商投资工业企业单位数,外商及港澳台商投资工业企业单位数,家具制造业外商及港澳台商投资工业企业单位数,工艺品及其他制造业外商及港澳台商投资工业企业单位数,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业单位数,文教体育用品制造业外商及港澳台商投资工业企业单位数,有色金属冶炼及压延加工业外商及港澳台商投资工业企业单位数,有色金属矿采选业外商及港澳台商投资工业企业单位数,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业单位数,橡胶制品业外商及港澳台商投资工业企业单位数,水的生产和供应业外商及港澳台商投资工业企业单位数,烟草制品业外商及港澳台商投资工业企业单位数,煤炭开采和洗选业外商及港澳台商投资工业企业单位数,燃气生产和供应业外商及港澳台商投资工业企业单位数,电力、热力的生产和供应业外商及港澳台商投资工业企业单位数,电气机械及器材制造业外商及港澳台商投资工业企业单位数,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业单位数,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业单位数,石油和天然气开采业外商及港澳台商投资工业企业单位数,纺织业外商及港澳台商投资工业企业单位数,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业单位数,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业单位数,通用设备制造业外商及港澳台商投资工业企业单位数,造纸及纸制品业外商及港澳台商投资工业企业单位数,金属制品业外商及港澳台商投资工业企业单位数,非金属矿物制品业外商及港澳台商投资工业企业单位数,非金属矿采选业外商及港澳台商投资工业企业单位数,食品制造业外商及港澳台商投资工业企业单位数,饮料制造业外商及港澳台商投资工业企业单位数,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业单位数,黑色金属矿采选业外商及港澳台商投资工业企业单位数
2003年,1029.0,1319.0,834.0,,1589.0,2041.0,194.0,701.0,611.0,2439.0,38581.0,616.0,1517.0,20.0,1196.0,346.0,20.0,688.0,422.0,31.0,7.0,15.0,59.0,309.0,2333.0,1848.0,110.0,3.0,3115.0,4035.0,2937.0,1714.0,825.0,1929.0,1773.0,85.0,1081.0,512.0,267.0,11.0
2004年,2074.0,2008.0,1302.0,1.0,2133.0,3011.0,302.0,880.0,696.0,3487.0,57165.0,1059.0,1860.0,100.0,1586.0,651.0,38.0,930.0,783.0,58.0,7.0,26.0,92.0,389.0,3926.0,2524.0,164.0,7.0,5236.0,5118.0,4677.0,3081.0,1222.0,2824.0,2423.0,119.0,1272.0,564.0,512.0,23.0
2005年,2001.0,2072.0,1235.0,4.0,2130.0,3045.0,276.0,890.0,662.0,3345.0,56387.0,1051.0,1830.0,100.0,1616.0,638.0,37.0,918.0,744.0,60.0,6.0,26.0,108.0,396.0,3830.0,2494.0,160.0,7.0,5007.0,5110.0,4637.0,2987.0,1234.0,2792.0,2435.0,127.0,1294.0,569.0,489.0,25.0
2006年,2303.0,2435.0,1343.0,1.0,2321.0,3295.0,288.0,955.0,675.0,3530.0,60872.0,1151.0,1993.0,119.0,1660.0,716.0,47.0,945.0,792.0,67.0,7.0,32.0,137.0,405.0,4129.0,2602.0,173.0,7.0,5306.0,5438.0,4965.0,3306.0,1296.0,3106.0,2587.0,134.0,1385.0,649.0,546.0,26.0
2007年,2771.0,2828.0,1467.0,1.0,2474.0,3658.0,301.0,1035.0,725.0,3892.0,67456.0,1265.0,2113.0,124.0,1800.0,769.0,59.0,1026.0,848.0,83.0,6.0,31.0,165.0,443.0,4612.0,2713.0,199.0,10.0,5590.0,6047.0,5782.0,3880.0,1390.0,3565.0,2843.0,139.0,1475.0,717.0,575.0,35.0
2008年,3772.0,3642.0,1613.0,1.0,2621.0,4293.0,356.0,1144.0,802.0,4355.0,77847.0,1436.0,2307.0,179.0,1996.0,900.0,75.0,1075.0,1022.0,136.0,4.0,42.0,223.0,489.0,5601.0,2838.0,221.0,11.0,5903.0,6659.0,6905.0,4993.0,1551.0,4308.0,3154.0,150.0,1601.0,807.0,616.0,46.0
2009年,3598.0,3637.0,1523.0,,2600.0,4281.0,321.0,1144.0,785.0,4236.0,75376.0,1361.0,2176.0,164.0,1907.0,855.0,67.0,1002.0,1005.0,148.0,3.0,38.0,233.0,481.0,5500.0,2670.0,207.0,17.0,5673.0,6319.0,6714.0,4862.0,1494.0,4067.0,3094.0,147.0,1601.0,818.0,583.0,45.0
2010年,3564.0,3677.0,1498.0,,2453.0,4302.0,321.0,1140.0,744.0,4231.0,74045.0,1359.0,2064.0,173.0,1830.0,857.0,63.0,930.0,931.0,160.0,3.0,36.0,250.0,496.0,5347.0,2575.0,220.0,18.0,5663.0,5906.0,6695.0,4884.0,1492.0,3941.0,3072.0,133.0,1558.0,842.0,574.0,43.0
2011年,2642.0,3208.0,1132.0,,2014.0,3537.0,295.0,951.0,589.0,3068.0,57216.0,1007.0,1328.0,157.0,1271.0,741.0,56.0,639.0,681.0,119.0,3.0,40.0,251.0,461.0,4263.0,1931.0,182.0,18.0,4307.0,3938.0,5510.0,3794.0,1162.0,2914.0,2392.0,90.0,1223.0,744.0,521.0,37.0
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
