,专用设备制造业外商及港澳台商投资工业企业销售费用,交通运输设备制造业外商及港澳台商投资工业企业销售费用,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业销售费用,其他采矿业外商及港澳台商投资工业企业销售费用,农副食品加工业外商及港澳台商投资工业企业销售费用,化学原料及化学制品制造业外商及港澳台商投资工业企业销售费用,化学纤维制造业外商及港澳台商投资工业企业销售费用,医药制造业外商及港澳台商投资工业企业销售费用,印刷业和记录媒介的复制外商及港澳台商投资工业企业销售费用,塑料制品业外商及港澳台商投资工业企业销售费用,外商及港澳台商投资工业企业销售费用,家具制造业外商及港澳台商投资工业企业销售费用,工艺品及其他制造业外商及港澳台商投资工业企业销售费用,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业销售费用,文教体育用品制造业外商及港澳台商投资工业企业销售费用,有色金属冶炼及压延加工业外商及港澳台商投资工业企业销售费用,有色金属矿采选业外商及港澳台商投资工业企业销售费用,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业销售费用,橡胶制品业外商及港澳台商投资工业企业销售费用,水的生产和供应业外商及港澳台商投资工业企业销售费用,烟草制品业外商及港澳台商投资工业企业销售费用,煤炭开采和洗选业外商及港澳台商投资工业企业销售费用,燃气生产和供应业外商及港澳台商投资工业企业销售费用,电力、热力的生产和供应业外商及港澳台商投资工业企业销售费用,电气机械及器材制造业外商及港澳台商投资工业企业销售费用,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业销售费用,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业销售费用,石油和天然气开采业外商及港澳台商投资工业企业销售费用,纺织业外商及港澳台商投资工业企业销售费用,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业销售费用,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业销售费用,通用设备制造业外商及港澳台商投资工业企业销售费用,造纸及纸制品业外商及港澳台商投资工业企业销售费用,金属制品业外商及港澳台商投资工业企业销售费用,非金属矿物制品业外商及港澳台商投资工业企业销售费用,非金属矿采选业外商及港澳台商投资工业企业销售费用,食品制造业外商及港澳台商投资工业企业销售费用,饮料制造业外商及港澳台商投资工业企业销售费用,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业销售费用,黑色金属矿采选业外商及港澳台商投资工业企业销售费用
2003年,32.12753,147.98343,36.90793,,50.08542,224.0025,5.77027,123.29644,10.10224,36.82441,1796.84924,15.03019,17.75743,0.03873,14.73555,8.22029,0.35391,9.75749,24.37356,0.33211,0.73298,1.97233,1.5593,1.45902,136.70318,23.37018,16.95925,0.10577,37.55377,53.62559,316.11255,60.77156,34.05931,45.07904,46.97235,2.5649,127.25942,123.05173,9.19935,0.03823
2004年,53.73441,199.71701,38.95883,0.02235,70.42728,316.88558,8.7254,159.2835,11.12167,56.31183,2426.25254,23.52208,20.39521,1.06391,18.87934,13.26848,1.06168,12.68661,32.91225,1.76273,0.26203,14.28236,3.84149,4.31971,185.21491,28.62027,21.02005,0.17338,58.89382,64.81679,395.01626,96.81901,46.06399,54.48524,66.26968,3.89516,167.23272,156.55082,17.46695,0.26775
2005年,59.58699,238.36852,47.22316,0.36543,87.74728,359.6452,10.16026,189.05991,13.04522,53.53929,2818.6424,28.25518,27.27299,1.06787,22.0027,15.03157,1.56954,15.27018,33.91114,2.09242,0.183,15.19583,4.90895,2.73432,211.99915,36.25764,24.57745,0.39238,64.10707,80.68966,467.64188,109.35293,52.54211,66.3556,73.12052,4.8436,198.91182,175.09394,24.06382,0.45588
2006年,79.95,332.27,55.94,0.01,98.82,396.73,10.48,223.06,14.23,64.43,3369.66,32.28,33.09,1.92,25.9,18.26,0.62,17.24,33.75,2.2,0.23,15.4,8.62,2.1,248.93,41.09,27.5,0.88,70.37,93.69,543.57,136.02,62.46,78.31,87.79,5.87,230.82,235.42,37.77,1.65
2007年,107.63248,417.21201,70.00934,0.00755,121.37102,476.11508,14.49034,253.21231,16.87685,76.80758,4206.01117,38.30757,34.88528,2.2994,28.72153,25.93099,1.00636,22.73647,39.93439,4.54426,0.20053,18.16673,11.07155,2.51719,312.93768,54.83642,40.97797,0.82357,85.05837,115.47954,731.12705,174.94028,74.98637,93.80122,111.26336,11.14832,287.9323,274.443,49.13499,3.06392
2008年,143.22937,518.29553,73.89934,0.00995,147.10888,559.46663,12.31026,327.60359,20.82058,87.88011,4858.69142,40.35791,39.74136,3.12692,30.69547,33.58913,3.35832,25.53657,51.57835,4.89925,0.22561,12.48769,15.09788,3.32492,342.45514,65.36106,54.42121,1.23358,86.38675,145.15469,723.80902,212.60835,84.21287,109.15126,129.5426,13.76211,357.50767,320.3786,55.81546,2.24743
2009年,138.41163,599.22305,69.85485,,157.32227,603.02055,14.07272,395.20389,19.57836,89.20086,4965.81162,38.03736,38.12482,2.46734,28.5714,31.07795,2.8277,24.47391,54.87546,5.42109,0.07054,12.118,21.63996,2.97222,347.3852,67.32714,38.40876,0.93497,91.53068,152.55964,578.09312,205.6663,98.40662,97.4066,121.12255,11.31565,412.29345,347.98556,44.7806,2.02885
2010年,189.89554,730.94292,81.68143,,214.42203,717.16031,17.47845,500.25927,22.12156,106.84666,5948.14044,46.22651,50.25656,4.13232,34.20624,38.85593,2.54639,26.99156,61.31321,6.53737,0.07323,21.60896,21.39281,5.63829,428.60173,91.42893,44.59515,1.11974,113.45485,184.33203,592.7432,266.37481,122.35968,122.9577,158.62765,10.66605,459.26752,395.18334,53.13445,2.70606
2011年,202.25879,808.54166,97.50962,,239.46815,800.16083,18.96606,577.73731,23.85961,358.42551,6859.42761,50.06576,48.28032,3.60819,34.07235,40.79639,1.01814,29.68966,66.70868,7.42329,0.07882,29.14424,28.05769,4.49178,449.35028,109.94171,50.27599,3.17075,119.1145,203.55022,676.93438,287.62544,125.72957,129.64472,173.12681,11.11357,557.73271,436.75354,51.61844,3.38213
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
