,专用设备制造业外商及港澳台商投资工业企业产成品,交通运输设备制造业外商及港澳台商投资工业企业产成品,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业产成品,其他采矿业外商及港澳台商投资工业企业产成品,农副食品加工业外商及港澳台商投资工业企业产成品,化学原料及化学制品制造业外商及港澳台商投资工业企业产成品,化学纤维制造业外商及港澳台商投资工业企业产成品,医药制造业外商及港澳台商投资工业企业产成品,印刷业和记录媒介的复制外商及港澳台商投资工业企业产成品,塑料制品业外商及港澳台商投资工业企业产成品,外商及港澳台商投资工业企业产成品,家具制造业外商及港澳台商投资工业企业产成品,工艺品及其他制造业外商及港澳台商投资工业企业产成品,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业产成品,文教体育用品制造业外商及港澳台商投资工业企业产成品,有色金属冶炼及压延加工业外商及港澳台商投资工业企业产成品,有色金属矿采选业外商及港澳台商投资工业企业产成品,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业产成品,橡胶制品业外商及港澳台商投资工业企业产成品,水的生产和供应业外商及港澳台商投资工业企业产成品,烟草制品业外商及港澳台商投资工业企业产成品,煤炭开采和洗选业外商及港澳台商投资工业企业产成品,燃气生产和供应业外商及港澳台商投资工业企业产成品,电力、热力的生产和供应业外商及港澳台商投资工业企业产成品,电气机械及器材制造业外商及港澳台商投资工业企业产成品,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业产成品,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业产成品,石油和天然气开采业外商及港澳台商投资工业企业产成品,纺织业外商及港澳台商投资工业企业产成品,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业产成品,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业产成品,通用设备制造业外商及港澳台商投资工业企业产成品,造纸及纸制品业外商及港澳台商投资工业企业产成品,金属制品业外商及港澳台商投资工业企业产成品,非金属矿物制品业外商及港澳台商投资工业企业产成品,非金属矿采选业外商及港澳台商投资工业企业产成品,食品制造业外商及港澳台商投资工业企业产成品,饮料制造业外商及港澳台商投资工业企业产成品,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业产成品,黑色金属矿采选业外商及港澳台商投资工业企业产成品
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,65.90315,156.406,37.3107,0.0,99.42372,127.57412,15.43005,49.57923,18.81662,81.64236,2011.40682,17.68181,28.79377,0.58391,30.16941,25.62841,0.15479,21.12594,38.66617,0.0,1.7921,0.239,1.29395,1.54072,149.42378,49.89159,12.84257,1.0537,132.05162,82.25441,367.75824,83.87377,40.81953,69.51581,85.14441,1.59232,43.57201,33.60248,38.18361,0.07104
2004年,101.44165,276.20284,52.05777,0.0,131.88455,192.00253,30.28548,56.68176,21.88724,110.84773,2839.66628,33.86181,32.52969,5.41045,35.67503,42.39786,0.42452,24.4427,52.38891,0.08047,0.31667,1.90663,2.7316,0.59906,204.81046,59.62835,22.6759,1.86121,182.43449,88.36407,448.04735,140.43626,65.758,108.27906,115.517,2.22881,64.50426,39.67189,88.21337,1.17885
2005年,113.03228,282.95516,59.15008,0.11115,156.02066,212.18203,39.79412,73.78907,24.74951,123.12803,3258.26323,36.92823,41.44588,5.56989,41.92158,59.14288,1.31709,28.28907,54.91059,0.04674,0.54432,3.49519,3.07045,2.1912,236.82296,69.31247,26.42738,1.08068,201.65171,109.02668,530.01119,164.67621,84.30846,117.06652,124.85254,3.03702,63.85788,44.70639,114.29219,3.34775
2006年,138.16,383.78,71.39,0.0,178.94,273.16,49.89,77.12,29.44,143.71,3954.62,42.22,47.91,11.27,45.96,85.87,1.37,34.53,67.64,0.43,0.88,2.35,1.45,1.46,305.87,82.25,46.07,0.65,224.84,122.5,616.58,192.01,91.54,145.24,137.0,3.59,77.52,65.46,153.56,1.0
2007年,176.11325,448.9545,81.15234,0.0,245.99732,354.81918,66.89605,106.57533,33.14024,169.15638,4862.8535,51.44936,66.78005,13.2908,55.80713,91.92569,2.3866,43.26064,72.44028,0.27918,0.6077,4.4015,1.95526,1.808,401.14464,96.58514,80.24568,0.03453,280.50578,154.80051,686.69952,261.6273,103.47463,166.68525,157.81578,4.55244,107.64006,93.24271,176.69678,1.90597
2008年,256.16459,617.54551,82.29876,0.0,254.4047,417.50963,67.35394,133.34756,36.98884,174.81321,5782.24371,59.83064,75.78748,42.97711,61.44694,135.0229,6.6608,46.04268,110.2424,0.1268,0.04179,6.59834,3.12986,2.46096,424.10646,98.578,86.14028,4.61177,293.16312,187.60309,706.29692,360.35401,148.6994,184.78459,214.73807,3.96469,129.87221,101.8174,242.08128,4.63698
2009年,250.34603,577.78032,83.05245,0.0,284.2,393.77185,58.98455,150.75689,35.51828,165.35607,5634.62393,59.73255,86.08967,36.03485,56.49654,104.01309,9.36902,54.2732,96.19919,0.23931,0.04531,4.24972,7.07652,3.38207,426.90421,104.24291,89.55472,2.08713,278.06552,216.87115,698.36152,338.90757,123.04435,197.96758,202.2049,4.78013,139.37108,98.7197,194.01809,2.55589
2010年,316.52201,737.04832,97.81199,0.0,319.44339,470.50328,72.94193,169.34671,44.43661,191.10755,6588.14993,63.83427,84.76889,33.39913,60.47729,117.09324,6.99252,49.29864,109.31323,0.08901,0.11297,50.62679,8.2006,3.17692,528.97923,114.29343,99.64423,5.41091,305.07878,237.05915,874.90776,395.26523,128.6849,223.78492,210.90934,4.36891,139.43926,100.91656,206.98631,5.87572
2011年,436.03216,841.03141,118.55851,0.0,403.30315,581.25966,97.79961,215.91135,46.7393,210.71641,7973.65956,68.41444,135.37017,65.31812,71.52424,152.83516,2.2923,49.89567,129.76485,0.32836,0.04887,56.14054,8.16381,10.01911,617.63018,129.56095,115.48745,5.41429,362.56167,281.86849,1068.10092,476.12288,144.78916,237.41851,262.65879,3.54461,177.43072,135.28907,247.52484,6.78983
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
