,专用设备制造业外商及港澳台商投资工业企业实收资本,交通运输设备制造业外商及港澳台商投资工业企业实收资本,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业实收资本,其他采矿业外商及港澳台商投资工业企业实收资本,农副食品加工业外商及港澳台商投资工业企业实收资本,化学原料及化学制品制造业外商及港澳台商投资工业企业实收资本,化学纤维制造业外商及港澳台商投资工业企业实收资本,医药制造业外商及港澳台商投资工业企业实收资本,印刷业和记录媒介的复制外商及港澳台商投资工业企业实收资本,塑料制品业外商及港澳台商投资工业企业实收资本,外商及港澳台商投资工业企业实收资本,家具制造业外商及港澳台商投资工业企业实收资本,工艺品及其他制造业外商及港澳台商投资工业企业实收资本,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业实收资本,文教体育用品制造业外商及港澳台商投资工业企业实收资本,有色金属冶炼及压延加工业外商及港澳台商投资工业企业实收资本,有色金属矿采选业外商及港澳台商投资工业企业实收资本,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业实收资本,橡胶制品业外商及港澳台商投资工业企业实收资本,水的生产和供应业外商及港澳台商投资工业企业实收资本,烟草制品业外商及港澳台商投资工业企业实收资本,煤炭开采和洗选业外商及港澳台商投资工业企业实收资本,燃气生产和供应业外商及港澳台商投资工业企业实收资本,电力、热力的生产和供应业外商及港澳台商投资工业企业实收资本,电气机械及器材制造业外商及港澳台商投资工业企业实收资本,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业实收资本,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业实收资本,石油和天然气开采业外商及港澳台商投资工业企业实收资本,纺织业外商及港澳台商投资工业企业实收资本,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业实收资本,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业实收资本,通用设备制造业外商及港澳台商投资工业企业实收资本,造纸及纸制品业外商及港澳台商投资工业企业实收资本,金属制品业外商及港澳台商投资工业企业实收资本,非金属矿物制品业外商及港澳台商投资工业企业实收资本,非金属矿采选业外商及港澳台商投资工业企业实收资本,食品制造业外商及港澳台商投资工业企业实收资本,饮料制造业外商及港澳台商投资工业企业实收资本,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业实收资本,黑色金属矿采选业外商及港澳台商投资工业企业实收资本
2003年,251.66766,1062.66375,231.48912,,355.52223,813.85666,162.6773,289.88811,180.63091,593.93899,13216.8207,103.63396,150.62043,2.33604,177.37997,171.56048,2.13081,116.2243,200.47691,44.12799,7.73392,3.38077,28.84938,921.34945,823.65083,232.5625,140.95661,43.99221,736.9232,367.90727,1911.11474,554.74686,391.79055,443.65308,625.2165,9.5738,371.84871,426.11566,263.02944,1.5996
2004年,446.84443,1568.5238,309.46474,0.0498,463.29422,1094.69138,259.70283,361.17059,206.44644,779.20596,18410.09419,173.88736,205.16599,10.31489,226.326,267.37733,8.80712,150.30821,309.81966,86.33141,7.50955,15.6917,66.65302,1225.61725,1111.96982,319.22146,167.44575,52.01265,1070.50991,445.47933,2870.69995,807.20409,572.92285,563.89178,840.41148,18.76569,430.42915,480.76533,412.32916,2.83211
2005年,477.67388,1771.22867,337.64363,2.0798,524.72005,1347.87978,296.36034,420.81128,215.8359,801.2824,20421.96889,183.23959,208.5,9.95882,247.08428,271.91369,16.95933,159.25298,311.27605,91.7559,5.79878,11.71546,75.16451,1334.34614,1200.84069,370.33154,170.24866,57.45636,1097.96344,503.82171,3340.15698,902.80779,658.79146,627.15371,873.21244,19.8097,487.46688,479.2833,507.29926,2.84371
2006年,604.24,2171.34,377.77,0.05,598.43,1800.08,338.75,467.06,226.56,872.57,24014.43,220.95,251.57,14.87,276.98,346.72,14.58,162.88,336.87,162.47,6.28,36.29,118.02,1335.14,1422.85,415.56,247.39,130.74,1235.51,697.87,3833.42,1072.3,770.55,728.02,987.07,23.41,525.05,562.93,616.68,4.6
2007年,796.92003,2669.64908,433.21121,0.0498,700.40077,2219.45949,381.59845,549.47365,271.07193,996.63609,29131.5938,267.33854,278.65398,19.15558,323.71457,441.58854,20.243,189.28787,452.87929,200.63036,5.88838,48.75462,198.31469,1528.72328,1729.74867,491.52302,428.19623,137.90059,1418.37611,721.56652,4755.67752,1342.04671,906.36253,889.42579,1216.41603,30.21269,630.93024,641.02037,787.67135,10.87623
2008年,1121.50205,3097.99733,515.37751,0.0498,785.16401,2622.78816,408.71092,648.20313,314.7634,1163.39321,34469.69213,306.42439,332.84289,43.21964,379.34378,613.40342,53.5593,228.29284,491.32813,249.2217,4.8286,60.74428,238.60933,1532.40926,2156.03115,539.13104,445.03047,155.70984,1619.55247,832.38587,5667.47612,1716.68047,1151.0601,1100.71277,1458.69394,37.67853,731.78604,746.03258,881.35761,18.19605
2009年,1343.13803,3315.70006,532.78852,,873.44596,2980.34458,388.67496,722.62982,305.86321,1181.98404,36510.08209,307.57455,333.5176,45.94192,401.24601,701.89072,59.6667,227.97196,525.95279,288.99494,4.3351,81.87409,253.31611,1693.18689,2337.13691,549.18354,451.27765,49.93101,1651.99993,841.67222,5816.0571,1829.01744,1256.21695,1156.71932,1471.77092,34.87691,767.34423,768.70917,938.14273,19.9875
2010年,1393.04897,3573.86088,553.80227,,938.91813,3429.70846,437.86465,833.89047,316.64159,1244.04268,39442.56162,342.95749,331.81174,54.66623,382.15753,779.99281,53.65529,232.03619,547.69813,307.87059,4.70323,98.04558,262.45591,1827.50268,2544.27041,569.15441,471.83451,50.65084,1771.16712,830.3233,6282.09266,1999.99369,1471.52097,1229.19586,1581.57788,33.41485,810.7481,864.93908,959.00666,25.33978
2011年,1365.92248,3840.49816,563.72319,,1024.61491,3792.49431,461.66309,820.10854,299.35104,1201.42734,40969.05282,319.11684,298.96558,54.62748,349.8881,836.53529,31.20147,219.54692,553.45349,362.15861,5.05738,136.37214,344.23022,1973.38266,2611.02412,567.28744,473.87984,9.15273,1635.26902,777.86289,6509.22074,2425.38322,1473.15475,1176.84796,1677.92254,25.7301,873.07645,911.01777,941.85734,26.02667
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
