,专用设备制造业外商及港澳台商投资工业亏损企业亏损总额,交通运输设备制造业外商及港澳台商投资工业亏损企业亏损总额,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业亏损企业亏损总额,其他采矿业外商及港澳台商投资工业亏损企业亏损总额,农副食品加工业外商及港澳台商投资工业亏损企业亏损总额,化学原料及化学制品制造业外商及港澳台商投资工业亏损企业亏损总额,化学纤维制造业外商及港澳台商投资工业亏损企业亏损总额,医药制造业外商及港澳台商投资工业亏损企业亏损总额,印刷业和记录媒介的复制外商及港澳台商投资工业亏损企业亏损总额,塑料制品业外商及港澳台商投资工业亏损企业亏损总额,外商及港澳台商投资工业亏损企业亏损总额,家具制造业外商及港澳台商投资工业亏损企业亏损总额,工艺品及其他制造业外商及港澳台商投资工业亏损企业亏损总额,废弃资源和废旧材料回收加工业外商及港澳台商投资工业亏损企业亏损总额,文教体育用品制造业外商及港澳台商投资工业亏损企业亏损总额,有色金属冶炼及压延加工业外商及港澳台商投资工业亏损企业亏损总额,有色金属矿采选业外商及港澳台商投资工业亏损企业亏损总额,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业亏损企业亏损总额,橡胶制品业外商及港澳台商投资工业亏损企业亏损总额,水的生产和供应业外商及港澳台商投资工业亏损企业亏损总额,烟草制品业外商及港澳台商投资工业亏损企业亏损总额,煤炭开采和洗选业外商及港澳台商投资工业亏损企业亏损总额,燃气生产和供应业外商及港澳台商投资工业亏损企业亏损总额,电力、热力的生产和供应业外商及港澳台商投资工业亏损企业亏损总额,电气机械及器材制造业外商及港澳台商投资工业亏损企业亏损总额,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业亏损企业亏损总额,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业亏损企业亏损总额,石油和天然气开采业外商及港澳台商投资工业亏损企业亏损总额,纺织业外商及港澳台商投资工业亏损企业亏损总额,纺织服装、鞋、帽制造业外商及港澳台商投资工业亏损企业亏损总额,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业亏损企业亏损总额,通用设备制造业外商及港澳台商投资工业亏损企业亏损总额,造纸及纸制品业外商及港澳台商投资工业亏损企业亏损总额,金属制品业外商及港澳台商投资工业亏损企业亏损总额,非金属矿物制品业外商及港澳台商投资工业亏损企业亏损总额,非金属矿采选业外商及港澳台商投资工业亏损企业亏损总额,食品制造业外商及港澳台商投资工业亏损企业亏损总额,饮料制造业外商及港澳台商投资工业亏损企业亏损总额,黑色金属冶炼及压延加工业外商及港澳台商投资工业亏损企业亏损总额,黑色金属矿采选业外商及港澳台商投资工业亏损企业亏损总额
2004年,13.68635,41.06445,10.72801,0.0013,22.61478,28.26819,6.7159,13.47231,3.40826,26.23636,567.99252,6.3873,4.2628,0.44239,7.8964,6.71316,0.16229,7.60003,10.99024,0.15528,,0.05686,3.179,16.26795,41.59269,10.99488,3.4739,0.01984,33.00786,15.92259,109.97927,19.09045,11.17152,17.01037,21.47663,0.87546,22.46506,22.44292,8.0841,0.07537
2005年,13.5975,57.03092,8.05419,0.00368,18.64801,43.97711,17.49582,12.80347,3.64196,23.86465,674.71895,5.71705,4.12817,0.63288,7.14982,9.80471,0.10739,6.61769,7.03867,0.26252,,0.04668,3.07827,25.21956,46.45149,9.06021,4.71933,0.12134,25.27527,17.56689,155.90166,17.70876,13.55635,15.60763,25.19216,0.61494,22.12057,16.35505,35.13375,0.41283
2006年,16.48,54.6,11.45,0.02,17.9,83.67,7.74,16.72,3.95,25.77,721.44,5.69,4.77,0.4,6.38,9.53,0.29,5.73,9.96,0.25,0.0,2.69,2.94,24.01,43.7,8.96,10.35,0.08,25.43,16.87,149.58,23.89,16.82,20.31,34.63,0.41,22.42,20.66,16.27,0.09
2007年,18.94406,42.67702,9.95111,0.0258,13.95564,59.76514,5.41228,15.57205,4.12547,26.35461,742.32994,8.15798,5.85375,0.70264,11.24397,11.34752,1.46092,7.49043,11.54434,0.65309,,0.19476,2.55873,20.81522,47.49626,10.54149,23.99209,0.05843,28.2354,19.88258,171.22895,24.11302,16.18173,23.79339,37.69842,0.38164,19.91984,24.99161,14.95071,0.05785
2008年,41.06552,67.17367,17.09451,0.03742,34.28212,146.31131,14.16916,13.48087,6.38607,40.71722,1449.12247,14.65754,11.53545,5.50576,18.12131,33.08031,0.19563,9.98843,17.83785,1.22131,,0.099,3.14822,86.89252,64.94207,14.06317,186.74656,,49.82318,32.78681,255.40721,44.831,26.72748,33.85673,42.37761,0.48915,33.87785,30.04412,49.95263,0.1957
2009年,41.53507,58.11382,14.50086,,24.25082,83.51687,6.63053,12.75753,5.96134,31.39858,1082.22211,9.84237,7.7756,2.98792,11.32067,22.24235,0.40998,9.21264,7.65766,2.77337,,0.2896,2.4048,36.94645,55.32978,12.17901,4.94138,0.33164,34.15435,23.12809,281.24039,59.59366,22.93989,40.96618,39.38521,1.22978,22.43763,30.83096,59.46864,1.53669
2010年,32.36446,40.60794,8.22879,,23.55069,49.67526,2.30198,13.10159,5.90926,25.22201,731.3038,7.00545,5.25578,1.67348,8.10856,16.23715,0.29191,7.4484,6.14831,3.05479,0.02135,0.89981,1.40303,49.27098,49.39428,6.87538,7.22838,0.53935,21.06703,18.0126,141.68897,34.82379,16.12023,20.8227,21.33941,0.44189,24.67783,33.93038,26.45799,0.10261
2011年,42.96785,69.01999,9.64676,,28.9152,68.33355,8.29041,15.97471,5.6127,33.15033,1007.03518,9.56757,5.60203,1.89954,10.6777,21.13049,0.15465,6.77029,14.05021,2.12696,,0.16569,1.25995,66.942,77.40313,10.44015,44.22631,0.82534,26.36011,17.0398,189.20804,33.9434,17.98675,24.39697,35.59022,0.45127,21.97559,36.61701,48.06135,0.25116
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
