,专用设备制造业外商及港澳台商投资工业企业应交所得税,交通运输设备制造业外商及港澳台商投资工业企业应交所得税,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业应交所得税,其他采矿业外商及港澳台商投资工业企业应交所得税,农副食品加工业外商及港澳台商投资工业企业应交所得税,化学原料及化学制品制造业外商及港澳台商投资工业企业应交所得税,化学纤维制造业外商及港澳台商投资工业企业应交所得税,医药制造业外商及港澳台商投资工业企业应交所得税,印刷业和记录媒介的复制外商及港澳台商投资工业企业应交所得税,塑料制品业外商及港澳台商投资工业企业应交所得税,外商及港澳台商投资工业企业应交所得税,家具制造业外商及港澳台商投资工业企业应交所得税,工艺品及其他制造业外商及港澳台商投资工业企业应交所得税,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业应交所得税,文教体育用品制造业外商及港澳台商投资工业企业应交所得税,有色金属冶炼及压延加工业外商及港澳台商投资工业企业应交所得税,有色金属矿采选业外商及港澳台商投资工业企业应交所得税,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业应交所得税,橡胶制品业外商及港澳台商投资工业企业应交所得税,水的生产和供应业外商及港澳台商投资工业企业应交所得税,烟草制品业外商及港澳台商投资工业企业应交所得税,煤炭开采和洗选业外商及港澳台商投资工业企业应交所得税,燃气生产和供应业外商及港澳台商投资工业企业应交所得税,电力、热力的生产和供应业外商及港澳台商投资工业企业应交所得税,电气机械及器材制造业外商及港澳台商投资工业企业应交所得税,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业应交所得税,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业应交所得税,石油和天然气开采业外商及港澳台商投资工业企业应交所得税,纺织业外商及港澳台商投资工业企业应交所得税,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业应交所得税,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业应交所得税,通用设备制造业外商及港澳台商投资工业企业应交所得税,造纸及纸制品业外商及港澳台商投资工业企业应交所得税,金属制品业外商及港澳台商投资工业企业应交所得税,非金属矿物制品业外商及港澳台商投资工业企业应交所得税,非金属矿采选业外商及港澳台商投资工业企业应交所得税,食品制造业外商及港澳台商投资工业企业应交所得税,饮料制造业外商及港澳台商投资工业企业应交所得税,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业应交所得税,黑色金属矿采选业外商及港澳台商投资工业企业应交所得税
2003年,8.6032,48.40399,6.79932,,5.62972,20.59699,2.61049,9.61415,4.10228,7.38384,295.96959,1.35729,2.88722,0.00587,2.90159,1.47654,0.06857,0.8245,2.78913,0.44103,0.13603,0.02789,0.17575,30.90397,18.03475,4.00405,3.55603,0.46978,7.99527,7.53981,38.40908,13.2964,7.12489,7.4945,6.17293,0.27017,10.96456,8.18371,4.67972,0.03458
2004年,10.00561,37.84414,7.52029,,9.37274,31.70874,3.0422,10.7378,4.83914,10.22472,404.29562,2.60767,3.5515,0.14231,3.31292,5.33969,0.71135,1.48969,4.24041,2.14949,0.16036,1.22616,0.3494,35.16549,24.80038,5.65905,9.85651,0.08877,10.91528,8.66304,71.65704,25.29478,9.23007,12.40014,11.29327,0.32109,8.58021,10.46604,9.15265,0.17548
2005年,12.27736,37.37257,11.32377,0.02351,13.26544,41.78115,3.23838,12.53032,6.01789,10.52085,456.32779,3.81255,4.97269,0.27822,3.9132,4.21608,1.41315,1.71325,4.47307,0.61838,0.29351,1.73321,0.40298,37.75854,28.68413,7.76816,6.24092,0.46246,13.16155,11.98172,71.91067,30.51178,9.43924,13.27537,10.81573,0.62828,13.14898,10.38911,13.50963,0.44999
2006年,19.93,72.92,11.74,0.0,20.62,43.52,3.18,16.81,6.72,15.38,588.61,4.95,7.22,0.42,4.2,12.97,1.09,2.56,4.26,1.74,0.38,2.09,1.08,31.76,36.82,9.89,2.87,0.48,16.34,15.07,86.24,36.79,10.59,17.27,16.34,0.69,16.21,18.18,18.63,0.67
2007年,28.6954,82.71507,17.83767,,26.82817,65.50656,5.56045,24.35289,9.14563,18.79932,778.12675,5.63684,9.38856,0.77279,4.7909,16.96968,1.08936,3.50901,6.97407,2.35895,0.31277,4.20165,3.82106,29.94353,52.33876,12.57973,11.52145,1.69025,21.34432,20.66263,106.99991,50.72613,11.87664,22.12543,23.30824,1.32272,24.03743,19.55165,28.03816,0.79297
2008年,38.69543,121.21364,24.10971,,33.01,77.21134,5.35791,39.39722,11.11131,22.41846,1055.85079,5.54049,9.06591,0.5985,4.89601,21.35972,3.31166,3.11297,7.43229,5.10305,0.15084,12.14556,6.65949,25.0419,79.56403,14.097,-9.36594,65.38767,21.77655,21.61715,155.22206,67.91428,15.4545,28.99605,25.60744,1.29272,32.44274,26.96825,30.5236,1.40928
2009年,45.93542,222.84794,26.06469,,33.5415,97.66141,7.46918,50.17587,12.67866,28.40753,1326.92231,7.33633,10.80062,1.1267,5.37754,28.93026,3.99457,3.72716,15.78338,3.19447,0.11448,15.08612,9.33003,44.50808,92.16735,19.43609,17.33022,44.17603,29.2522,29.49642,149.71845,74.91739,27.49898,30.89157,30.80652,1.46326,39.7377,33.45683,31.31566,1.1657
2010年,78.3926,412.14266,36.24629,,52.15374,161.73179,14.64743,60.98778,15.26215,39.65652,2002.06787,10.31457,14.62233,2.23335,8.32778,25.92367,3.65782,4.53996,16.47571,5.91279,0.19121,29.78146,13.61914,48.02505,133.36836,28.70652,28.38543,96.1366,42.7348,36.89328,202.56526,117.46825,27.23687,44.88724,51.40097,1.71765,50.98483,42.16724,40.59229,1.97648
2011年,81.41777,484.58181,41.25566,,57.50592,212.34421,18.53418,68.12753,17.387,37.93868,2317.04975,12.09342,17.93704,2.44703,11.16332,35.72712,6.22257,5.91195,15.17775,8.89478,0.30148,34.04311,21.87026,45.22253,129.7837,39.91794,19.03789,102.35808,49.24987,44.99818,246.94992,134.14858,28.98127,54.54832,65.58764,2.02941,68.27358,50.64116,41.24359,3.1955
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
