,专用设备制造业外商及港澳台商投资工业企业个人资本金,交通运输设备制造业外商及港澳台商投资工业企业个人资本金,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业个人资本金,其他采矿业外商及港澳台商投资工业企业个人资本金,农副食品加工业外商及港澳台商投资工业企业个人资本金,化学原料及化学制品制造业外商及港澳台商投资工业企业个人资本金,化学纤维制造业外商及港澳台商投资工业企业个人资本金,医药制造业外商及港澳台商投资工业企业个人资本金,印刷业和记录媒介的复制外商及港澳台商投资工业企业个人资本金,塑料制品业外商及港澳台商投资工业企业个人资本金,外商及港澳台商投资工业企业个人资本金,家具制造业外商及港澳台商投资工业企业个人资本金,工艺品及其他制造业外商及港澳台商投资工业企业个人资本金,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业个人资本金,文教体育用品制造业外商及港澳台商投资工业企业个人资本金,有色金属冶炼及压延加工业外商及港澳台商投资工业企业个人资本金,有色金属矿采选业外商及港澳台商投资工业企业个人资本金,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业个人资本金,橡胶制品业外商及港澳台商投资工业企业个人资本金,水的生产和供应业外商及港澳台商投资工业企业个人资本金,烟草制品业外商及港澳台商投资工业企业个人资本金,煤炭开采和洗选业外商及港澳台商投资工业企业个人资本金,燃气生产和供应业外商及港澳台商投资工业企业个人资本金,电力、热力的生产和供应业外商及港澳台商投资工业企业个人资本金,电气机械及器材制造业外商及港澳台商投资工业企业个人资本金,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业个人资本金,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业个人资本金,石油和天然气开采业外商及港澳台商投资工业企业个人资本金,纺织业外商及港澳台商投资工业企业个人资本金,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业个人资本金,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业个人资本金,通用设备制造业外商及港澳台商投资工业企业个人资本金,造纸及纸制品业外商及港澳台商投资工业企业个人资本金,金属制品业外商及港澳台商投资工业企业个人资本金,非金属矿物制品业外商及港澳台商投资工业企业个人资本金,非金属矿采选业外商及港澳台商投资工业企业个人资本金,食品制造业外商及港澳台商投资工业企业个人资本金,饮料制造业外商及港澳台商投资工业企业个人资本金,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业个人资本金,黑色金属矿采选业外商及港澳台商投资工业企业个人资本金
2003年,7.91116,8.09783,2.70586,,13.17572,15.53858,1.55295,8.6704,4.32861,12.02747,302.01929,1.92326,7.05856,0.08065,4.69359,4.72812,0.26146,3.28993,4.34072,,,0.0275,0.00496,4.23155,23.22772,8.7575,7.74585,,40.77393,17.88336,23.66392,11.08714,7.13819,11.34703,17.64652,0.60458,7.28245,9.63128,10.38094,0.2
2004年,11.75121,18.40544,3.66951,0.03652,20.17688,20.49561,8.6453,9.49359,3.72735,31.68675,433.66265,4.59912,7.0889,0.48809,5.72201,10.61761,0.75057,4.66404,3.91544,1.1451,0.36,0.17175,0.183,8.13245,21.38584,10.99893,10.1021,,58.70609,23.71202,22.37826,21.1022,10.32613,16.62977,23.93069,0.53986,11.61681,8.60551,17.3432,0.359
2005年,14.84311,23.99792,4.15875,0.13152,29.57501,35.1204,8.31611,12.84599,4.26946,24.30755,525.69851,4.2562,5.46358,0.60242,7.38659,10.61993,0.81066,5.60148,6.0034,0.02514,0.34,0.19496,0.1044,18.98343,37.46779,16.89844,12.28227,,61.13456,21.07913,29.16316,22.4039,13.79758,21.28099,22.38132,0.60594,15.5615,9.05318,23.9665,0.66424
2006年,17.03,33.03,4.78,0.04,33.23,45.14,14.7,15.68,5.13,36.84,587.11,4.87,9.45,0.48,5.83,9.81,0.48,7.09,5.1,0.1,0.34,0.48,0.51,17.08,37.19,19.12,13.64,0.0,61.9,22.42,25.44,25.76,14.75,19.76,28.04,2.64,14.91,8.49,25.39,0.46
2007年,22.09381,35.00143,7.30467,0.03652,44.74337,45.08594,14.98629,18.37431,5.45927,29.76971,744.67998,4.72482,9.93787,0.99956,7.86156,20.59879,1.03115,10.12905,7.1911,0.54182,0.42,0.59741,1.78561,24.58869,44.03481,21.05631,25.17229,,65.52119,30.19325,45.12794,40.75747,19.27976,27.53321,48.34752,1.65155,20.95357,13.79691,25.74531,2.24614
2008年,34.18257,64.4755,9.98205,0.03652,56.58516,104.00435,16.97481,31.44492,7.96332,39.9161,1149.75671,7.65585,13.89939,0.86435,9.97116,28.14495,2.46524,12.77345,10.26254,2.20233,0.42,4.20493,5.56385,23.31181,57.83947,23.71828,23.74094,,95.15258,42.00406,53.59366,105.10846,32.03485,51.59218,65.80047,4.23839,39.32878,31.55823,33.5437,3.19751
2009年,45.39805,65.75154,9.63197,,60.10745,63.5273,15.95934,31.79238,5.69314,34.08777,1038.33689,8.98347,16.40792,1.72894,10.75719,24.89148,1.60774,11.57414,15.02745,2.334,0.42,1.61672,3.00651,16.88696,52.29217,19.34815,19.67788,,98.82554,42.94314,77.83949,61.13801,31.36807,39.67897,56.77573,2.96146,32.34803,22.40861,30.53004,3.01014
2010年,56.92152,66.06789,11.54594,,64.11644,78.60626,19.95662,34.18584,7.34294,28.62182,1253.90344,6.48252,14.98216,1.91177,11.20619,29.11286,2.72977,13.05384,11.3323,1.38008,0.42,0.47,9.18052,26.73436,79.13519,32.6691,19.91645,0.45,105.05515,44.23407,69.99041,109.95601,43.22412,52.30854,66.77718,3.60025,35.64821,28.28501,61.22042,5.07169
2011年,45.80629,101.16549,32.54843,,69.96771,89.50012,16.73535,42.26962,14.96045,42.65662,1655.00949,10.70465,17.97884,1.66134,10.47088,34.72325,2.68065,15.23839,15.51539,3.65166,0.42,2.89936,15.38613,22.34211,103.46993,33.44774,20.46068,0.45,92.11413,52.16154,75.64873,410.17094,38.29003,52.01596,75.15604,3.4845,28.21401,28.881,27.89337,3.86816
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
