,专用设备制造业外商及港澳台商投资工业企业应付帐款,交通运输设备制造业外商及港澳台商投资工业企业应付帐款,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业应付帐款,其他采矿业外商及港澳台商投资工业企业应付帐款,农副食品加工业外商及港澳台商投资工业企业应付帐款,化学原料及化学制品制造业外商及港澳台商投资工业企业应付帐款,化学纤维制造业外商及港澳台商投资工业企业应付帐款,医药制造业外商及港澳台商投资工业企业应付帐款,印刷业和记录媒介的复制外商及港澳台商投资工业企业应付帐款,塑料制品业外商及港澳台商投资工业企业应付帐款,外商及港澳台商投资工业企业应付帐款,家具制造业外商及港澳台商投资工业企业应付帐款,工艺品及其他制造业外商及港澳台商投资工业企业应付帐款,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业应付帐款,文教体育用品制造业外商及港澳台商投资工业企业应付帐款,有色金属冶炼及压延加工业外商及港澳台商投资工业企业应付帐款,有色金属矿采选业外商及港澳台商投资工业企业应付帐款,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业应付帐款,橡胶制品业外商及港澳台商投资工业企业应付帐款,水的生产和供应业外商及港澳台商投资工业企业应付帐款,烟草制品业外商及港澳台商投资工业企业应付帐款,煤炭开采和洗选业外商及港澳台商投资工业企业应付帐款,燃气生产和供应业外商及港澳台商投资工业企业应付帐款,电力、热力的生产和供应业外商及港澳台商投资工业企业应付帐款,电气机械及器材制造业外商及港澳台商投资工业企业应付帐款,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业应付帐款,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业应付帐款,石油和天然气开采业外商及港澳台商投资工业企业应付帐款,纺织业外商及港澳台商投资工业企业应付帐款,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业应付帐款,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业应付帐款,通用设备制造业外商及港澳台商投资工业企业应付帐款,造纸及纸制品业外商及港澳台商投资工业企业应付帐款,金属制品业外商及港澳台商投资工业企业应付帐款,非金属矿物制品业外商及港澳台商投资工业企业应付帐款,非金属矿采选业外商及港澳台商投资工业企业应付帐款,食品制造业外商及港澳台商投资工业企业应付帐款,饮料制造业外商及港澳台商投资工业企业应付帐款,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业应付帐款,黑色金属矿采选业外商及港澳台商投资工业企业应付帐款
2003年,138.43057,603.64484,207.74249,,123.19031,271.76256,23.40164,79.11488,68.44376,210.70983,6963.44199,60.89355,70.09159,0.95841,95.38953,45.04786,0.68496,36.00852,77.49352,0.89545,1.5145,2.24419,9.81622,75.42123,499.33662,162.08062,36.2168,1.2154,234.05733,189.19937,2672.49639,231.39387,102.87745,208.34774,135.7516,2.48311,100.69297,83.10268,101.08938,0.20025
2004年,270.32219,875.52763,277.96071,0.00493,205.53453,443.44759,58.4294,92.31641,73.02908,354.94437,10593.88764,141.77862,88.96894,12.51369,137.63038,103.1557,2.11082,51.55698,129.09844,2.34381,0.82932,11.68272,15.51577,111.78973,808.79346,224.59266,53.89711,8.95866,373.5313,225.06404,3894.51589,416.09207,173.98431,301.88574,222.3795,4.28124,137.06811,91.63828,194.56811,2.1454
2005年,315.23899,1100.7856,310.99754,0.35326,214.82497,505.69784,53.22034,117.13978,87.53729,388.05615,12688.46525,154.51776,99.76986,7.92167,161.9835,126.67603,2.24548,47.62549,129.71566,3.95094,2.1869,8.74439,17.80206,166.85682,925.09752,255.20519,88.19776,5.84884,404.25284,254.54353,4885.5611,494.072,220.12118,323.60673,243.463,4.93575,160.5021,96.68593,297.35411,5.16935
2006年,429.62,1479.14,384.39,0.0,240.28,641.85,87.87,136.21,96.42,430.71,14729.7,187.25,116.13,16.03,188.96,177.68,1.64,45.37,144.08,3.97,1.35,12.43,25.66,152.29,1187.69,289.79,116.34,9.03,454.76,290.52,5191.76,597.61,264.54,418.07,269.69,6.04,183.56,143.41,302.98,4.59
2007年,580.53484,1949.06374,416.51874,0.00104,365.09566,866.12438,90.85133,163.30817,116.70266,512.43617,18462.28908,199.19495,138.04326,19.29661,209.71255,233.80151,3.345,65.00489,172.18904,9.05473,0.84374,9.87072,36.08337,232.39841,1497.61692,315.80131,197.6906,18.87583,503.09201,373.92559,6312.86596,801.27761,354.33267,514.7674,361.73475,6.75425,227.30393,198.02385,376.4957,12.25519
2008年,713.57263,2142.95264,375.8359,0.00121,364.51605,843.83343,84.80643,200.54879,124.46014,536.83714,18450.72549,183.26352,145.97958,27.50803,228.94945,228.5017,10.15354,66.59902,195.29975,12.6051,0.06712,75.34003,44.71244,202.76553,1528.03649,332.61717,199.51882,23.47874,501.32689,438.43673,5334.47032,924.80842,384.48561,505.91661,441.04643,9.31137,302.43845,220.56794,489.07361,6.08272
2009年,804.64428,3331.41671,426.43612,,482.41803,980.64322,93.3283,260.73621,116.00611,491.04236,21223.38924,181.72003,147.40527,33.0302,199.1294,271.4637,9.71416,60.56578,204.56708,17.39458,0.02781,17.69425,53.49276,248.75975,1660.4328,315.38697,243.13933,51.62822,495.40539,387.61066,6323.38537,980.31334,375.11068,527.90624,438.26545,9.55117,295.31575,215.74349,466.57324,5.98503
2010年,999.41581,4050.40816,535.93676,,686.46287,1287.24743,102.04696,288.80053,137.67167,599.52171,26332.33978,217.80304,168.923,43.46983,226.44855,309.79519,11.44796,66.47158,212.83003,25.42906,0.06084,123.80479,86.46445,286.95307,2109.96527,362.49324,348.68016,62.97974,576.77555,417.06764,7786.47236,1276.60061,439.8548,624.61784,524.17831,6.8808,380.51965,272.91986,657.91948,17.00118
2011年,1047.20066,4387.94547,564.61451,,670.8761,1491.53717,139.19185,362.38946,135.4311,564.39053,28798.10283,204.82316,202.20029,115.57869,213.05012,360.67506,4.86437,62.67856,251.47561,25.87821,0.08667,403.84892,111.41251,304.90617,2150.6592,329.26121,428.86571,66.55444,578.50429,379.9752,8748.41902,1367.04954,512.34503,582.91196,574.40049,7.43087,442.51074,369.56225,609.53885,25.05884
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
