,专用设备制造业外商及港澳台商投资工业企业法人资本金,交通运输设备制造业外商及港澳台商投资工业企业法人资本金,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业法人资本金,其他采矿业外商及港澳台商投资工业企业法人资本金,农副食品加工业外商及港澳台商投资工业企业法人资本金,化学原料及化学制品制造业外商及港澳台商投资工业企业法人资本金,化学纤维制造业外商及港澳台商投资工业企业法人资本金,医药制造业外商及港澳台商投资工业企业法人资本金,印刷业和记录媒介的复制外商及港澳台商投资工业企业法人资本金,塑料制品业外商及港澳台商投资工业企业法人资本金,外商及港澳台商投资工业企业法人资本金,家具制造业外商及港澳台商投资工业企业法人资本金,工艺品及其他制造业外商及港澳台商投资工业企业法人资本金,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业法人资本金,文教体育用品制造业外商及港澳台商投资工业企业法人资本金,有色金属冶炼及压延加工业外商及港澳台商投资工业企业法人资本金,有色金属矿采选业外商及港澳台商投资工业企业法人资本金,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业法人资本金,橡胶制品业外商及港澳台商投资工业企业法人资本金,水的生产和供应业外商及港澳台商投资工业企业法人资本金,烟草制品业外商及港澳台商投资工业企业法人资本金,煤炭开采和洗选业外商及港澳台商投资工业企业法人资本金,燃气生产和供应业外商及港澳台商投资工业企业法人资本金,电力、热力的生产和供应业外商及港澳台商投资工业企业法人资本金,电气机械及器材制造业外商及港澳台商投资工业企业法人资本金,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业法人资本金,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业法人资本金,石油和天然气开采业外商及港澳台商投资工业企业法人资本金,纺织业外商及港澳台商投资工业企业法人资本金,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业法人资本金,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业法人资本金,通用设备制造业外商及港澳台商投资工业企业法人资本金,造纸及纸制品业外商及港澳台商投资工业企业法人资本金,金属制品业外商及港澳台商投资工业企业法人资本金,非金属矿物制品业外商及港澳台商投资工业企业法人资本金,非金属矿采选业外商及港澳台商投资工业企业法人资本金,食品制造业外商及港澳台商投资工业企业法人资本金,饮料制造业外商及港澳台商投资工业企业法人资本金,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业法人资本金,黑色金属矿采选业外商及港澳台商投资工业企业法人资本金
2003年,33.89705,298.19742,21.68081,,63.38158,102.52367,22.37682,57.23299,32.00953,81.64193,2213.40311,8.47574,14.11432,0.0144,10.56037,29.32326,0.23816,18.44398,16.77041,10.37985,3.91871,1.57729,4.68178,296.12629,109.85928,22.49537,53.33406,,89.7559,43.37598,270.77551,108.96817,45.39616,51.62638,97.90276,0.93826,41.94043,62.60296,86.51229,0.35324
2004年,58.91454,401.99475,29.24622,,74.31618,154.72828,66.04401,79.47835,43.23577,100.24586,3279.65242,24.47013,20.91999,2.11232,12.99575,56.3062,3.34656,22.62328,34.02005,29.08917,4.19557,5.62648,10.36516,506.22072,157.19384,27.49579,61.31851,4.83848,146.83446,50.55779,411.04098,144.58953,71.07421,75.69958,154.68359,2.32034,50.12569,86.55458,94.11991,0.7098
2005年,58.15707,642.29066,31.41702,,86.61303,256.86086,64.82618,82.13483,46.57956,110.94187,3700.16002,21.84503,23.54133,1.48807,16.06699,51.85748,6.64663,26.21444,35.03298,19.33866,3.31238,5.90525,15.79631,513.87435,161.14378,30.79835,62.74392,3.40383,142.03316,58.03558,377.04341,173.2641,79.47769,88.64737,161.1537,2.53171,53.91669,85.9056,98.63528,0.68487
2006年,73.87,516.85,34.46,0.0,95.52,351.8,89.68,97.97,46.6,119.83,4169.18,24.34,33.31,1.6,19.72,63.05,5.52,31.55,39.15,15.4,3.65,10.69,19.33,551.77,198.45,39.15,116.46,4.44,166.16,70.51,395.94,195.18,147.35,104.33,166.19,4.14,77.49,105.19,129.8,2.75
2007年,85.30111,584.81682,43.58515,,122.30561,430.05869,87.85892,96.64867,54.75356,149.47274,4874.57943,27.27111,34.07234,2.00879,18.29503,83.54184,4.50354,39.98833,44.28228,22.44492,3.30622,16.09843,23.15207,589.29787,223.72005,56.92645,179.972,5.17883,206.71505,90.41319,424.9885,195.67512,179.61362,118.69132,213.63442,6.52633,73.98406,130.85164,200.64477,3.98004
2008年,129.5036,758.91312,52.2699,,132.25641,416.89849,92.31337,115.47964,65.71419,145.81167,5550.02278,33.22739,35.66089,10.25854,23.40722,115.80611,27.61344,48.91594,48.99634,38.73245,0.8924,11.03567,49.03056,501.40732,292.71847,61.66576,110.72797,3.5135,212.59095,87.50042,566.16875,244.21986,239.54053,149.64442,270.14527,6.85998,95.76264,129.95275,221.79821,3.06864
2009年,138.93625,814.54165,69.34879,,177.34167,480.71552,82.02514,120.33089,66.97335,177.16523,6423.2206,35.62048,42.31248,9.30971,30.3137,141.22306,32.79443,42.46095,62.0451,46.24208,2.25802,40.53606,64.72577,563.38249,373.25127,77.38787,141.04923,1.15364,231.12552,114.8765,583.98176,312.02236,309.36214,172.32063,312.32419,6.33191,139.24211,140.88611,263.08433,4.21821
2010年,195.32332,858.34158,70.18215,,180.99165,644.10633,114.76128,149.89485,68.27978,203.53507,7264.72667,41.14106,50.54247,14.87111,32.47218,147.45498,29.22282,54.10061,52.1747,54.90367,3.24168,38.92444,63.38958,705.97656,459.13043,74.3061,179.64996,1.15364,247.23638,118.2326,605.11928,348.02187,329.7176,185.44967,334.11495,5.15727,127.25565,187.99345,282.826,5.52995
2011年,222.84795,1056.15298,72.86986,,219.24502,745.48283,119.70485,153.68766,62.95472,190.44154,8216.49619,42.60865,48.70893,9.67743,34.62676,149.26544,8.87089,51.55345,46.81766,49.29064,1.2633,47.06217,97.46728,962.14424,493.72433,100.39922,221.98756,1.33284,264.67319,130.22095,763.14803,360.52415,294.32382,220.37157,374.61007,4.20464,140.07795,200.01962,240.86933,13.26467
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
