,专用设备制造业外商及港澳台商投资工业企业应收帐款净额,交通运输设备制造业外商及港澳台商投资工业企业应收帐款净额,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业应收帐款净额,其他采矿业外商及港澳台商投资工业企业应收帐款净额,农副食品加工业外商及港澳台商投资工业企业应收帐款净额,化学原料及化学制品制造业外商及港澳台商投资工业企业应收帐款净额,化学纤维制造业外商及港澳台商投资工业企业应收帐款净额,医药制造业外商及港澳台商投资工业企业应收帐款净额,印刷业和记录媒介的复制外商及港澳台商投资工业企业应收帐款净额,塑料制品业外商及港澳台商投资工业企业应收帐款净额,外商及港澳台商投资工业企业应收帐款净额,家具制造业外商及港澳台商投资工业企业应收帐款净额,工艺品及其他制造业外商及港澳台商投资工业企业应收帐款净额,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业应收帐款净额,文教体育用品制造业外商及港澳台商投资工业企业应收帐款净额,有色金属冶炼及压延加工业外商及港澳台商投资工业企业应收帐款净额,有色金属矿采选业外商及港澳台商投资工业企业应收帐款净额,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业应收帐款净额,橡胶制品业外商及港澳台商投资工业企业应收帐款净额,水的生产和供应业外商及港澳台商投资工业企业应收帐款净额,烟草制品业外商及港澳台商投资工业企业应收帐款净额,煤炭开采和洗选业外商及港澳台商投资工业企业应收帐款净额,燃气生产和供应业外商及港澳台商投资工业企业应收帐款净额,电力、热力的生产和供应业外商及港澳台商投资工业企业应收帐款净额,电气机械及器材制造业外商及港澳台商投资工业企业应收帐款净额,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业应收帐款净额,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业应收帐款净额,石油和天然气开采业外商及港澳台商投资工业企业应收帐款净额,纺织业外商及港澳台商投资工业企业应收帐款净额,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业应收帐款净额,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业应收帐款净额,通用设备制造业外商及港澳台商投资工业企业应收帐款净额,造纸及纸制品业外商及港澳台商投资工业企业应收帐款净额,金属制品业外商及港澳台商投资工业企业应收帐款净额,非金属矿物制品业外商及港澳台商投资工业企业应收帐款净额,非金属矿采选业外商及港澳台商投资工业企业应收帐款净额,食品制造业外商及港澳台商投资工业企业应收帐款净额,饮料制造业外商及港澳台商投资工业企业应收帐款净额,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业应收帐款净额,黑色金属矿采选业外商及港澳台商投资工业企业应收帐款净额
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,160.03774,398.1298,182.20405,0.0,111.08561,313.32822,22.05955,118.25624,83.35401,237.90948,6800.67974,45.39406,63.97759,1.61755,93.49588,57.78864,1.27965,27.58304,89.16475,3.82258,2.27325,2.42576,5.06363,172.39743,546.01266,144.68058,27.43643,0.49393,235.83219,189.57118,2357.8776,287.14673,144.46189,258.62892,183.71244,2.32923,105.06372,58.07762,66.53838,0.16773
2004年,264.90822,543.16001,234.53674,0.00797,150.42274,453.84381,33.01688,139.22209,84.39304,352.70669,9439.79507,87.07258,84.34935,8.47148,100.28996,111.24331,2.50542,36.35512,131.50921,9.40349,1.15665,13.55411,7.72378,204.16051,790.37421,183.21792,47.05816,1.30069,341.6899,202.93935,3220.42144,471.06008,204.55529,323.31273,272.45324,5.12101,131.11827,68.70497,121.34537,1.10928
2005年,324.9469,685.5434,279.57234,0.61477,172.82128,549.98513,45.01014,172.94943,102.11051,396.22137,11421.98992,95.37358,91.44068,12.72645,123.5665,134.68205,4.05503,37.62449,142.04079,9.27446,1.06259,8.64897,11.65132,239.01453,946.63047,217.8859,57.75085,1.95901,371.9019,228.50321,4129.05203,555.60489,253.3794,348.4099,289.94465,5.07944,154.0404,69.22971,150.17041,1.51104
2006年,422.9,1001.14,373.61,0.0,207.31,739.1,58.6,199.52,109.97,461.21,13655.89,116.8,109.26,13.58,154.27,196.3,3.16,42.67,160.37,9.64,0.75,11.83,14.03,230.83,1202.62,248.85,60.8,3.04,435.93,278.16,4534.47,692.12,300.48,473.87,328.11,7.52,171.44,94.97,181.17,5.46
2007年,601.43244,1307.4708,384.17457,0.00673,253.07036,948.26017,71.1437,248.60366,126.68487,523.14155,16785.28402,135.47125,126.94114,20.94487,155.51766,248.16924,5.60851,54.89712,183.57368,17.65313,0.89093,16.14526,25.81788,294.85935,1553.83263,278.66176,91.24235,5.36377,491.95836,338.04519,5461.9691,888.31056,372.42983,562.89526,399.70255,9.37734,216.21294,138.01379,212.59927,14.19045
2008年,694.9331,1386.30332,388.15308,0.00925,272.50964,922.18206,71.95298,291.65119,147.90189,551.21547,17123.55885,128.38794,168.83186,19.50134,164.49381,227.34834,10.52612,49.83497,213.62032,23.96967,0.60093,77.5033,31.99757,276.68806,1645.32934,279.39602,105.92327,11.2817,516.28669,413.64887,4878.1298,1046.21429,362.8384,586.76929,474.37576,12.40376,266.99915,161.81294,226.1643,15.86906
2009年,833.38798,2097.02788,442.84578,0.0,303.51775,1086.66724,69.69605,347.63189,143.9307,557.34173,20860.8541,149.60207,190.81649,26.6961,181.40215,292.92925,23.01864,58.85666,234.301,23.98701,0.65244,112.44556,743.85899,312.76342,1890.49937,304.97505,123.0595,4.85295,562.57963,407.37197,5977.36811,1175.86903,346.4378,600.53463,503.37718,11.11603,282.97496,161.68028,258.04802,16.73281
2010年,1113.65919,2657.29943,536.85078,0.0,333.15515,1375.89782,69.34416,400.56647,162.04977,630.82938,24176.29964,173.78525,226.49694,42.17927,183.24632,362.59287,20.35065,68.59493,240.65131,28.38468,1.40738,128.18168,43.49391,346.70295,2420.98505,410.90221,174.44288,4.73046,626.67687,422.14994,6938.16653,1479.53139,445.6036,713.60573,571.57282,10.1371,316.43314,185.82868,290.36807,19.44488
2011年,1214.02174,3078.29435,594.29185,0.0,400.32154,1552.00518,92.20508,470.31805,176.63136,670.9208,27132.04395,181.46128,249.76984,60.07558,172.22698,354.90361,3.37767,76.7752,286.16914,39.67245,1.0276,501.91454,80.77589,349.5894,2710.12946,425.05826,170.16653,6.27288,678.54581,437.5305,7609.2851,1619.84297,466.34012,760.49044,628.49209,9.84765,428.88866,224.80149,314.60229,35.00057
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
