,交通运输、仓储和邮政业截至本年对外直接投资存量,住宿和餐饮业截至本年对外直接投资存量,信息传输、计算机服务和软件业截至本年对外直接投资存量,公共管理和社会组织截至本年对外直接投资存量,农、林、牧、渔业截至本年对外直接投资存量,制造业截至本年对外直接投资存量,卫生、社会保障和社会福利业截至本年对外直接投资存量,居民服务和其他服务业截至本年对外直接投资存量,建筑业截至本年对外直接投资存量,截至本年对外直接投资存量,房地产业截至本年对外直接投资存量,批发和零售业截至本年对外直接投资存量,教育截至本年对外直接投资存量,文化、体育和娱乐业截至本年对外直接投资存量,水利、环境和公共设施管理业截至本年对外直接投资存量,电力、燃气及水的生产和供应业截至本年对外直接投资存量,科学研究、技术服务和地质勘查业截至本年对外直接投资存量,租赁和商务服务业截至本年对外直接投资存量,采矿业截至本年对外直接投资存量,金融业截至本年对外直接投资存量
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,1452002.0,13669.0,166696.0,0.0,146762.0,966188.0,369.0,71468.0,268070.0,18397071.0,409814.0,2985866.0,1749.0,10733.0,106289.0,184676.0,198189.0,5458303.0,2286840.0,3669388.0
2009年,1663133.0,24329.0,196724.0,0.0,202844.0,1359155.0,610.0,96137.0,341322.0,24575538.0,534343.0,3569499.0,2123.0,13565.0,106508.0,225561.0,287413.0,7294900.0,4057969.0,4599403.0
2010年,2318780.0,44986.0,840624.0,0.0,261208.0,1780166.0,3616.0,322974.0,617328.0,31721059.0,726642.0,4200645.0,2394.0,34583.0,113343.0,341068.0,396712.0,9724605.0,4466064.0,5525321.0
2011年,2526131.0,60386.0,955324.0,0.0,341664.0,2696443.0,1715.0,161558.0,805110.0,42478067.0,898616.0,4909363.0,6657.0,54142.0,240196.0,714056.0,438838.0,14229002.0,6699537.0,6739329.0
2012年,2922653.0,76327.0,481971.0,0.0,496443.0,3414007.0,4676.0,358124.0,1285604.0,53194058.0,958141.0,6821188.0,16479.0,79351.0,7056.0,899210.0,679276.0,17569795.0,7478420.0,9645337.0
2013年,3222778.0,94743.0,738440.0,0.0,717912.0,4197684.0,6484.0,768855.0,1944574.0,66047840.0,1542126.0,8764768.0,20105.0,110067.0,34242.0,1119660.0,866973.0,19573354.0,10617092.0,11707983.0
2014年,3468163.0,130704.0,1232599.0,0.0,969179.0,5235194.0,23060.0,904271.0,2258325.0,88264242.0,2464903.0,10295680.0,18464.0,159522.0,133365.0,1504089.0,1087324.0,32244391.0,12372524.0,13762485.0
