,其他制造业提供给化学工业的中间使用,其他服务业提供给化学工业的中间使用,农、林、牧、渔业提供给化学工业的中间使用,化学工业中间使用,化学工业劳动者报酬,化学工业固定资产折旧,化学工业增加值,化学工业总投入,化学工业提供给化学工业的中间使用,化学工业生产税净额,化学工业营业盈余,建筑业提供给化学工业的中间使用,房地产业、租赁和商务服务业提供给化学工业的中间使用,批发零售贸易、住宿和餐饮业提供给化学工业的中间使用,机械设备制造业提供给化学工业的中间使用,炼焦、燃气及石油加工业提供给化学工业的中间使用,电力、热力及水的生产和供应业提供给化学工业的中间使用,纺织、服装及皮革产品制造业提供给化学工业的中间使用,运输仓储邮政、信息传输、计算机服务和软件业提供给化学工业的中间使用,采矿业提供给化学工业的中间使用,金属产品制造业提供给化学工业的中间使用,金融业提供给化学工业的中间使用,非金属矿物制品业提供给化学工业的中间使用,食品、饮料制造及烟草制品业提供给化学工业的中间使用
2002年,3977154.83185,2159017.10403,6630650.22075,157633500.337,20406170.7072,10376851.8679,58092667.829,215726168.166,80972315.4183,13351239.5613,13958405.6925,119141.616067,4536877.08579,9280771.32959,5388155.80338,7271507.48428,10315567.5503,1460687.65154,7146430.28857,9641999.92578,3407253.39488,2447272.29328,1217391.96087,1661306.37826
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,7308249.99396,4445116.56428,15086672.0058,311190870.487,26309589.2846,15272654.1806,89125822.145,400316692.632,154819198.057,18186698.7304,29356879.9494,286810.407355,6480618.3747,13688904.2561,9364705.38862,16476680.1087,24113756.5675,2623794.59325,15963584.9375,23128331.6156,6717233.20432,3502369.32987,2532653.50137,4652191.58113
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,13092507.4692,6703209.88025,16674822.788,494052772.127,37806573.5627,17930339.648,125928153.705,619980925.832,258179753.172,24193076.0031,45998164.4914,206977.488351,7994672.16035,13401963.2044,16167993.4788,40782813.4517,30268744.12,5889045.08674,17534941.3395,34662848.5453,10949652.8219,8111153.0406,4271377.0304,9160297.04928
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,21115878.3642,11640158.9147,29776681.5731,751960360.924,64283325.0064,27514104.9288,180550224.326,932510585.25,382527595.73,35501980.052,53250814.3385,351685.078383,15191866.0418,22156960.543,24699471.2643,57045134.7438,44094008.2455,9164915.2323,30570293.0579,48903865.121,17671984.4278,14496917.3161,7515706.58245,15037238.6879
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,11880883.673,17906760.1456,44189444.8402,978233273.533,79805544.8849,34999849.8221,232012514.343,1210245787.88,523624408.031,38694422.1386,78512697.4968,1413199.14138,18966370.0442,40397430.0229,14815161.7164,75653161.4067,51499059.1455,17379129.0804,35557969.2741,49738187.4769,16453399.2968,23104551.1698,7451888.17102,28202270.8969
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
