,中外合作经营批发业企业主营业务税金及附加,中外合资经营批发业企业主营业务税金及附加,其他外商投资批发业企业主营业务税金及附加,其他批发业企业主营业务税金及附加,其他有限责任公司批发业企业主营业务税金及附加,其他港澳台商投资批发业企业主营业务税金及附加,其他联营批发业企业主营业务税金及附加,内资批发业企业主营业务税金及附加,国有与集体联营批发业企业主营业务税金及附加,国有批发业企业主营业务税金及附加,国有独资公司批发业企业主营业务税金及附加,国有联营批发业企业主营业务税金及附加,外商投资批发业企业主营业务税金及附加,外商投资股份有限公司批发业企业主营业务税金及附加,外资批发业企业主营业务税金及附加,批发业主营业务税金及附加,有限责任公司批发业企业主营业务税金及附加,港澳台商合作经营批发业企业主营业务税金及附加,港澳台商合资经营批发业企业主营业务税金及附加,港澳台商投资批发业企业主营业务税金及附加,港澳台商投资股份有限公司批发业企业主营业务税金及附加,港澳台商独资经营批发业企业主营业务税金及附加,私营合伙批发业企业主营业务税金及附加,私营批发业企业主营业务税金及附加,私营有限责任公司批发业企业主营业务税金及附加,私营独资批发业企业主营业务税金及附加,私营股份有限公司批发业企业主营业务税金及附加,联营批发业企业主营业务税金及附加,股份合作批发业企业主营业务税金及附加,股份有限公司批发业企业主营业务税金及附加,集体批发业企业主营业务税金及附加,集体联营批发业企业主营业务税金及附加
2003年,,,,,6.66202,,,37.19265,,18.84944,0.97814,0.1447,1.85071,0.0,1.81933,39.22489,7.64016,,,0.18153,0.0,0.11051,,2.43643,1.9914,0.12582,0.29408,0.22517,0.28389,6.60556,1.10568,
2004年,0.05464,0.27168,0.0,0.04475,19.48563,0.0,0.04787,84.56697,0.0524,30.89939,5.20684,0.74962,3.05468,0.11668,2.61168,88.07272,24.69247,0.00917,0.08116,0.45107,0.08288,0.27786,0.34105,13.47638,11.83425,0.5862,0.71488,0.88535,0.59022,11.96636,2.01205,0.03546
2005年,,1.49049,,1.04346,17.33092,,,75.25391,0.08381,27.25884,3.09699,0.38267,4.63339,,3.11039,80.18523,20.42781,,0.09775,0.29793,,0.19217,0.11576,13.52923,11.40216,1.55683,0.45448,0.52381,0.48998,10.04805,1.93273,
2006年,,0.2517,,0.1483,21.0104,,0.0701,90.2591,0.1644,33.3361,3.1969,0.5105,3.1448,0.0594,2.8321,93.7344,24.2073,,0.0631,0.3305,,0.2236,0.2079,16.9735,15.4692,0.6929,0.6036,1.1638,0.5565,11.9095,1.9641,0.4187
2007年,,0.36491,,1.17006,31.7675,,0.12252,130.68167,0.19701,46.3057,5.09683,0.99723,6.69999,2.24267,4.08801,137.85379,36.86433,,0.12083,0.47213,,0.32679,0.30206,22.21464,18.78083,2.14415,0.9876,1.33884,0.59365,17.33515,4.8593,
2008年,0.1553,6.6416,,1.6414,87.3576,,0.0791,360.392,0.1227,84.3092,17.4443,0.836,23.8774,0.1683,16.9123,386.4754,104.8019,,0.4084,2.206,0.1977,1.5707,2.4443,107.8864,86.2835,12.5045,6.654,1.0876,1.4067,48.3776,10.8813,
2009年,,3.17564,,2.60512,106.54156,,0.12026,510.58381,0.07958,258.52429,14.46647,1.32312,9.84839,0.21268,6.44977,522.31831,121.00803,0.22456,0.38538,1.88611,0.10062,1.17555,1.65621,87.33573,69.15135,11.74586,4.78231,1.53425,0.90512,30.39816,8.27311,
2010年,0.1,1.9,,3.7,118.2,,0.2,768.3,0.1,448.8,24.7,1.8,16.3,,14.3,788.7,142.9,0.3,0.5,4.1,0.2,3.2,2.2,121.6,96.0,17.5,5.8,2.1,1.5,38.1,9.6,0.1
2011年,0.2441,6.5276,,11.6123,140.977,,0.2325,891.2723,0.1593,539.1595,29.6942,0.4486,117.0969,0.2845,110.0365,1024.9407,170.6712,0.3706,3.0656,16.5714,0.3015,12.8277,2.1436,115.7238,92.3407,14.7132,6.5262,0.8699,2.0766,45.2121,5.9472,
2012年,0.27833,6.7763,0.07277,10.85415,149.94666,,0.20341,1007.9401,0.11516,611.94028,31.05908,0.58105,105.68269,0.36558,98.18971,1132.92498,181.00574,0.13849,3.14479,19.30219,0.42526,15.56122,1.5402,155.59493,130.98429,17.37315,5.69729,0.95167,2.42142,39.84143,5.33048,0.05205
2013年,0.25407,10.23125,0.32424,10.26088,281.33123,,,1300.34904,0.07605,639.7628,56.91817,0.10461,162.01718,0.62816,150.57946,1489.8461,338.2494,0.18388,2.03702,27.47986,0.73774,24.50297,0.78287,253.90292,229.81959,7.83973,15.46073,0.26241,0.87896,51.04062,5.99105,0.0552
2014年,2.27273,9.9799,0.64222,9.27316,271.21652,0.02482,0.02878,1305.33521,0.07746,637.56943,74.7135,0.01969,159.89116,0.6678,146.32851,1496.7186,345.93002,0.2453,3.8365,31.49227,0.41682,26.96883,0.80946,259.31802,237.42528,9.05432,12.02896,0.17033,0.70739,45.59579,6.77107,0.0444
