,中国同乌拉圭进口总额,中国同伯利兹进口总额,中国同博内尔进口总额,中国同危地马拉进口总额,中国同厄瓜多尔进口总额,中国同古巴进口总额,中国同哥伦比亚进口总额,中国同哥斯达黎加进口总额,中国同圣其茨-尼维斯进口总额,中国同圣卢西亚进口总额,中国同圣文森特和格林纳丁斯进口总额,中国同圣马丁岛进口总额,中国同圭亚那进口总额,中国同墨西哥进口总额,中国同多米尼克进口总额,中国同多米尼加共和国进口总额,中国同委内瑞拉进口总额,中国同安提瓜和巴布达进口总额,中国同尼加拉瓜进口总额,中国同巴哈马进口总额,中国同巴巴多斯进口总额,中国同巴拉圭进口总额,中国同巴拿马进口总额,中国同巴西进口总额,中国同库腊索岛进口总额,中国同开曼群岛进口总额,中国同拉丁美洲进口总额,中国同拉美其他国家(地区)进口总额,中国同智利进口总额,中国同格林纳达进口总额,中国同法属圭亚那进口总额,中国同波多黎各进口总额,中国同洪都拉斯进口总额,中国同海地进口总额,中国同牙买加进口总额,中国同特克斯和凯科斯群岛进口总额,中国同特立尼达和多巴哥进口总额,中国同玻利维亚进口总额,中国同瓜德罗普岛进口总额,中国同秘鲁进口总额,中国同苏里南进口总额,中国同英属维尔京群岛进口总额,中国同荷属安地列斯群岛进口总额,中国同萨尔瓦多进口总额,中国同萨巴进口总额,中国同蒙特塞拉特进口总额,中国同阿根廷进口总额,中国同阿鲁巴岛进口总额,中国同马提尼克岛进口总额
2000年,10134.0,,,460.0,8013.0,8114.0,3216.0,,,,,,,48828.0,246.0,89.0,9478.0,,35.0,,1.0,322.0,102.0,162144.0,,,541028.0,,133851.0,,,1142.0,11.0,,2956.0,,44.0,1216.0,,56026.0,81.0,,,49.0,,,92999.0,,
2001年,9553.0,,,21.0,2810.0,11405.0,2693.0,2651.0,1.0,,,,237.0,76110.0,90.0,22.0,14578.0,,9.0,2.0,6.0,283.0,195.0,234734.0,,,670215.0,9.0,130337.0,,,1743.0,11.0,3.0,3393.0,,7.0,952.0,,49804.0,408.0,,,43.0,,,128102.0,3.0,
2002年,7807.0,16.0,,58.0,1357.0,11569.0,2912.0,18449.0,,,2.0,,400.0,111496.0,74.0,181.0,14496.0,,3.0,6.0,13.0,787.0,372.0,300302.0,,,833616.0,1.0,156709.0,,,2346.0,77.0,,4880.0,,481.0,1208.0,,73161.0,257.0,56.0,,190.0,,,123946.0,4.0,
2003年,7575.0,98.8,,182.1,3972.5,12050.7,6045.9,56090.0,0.0,0.7,0.0,0.0,30.0,167674.0,75.8,351.4,54216.0,0.0,36.5,78.1,4.5,1273.9,2862.0,584229.0,20.7,0.0,1492938.0,0.0,224816.0,30.6,1.3,7807.0,337.9,2.0,10546.1,1.6,1024.3,688.0,0.0,76001.0,1608.9,0.0,36.3,205.6,0.0,54.1,272908.0,2.5,0.0
2004年,11030.1,0.0,,4290.7,9221.7,19494.3,17550.7,64129.0,0.0,2.7,0.0,0.0,117.5,213984.0,175.3,1559.0,73794.3,0.0,295.0,69.5,24.1,5828.9,1491.5,867286.1,55.6,0.0,2176253.7,0.0,366672.4,0.0,1.6,9132.2,1166.3,26.0,26984.6,2.2,367.6,2954.8,20.9,152289.6,96.1,267.0,0.0,378.6,0.0,0.0,325487.4,6.0,0.0
2005年,17333.0,21.0,,9469.0,4272.0,23696.0,20515.0,92208.0,0.0,3271.0,0.0,0.0,757.0,222530.0,95.0,2910.0,123412.0,0.0,1417.0,19.0,21.0,5855.0,2220.0,999252.0,104.0,0.0,2678527.0,0.0,499154.0,0.0,6.0,11959.0,1417.0,27.0,22100.0,2.0,1866.0,3105.0,0.0,227799.0,732.0,0.0,0.0,1050.0,0.0,0.0,379921.0,14.0,0.0
2006年,27000.0193,2.0279,,4377.5823,8720.2362,52831.2618,26381.7426,174727.3688,,2.5578,,,1768.2108,260710.2793,818.3871,9444.5041,263795.6048,,76.3147,6.8018,29.3775,5366.8927,1430.2343,1290949.5161,,1.6349,3417518.9628,4.1445,573587.168,1.9663,,10322.2703,1861.7199,136.4883,35876.7054,,1021.0049,4649.4804,,290784.9844,394.8283,,16.8794,389.0864,3.0,,370018.5258,9.9172,2.0714
2007年,34176.1327,,,4620.9048,14119.1352,111546.2607,109579.5978,230664.0284,1.0226,11.52,,,1810.5113,326329.285,3060.6296,9984.4056,302394.5726,,338.9883,1811.8651,113.1438,1967.5804,788.6893,1834183.2778,,,5111090.1705,,1028060.4893,4.4668,,13705.0066,1608.379,633.0297,3846.3994,,2053.3006,5635.5845,,433789.0075,305.6853,11.0956,,472.8493,,,633450.0529,11.4325,
2008年,62395.4527,2.7284,,1150.2508,84902.2478,90305.7223,112540.8277,227052.0976,14.3387,5.0473,2619.9458,,1735.9005,369025.4865,216.4907,14629.1065,656705.9276,7.549,346.5943,60.8514,141.8197,2532.2919,4974.4264,2986344.2631,,,7164395.1988,19.219,1117281.437,4.0808,,22563.0171,1614.5947,747.7344,557.4731,,2412.5346,15060.2016,11.3393,449211.2922,365.9345,56.0099,24.9658,594.7592,,2.4128,936134.9629,22.5369,0.8766
2009年,73364.0,1.0,,2333.0,76316.0,57444.0,97930.0,264648.0,4.0,18.0,,,1075.0,389862.0,116.0,10052.0,438214.0,10.0,324.0,15.0,223.0,2745.0,2881.0,2827692.0,,1.0,6476879.0,,1291063.0,3.0,,31192.0,5355.0,288.0,2156.0,,10331.0,,,445130.0,1191.0,20.0,,347.0,,13.0,431724.0,15.0,
2010年,115184.1,25.2,,3605.9,50715.9,76460.9,210336.3,310684.5,30.4,12.3,2.2,,1728.0,688746.9,252.9,13073.9,671287.9,5.3,711.9,15.3,380.8,4586.7,2528.7,3812537.5,2.5,31.6,9184163.6,,1795308.0,0.8,1.4,64834.6,9382.9,595.0,371.1,,10806.7,18908.6,2.0,638489.9,1323.2,3.1,,750.5,,2.4,680413.1,14.2,1.8
2011年,141341.7171,290.2317,,2334.472,57989.0068,90404.5465,239476.7112,384402.967,47.5607,28.7864,2.3696,,1453.1604,936857.8442,39.5668,28687.667,1173821.5764,5.0891,2436.9665,6290.1399,670.7895,4449.3285,4285.8083,5239448.9069,11.7449,9.0067,11966819.9424,,2056855.9696,,,104307.9582,14668.3969,736.7886,397.062,,34011.438,27345.3567,,785671.3022,1590.031,2.6187,8.1746,637.6643,,8.4775,625682.8463,3.4937,105.683
2012年,191122.0,778.7,0.1,6850.8,93832.3,56916.9,315724.8,527023.7,13.4,12.0,0.2,,2607.7,915960.7,114.6,40967.0,1454334.2,7.1,11585.0,11688.5,1044.3,4784.2,5300.0,5232939.8,14.6,12.3,12607264.6,,2062667.0,0.4,2.9,88238.4,25105.0,996.8,3068.6,0.1,13966.2,32407.8,3.4,846635.3,2335.3,0.7,0.1,736.5,,3.9,656092.5,1324.3,44.2
2013年,246641.9,838.5,,17393.4,77526.3,50463.4,362027.1,475805.4,27.6,2.7,,,2112.9,1023847.7,10.9,29001.1,1312009.7,33.9,9182.2,7.7,1268.8,6067.1,4394.4,5429912.3,146.1,26.4,12742894.8,78.0,2070768.5,3.2,7.7,105245.3,23487.1,1501.0,381.1,0.8,11950.2,27577.4,21.1,840806.2,2808.9,8.8,,898.8,,2.2,608576.8,15.7,8.6
2014年,262909.4168,727.2471,4714.5098,5139.8307,106451.2382,33301.5354,759889.0457,418626.8799,42.3671,3.3241,0.0033,0.001,4022.1304,1117341.8355,56.6424,27380.472,1132005.3983,3.8431,4336.8774,18.8072,1480.2018,5562.5086,12749.5185,5165322.4893,2.5294,0.1214,12705397.1634,105.9704,2098587.5553,0.4997,0.6367,100352.101,16166.3898,1483.2127,3751.4336,1.3933,10073.3415,49256.6431,1.7375,814087.1705,5267.171,0.9005,0.0543,1047.1972,0.0079,0.9073,524694.4098,18428.4278,1.2281
