,中国同乌拉圭出口总额,中国同伯利兹出口总额,中国同博内尔出口总额,中国同危地马拉出口总额,中国同厄瓜多尔出口总额,中国同古巴出口总额,中国同哥伦比亚出口总额,中国同哥斯达黎加出口总额,中国同圣其茨-尼维斯出口总额,中国同圣卢西亚出口总额,中国同圣文森特和格林纳丁斯出口总额,中国同圣马丁岛出口总额,中国同圭亚那出口总额,中国同墨西哥出口总额,中国同多米尼克出口总额,中国同多米尼加共和国出口总额,中国同委内瑞拉出口总额,中国同安提瓜和巴布达出口总额,中国同尼加拉瓜出口总额,中国同巴哈马出口总额,中国同巴巴多斯出口总额,中国同巴拉圭出口总额,中国同巴拿马出口总额,中国同巴西出口总额,中国同库腊索岛出口总额,中国同开曼群岛出口总额,中国同拉丁美洲出口总额,中国同拉美其他国家(地区)出口总额,中国同智利出口总额,中国同格林纳达出口总额,中国同法属圭亚那出口总额,中国同波多黎各出口总额,中国同洪都拉斯出口总额,中国同海地出口总额,中国同牙买加出口总额,中国同特克斯和凯科斯群岛出口总额,中国同特立尼达和多巴哥出口总额,中国同玻利维亚出口总额,中国同瓜德罗普岛出口总额,中国同秘鲁出口总额,中国同苏里南出口总额,中国同英属维尔京群岛出口总额,中国同荷属安地列斯群岛出口总额,中国同萨尔瓦多出口总额,中国同萨巴出口总额,中国同蒙特塞拉特出口总额,中国同阿根廷出口总额,中国同阿鲁巴岛出口总额,中国同马提尼克岛出口总额
2000年,24302.0,,,13862.0,7487.0,23280.0,15597.0,,,,,,,133525.0,5770.0,7541.0,25650.0,,4309.0,,304.0,8596.0,129016.0,122355.0,3328.0,,718521.0,,78352.0,,,5721.0,6217.0,,4945.0,,2674.0,468.0,,14433.0,1064.0,,,6264.0,,,61030.0,,
2001年,18894.0,628.0,,16291.0,13410.0,33177.0,20528.0,6308.0,11.0,302.0,1308.0,160.0,1241.0,179039.0,8763.0,3821.0,44344.0,120.0,3454.0,3477.0,541.0,7210.0,123963.0,135114.0,4654.0,50.0,823674.0,115.0,81482.0,25.0,60.0,7557.0,6484.0,1445.0,8514.0,,3494.0,774.0,170.0,17656.0,1263.0,55.0,,9960.0,1.0,4.0,57368.0,362.0,77.0
2002年,9495.0,904.0,,24467.0,19448.0,31066.0,28726.0,8165.0,27.0,269.0,821.0,98.0,1372.0,286366.0,4543.0,10548.0,33267.0,295.0,4917.0,6287.0,1024.0,7903.0,127266.0,146638.0,4129.0,210.0,948824.0,122.0,99826.0,29.0,67.0,10430.0,5877.0,2347.0,6596.0,,4234.0,955.0,159.0,24664.0,1515.0,1601.0,,13257.0,1.0,1.0,18537.0,276.0,79.0
2003年,12762.0,1027.0,,30561.8,23929.0,23629.8,39820.0,9852.0,15.3,153.5,764.6,140.4,1812.0,326703.0,3357.8,14814.5,19923.7,311.6,6931.0,12172.4,917.3,12619.3,147999.0,214326.0,3883.3,388.3,1187743.0,76.4,128344.0,42.9,84.6,15953.0,7787.1,2638.1,10203.6,2.3,5852.0,1184.0,246.2,35373.9,1977.0,7631.5,714.3,15756.0,5.3,2.6,44719.0,221.8,114.2
2004年,20955.1,2257.8,,39263.9,34359.8,32828.4,62927.3,15441.8,19.5,229.4,1319.6,144.1,2118.4,497275.4,4555.3,23275.6,59552.6,11852.6,10159.3,9868.6,1037.6,23494.0,218695.1,367410.4,4288.7,246.9,1823808.6,119.0,168843.1,78.5,108.2,20692.7,12314.0,2221.6,12606.6,0.0,7590.9,2359.1,381.8,41840.8,3027.0,82.0,2487.8,19688.4,6.2,3.9,85230.2,374.7,174.8
2005年,28257.0,3208.0,,47364.0,46735.0,63587.0,93015.0,22877.0,58.0,283.0,1521.0,244.0,2721.0,553769.0,4905.0,26415.0,90785.0,14690.0,11400.0,15545.0,1921.0,25256.0,315112.0,482721.0,4753.0,404.0,2368050.0,58.0,214948.0,273.0,147.0,28971.0,13381.0,3020.0,10407.0,25.0,10043.0,5054.0,615.0,60888.0,3868.0,2218.0,3772.0,19390.0,0.0,8.0,132443.0,564.0,410.0
2006年,40243.1508,2876.3912,,68758.6449,71434.5585,126437.2734,149627.3908,40874.9465,63.5864,412.1705,1484.1288,202.3673,8150.3763,882355.4228,6086.3592,40180.495,169802.0719,16105.0803,16271.945,16452.6644,7559.8603,32749.6183,386716.338,738010.5731,5887.1893,634.1208,3602794.696,192.0,310903.0073,406.3687,213.1012,35263.0656,22367.9114,5979.4468,17958.8717,73.8703,16475.3852,5834.8869,968.2579,100853.5158,4293.9081,12100.4448,6198.0512,31522.4853,412.0,6.4943,200389.6248,951.9037,464.8602
2007年,61557.8533,2602.0104,,79622.2716,94239.8565,117024.9096,226116.7876,56678.2836,257.821,683.9687,2659.8849,260.1884,6529.5186,1170610.9497,7357.1903,51292.4762,283285.9292,39523.6598,21222.7812,16261.063,3473.2317,46582.0264,557997.9326,1137226.2044,3705.2446,1077.0143,5153939.5438,144.365,441555.8128,297.4075,302.265,42012.5822,27311.1257,8160.1813,24610.6035,91.4968,26302.7482,9671.7855,1793.0394,167850.3354,6716.8884,11626.3035,3164.8943,35218.3369,2.2138,66.561,356635.0374,1043.0961,1513.4065
2008年,102768.5159,4245.962,,93441.7228,154700.7581,135479.5514,298793.0632,61915.7577,264.825,668.903,5858.6811,262.0886,7097.8277,1386648.7521,7574.9161,65788.572,336598.0685,52947.9125,25561.3921,38533.8947,2793.7429,76350.9266,789390.7132,1880745.7292,3675.1438,3567.1403,7176203.9006,160.4863,618680.3918,377.5164,346.077,45997.6051,32360.8995,12589.8262,28869.0299,138.0139,34963.1554,17856.0347,2855.6632,277437.1548,10272.8977,5727.324,5154.7,37447.1839,,4.1585,505473.2598,1098.2988,2719.6632
2009年,81956.0,3303.0,,65883.0,100356.0,97287.0,239605.0,53762.0,122.0,679.0,8179.0,161.0,5908.0,1229627.0,2232.0,59211.0,281172.0,49369.0,19326.0,42254.0,9155.0,51386.0,652299.0,1411886.0,1582.0,1799.0,5709426.0,59.0,492817.0,395.0,487.0,47931.0,21216.0,14749.0,19699.0,39.0,24421.0,7.0,3006.0,209895.0,9618.0,1568.0,4672.0,25669.0,13.0,4.0,348342.0,1170.0,2217.0
2010年,147757.5,4032.2,3.1,101846.7,149561.2,106689.8,381995.7,68803.5,266.9,811.5,7371.5,279.5,8347.0,1787265.3,4089.2,90433.8,364858.7,80616.1,29955.4,62781.0,7135.7,105060.4,1195827.9,2446049.5,1560.6,1360.0,9179803.2,55.0,802462.7,511.1,677.9,49431.5,32214.2,25576.3,23562.3,42.4,29106.4,17298.3,3088.5,354966.8,11395.1,14179.8,8843.5,36517.4,,1.1,611576.4,1161.6,2382.0
2011年,200153.1976,4949.0722,3.3147,125397.4576,222360.6194,104364.9401,583884.2976,88452.3138,438.4537,1015.1553,7793.9359,342.8597,13260.848,2397587.8538,2648.9669,96739.0797,652189.2436,65677.2026,42202.9098,55013.6746,14386.2602,124805.0527,1455581.0117,3183663.2654,2008.9542,2954.4857,12171929.9056,49.4256,1081672.5729,591.2234,1286.2998,55710.3549,42185.2727,30363.9341,37091.3287,39.9755,28655.7644,38454.0298,3839.597,465327.717,13618.4285,15544.0036,9925.2733,44999.2344,26.9178,1.7888,850250.8228,1768.9297,2652.4132
2012年,241326.6,5251.2,5.3,128366.6,261399.6,117358.4,622925.0,90175.8,270.5,2878.5,2906.0,218.9,19952.3,2751548.7,2529.9,102993.1,930420.2,74697.7,46678.7,59207.7,9611.2,133579.4,1530604.2,3341956.1,2614.8,11357.9,13521520.5,,1259945.4,1986.9,1548.1,65621.6,105665.3,28370.8,78609.7,29.6,31218.0,35191.5,3428.3,533248.1,18911.2,15382.2,11563.7,49052.8,90.0,0.9,786926.3,1624.4,2193.4
2013年,232360.3,12236.5,3.5,147530.8,296684.6,137478.6,682603.7,92697.7,1559.2,1987.9,2523.2,303.7,16013.8,2896630.0,2296.9,104551.5,606450.1,24548.2,52291.5,33671.0,7021.0,135650.0,1099273.4,3589547.1,2009.7,1118.9,13396129.7,54.4,1310546.9,757.2,1451.4,65745.5,79903.7,32349.4,62705.9,37.8,32139.0,53146.9,3031.2,618883.8,17403.2,1106.8,5952.9,52195.6,123.4,15.1,875043.0,2132.5,2361.3
2014年,245849.0309,9586.1219,28.7097,186728.1383,324513.9234,106246.5309,804333.4315,110953.8247,2666.2752,2990.2666,3729.3995,597.5296,16728.6279,3225538.6103,3703.9615,127362.576,565742.1107,17236.3379,56813.3651,74287.2954,7145.5431,139624.4593,930738.9343,3489013.4489,2562.8099,846.1499,13622355.6962,61.5425,1301750.1123,1486.4857,1294.3125,103669.9335,68653.9344,39137.9244,52304.3589,108.592,42797.7496,70594.1353,3651.1328,610084.7629,17686.5027,11497.3683,5989.3313,60189.3256,10.4751,41.6416,767982.9418,5357.2288,2438.4918
