,中国科协系统主办科技报纸,中国科协系统主办科技报纸总印数,中国科协系统主办科技期刊,中国科协系统主办科技期刊总印数,中国科协系统编著科技图书,中国科协系统编著科技图书总印数,全国学会主办科技报纸,全国学会主办科技报纸总印数,全国学会主办科技期刊,全国学会主办科技期刊总印数,全国学会编著科技图书,全国学会编著科技图书总印数,学会(小计)主办科技报纸,学会(小计)主办科技报纸总印数,学会(小计)主办科技期刊,学会(小计)主办科技期刊总印数,学会(小计)编著科技图书,学会(小计)编著科技图书总印数,省级学会主办科技报纸,省级学会主办科技报纸总印数,省级学会主办科技期刊,省级学会主办科技期刊总印数,省级学会编著科技图书,省级学会编著科技图书总印数,科协(小计)主办科技报纸,科协(小计)主办科技报纸总印数,科协(小计)主办科技期刊,科协(小计)主办科技期刊总印数,科协(小计)编著科技图书,科协(小计)编著科技图书总印数
2003年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008年,99,14751,2147,9102,2761,1831,8,220,943,6175,173,191,68,1956,2129,9044,932,724,60,1736,1186,2869,759,533,31,12795,18,58,1829,1107
2009年,101,15186,2126,9070,1743,1123,5,202,971,5887,229,174,72,1984,2075,8371,986,754,67,1782,1104,2484,757,580,29,13202,51,699,757,369
2010年,79,16241,2049,8670,1616,983,3,680,974,5155,189,105,49,2203,2006,8011,857,528,46,1523,1032,2856,668,423,30,14038,43,659,759,455
2011年,107,13769,2236,11438,1696,968,6,680,1071,7541,215,82,75,2161,2197,10663,954,431,69,1481,1126,3122,739,349,32,11608,39,775,742,537
2012年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
