,中国科协系统制作科普广播影视节目数,中国科协系统开发制作科普展览数,中国科协系统科普动漫作品数,中国科协系统科普活动资源包,中国科协系统科普读物总印数,中国科协系统科普读物数,全国学会制作科普广播影视节目数,全国学会开发制作科普展览数,全国学会科普动漫作品数,全国学会科普活动资源包,全国学会科普读物总印数,全国学会科普读物数,学会(小计)制作科普广播影视节目数,学会(小计)开发制作科普展览数,学会(小计)科普动漫作品数,学会(小计)科普活动资源包,学会(小计)科普读物总印数,学会(小计)科普读物数,省级学会制作科普广播影视节目数,省级学会开发制作科普展览数,省级学会科普动漫作品数,省级学会科普活动资源包,省级学会科普读物总印数,省级学会科普读物数,科协(小计)制作科普广播影视节目数,科协(小计)开发制作科普展览数,科协(小计)科普动漫作品数,科协(小计)科普活动资源包,科协(小计)科普读物总印数,科协(小计)科普读物数
2003年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008年,12731,9488,4907,17954,5697,14761,705,0,13,0,0,0,1332,0,523,0,0,0,627,0,510,0,0,0,11399,9488,4384,17954,5697,14761
2009年,12406,6177,6136,3204,7456,12585,176,0,6,0,0,0,712,0,52,0,0,0,536,0,46,0,0,0,11694,6177,6084,3204,7456,12585
2010年,11933,5748,12526,1198,8680,9568,281,0,8,0,0,0,510,0,60,0,0,0,229,0,52,0,0,0,11423,5748,12466,1198,8680,9568
2011年,14253,5555,7780,1164,7307,9643,280,0,36,0,0,0,925,0,119,0,0,0,645,0,83,0,0,0,13328,5555,7661,1164,7307,9643
2012年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
