,中国科协科普网站系统浏览人次,中国科协系统建筑面积8000平方米以上科技馆数,中国科协系统科技馆(科普活动中心)数,中国科协系统科普大篷车行驶里程,中国科协系统科普展示单元总长度,中国科协系统科普教育基地(示范基地)参观人数,中国科协系统科普教育基地(示范基地)数,中国科协系统科普画廊(宣传栏)数,中国科协系统科普网站数,全国学会建筑面积8000平方米以上科技馆数,全国学会科技馆(科普活动中心)数,全国学会科普大篷车行驶里程,全国学会科普展示单元总长度,全国学会科普教育基地(示范基地)参观人数,全国学会科普教育基地(示范基地)数,全国学会科普画廊(宣传栏)数,全国学会科普网站数,全国学会科普网站系统浏览人次,学会(小计)建筑面积8000平方米以上科技馆数,学会(小计)科技馆(科普活动中心)数,学会(小计)科普大篷车行驶里程,学会(小计)科普展示单元总长度,学会(小计)科普教育基地(示范基地)参观人数,学会(小计)科普教育基地(示范基地)数,学会(小计)科普画廊(宣传栏)数,学会(小计)科普网站数,学会(小计)科普网站系统浏览人次,省级学会建筑面积8000平方米以上科技馆数,省级学会科技馆(科普活动中心)数,省级学会科普大篷车行驶里程,省级学会科普展示单元总长度,省级学会科普教育基地(示范基地)参观人数,省级学会科普教育基地(示范基地)数,省级学会科普画廊(宣传栏)数,省级学会科普网站数,省级学会科普网站系统浏览人次,科协(小计)建筑面积8000平方米以上科技馆数,科协(小计)科技馆(科普活动中心)数,科协(小计)科普大篷车行驶里程,科协(小计)科普展示单元总长度,科协(小计)科普教育基地(示范基地)参观人数,科协(小计)科普教育基地(示范基地)数,科协(小计)科普画廊(宣传栏)数,科协(小计)科普网站数,科协(小计)科普网站系统浏览人次
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,60931.0,19.0,2062.0,901002.0,198.0,12906.0,24868.0,179444.0,1814.0,,,,,,,,194.0,41807.0,,,,,,,,549.0,47337.0,,,,,,,,355.0,5530.0,19.0,2062.0,901002.0,198.0,12906.0,24868.0,179444.0,1265.0,13594.0
2009年,76757.0,79.0,983.0,2068761.0,214.0,19576.0,28121.0,215374.0,2179.0,,,,,,,,234.0,53354.0,,,,,,,,686.0,59343.0,,,,,,,,452.0,5989.0,79.0,983.0,2068761.0,214.0,19576.0,28121.0,215374.0,1493.0,17414.0
2010年,80592.0,91.0,1029.0,4555695.0,222.0,20247.0,29973.0,232096.0,2332.0,,,,,,,,259.0,57500.0,,,,,,,,709.0,62804.0,,,,,,,,450.0,5304.0,91.0,1029.0,4555695.0,222.0,20247.0,29973.0,232096.0,1623.0,17788.0
2011年,120779.0,51.0,992.0,5243516.0,258.0,26273.0,33928.0,271089.0,2794.0,,,,,,,,345.0,66099.0,,,,,,,,881.0,82466.0,,,,,,,,536.0,16367.0,51.0,992.0,5243516.0,258.0,26273.0,33928.0,271089.0,1913.0,38313.0
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
