,专用设备制造业外商及港澳台商投资工业企业存货,仪器仪表制造业外商及港澳台商投资工业企业存货,其他制造业外商及港澳台商投资工业企业存货,其他采矿业外商及港澳台商投资工业企业存货,农副食品加工业外商及港澳台商投资工业企业存货,化学原料和化学制品制造业外商及港澳台商投资工业企业存货,化学纤维制造业外商及港澳台商投资工业企业存货,医药制造业外商及港澳台商投资工业企业存货,印刷和记录媒介复制业外商及港澳台商投资工业企业存货,外商及港澳台商投资工业企业存货,家具制造业外商及港澳台商投资工业企业存货,废弃资源综合利用业外商及港澳台商投资工业企业存货,开采辅助活动外商及港澳台商投资工业企业存货,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业存货,有色金属冶炼和压延加工业外商及港澳台商投资工业企业存货,有色金属矿采选业外商及港澳台商投资工业企业存货,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业存货,橡胶和塑料制品业外商及港澳台商投资工业企业存货,水的生产和供应业外商及港澳台商投资工业企业存货,汽车制造业外商及港澳台商投资工业企业存货,烟草制品业外商及港澳台商投资工业企业存货,煤炭开采和洗选业外商及港澳台商投资工业企业存货,燃气生产和供应业外商及港澳台商投资工业企业存货,电力、热力生产和供应业外商及港澳台商投资工业企业存货,电气机械和器材制造业外商及港澳台商投资工业企业存货,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业存货,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业存货,石油和天然气开采业外商及港澳台商投资工业企业存货,纺织业外商及港澳台商投资工业企业存货,纺织服装、服饰业外商及港澳台商投资工业企业存货,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业存货,通用设备制造业外商及港澳台商投资工业企业存货,造纸和纸制品业外商及港澳台商投资工业企业存货,酒、饮料和精制茶制造业外商及港澳台商投资工业企业存货,金属制品、机械和设备修理业外商及港澳台商投资工业企业存货,金属制品业外商及港澳台商投资工业企业存货,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业存货,非金属矿物制品业外商及港澳台商投资工业企业存货,非金属矿采选业外商及港澳台商投资工业企业存货,食品制造业外商及港澳台商投资工业企业存货,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业存货,黑色金属矿采选业外商及港澳台商投资工业企业存货
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,1236.15991,320.16635,68.01536,,1033.57925,1454.31345,231.32617,604.85489,123.58789,23510.76,235.68478,88.96644,3.749,503.30538,577.19548,13.97642,126.14758,840.63567,7.26038,1648.52391,0.08898,104.42133,50.08596,163.34957,1619.05351,466.5963,494.35211,28.33997,762.97798,721.30936,3984.60256,1737.73699,409.08461,378.69253,29.69117,791.0114,624.15146,607.10857,7.47872,410.17099,989.48888,13.52157
2013年,1251.67,336.03,73.82,0.0,1008.01,1560.24,257.36,677.39,134.58,24399.05,252.58,75.49,6.14,595.99,584.24,18.11,130.45,876.05,8.77,1873.19,0.11,149.63,51.79,152.49,1641.83,460.47,560.15,31.95,809.86,730.97,3973.23,1787.45,405.62,402.45,31.23,789.87,593.26,628.37,9.12,432.53,1025.96,10.6
2014年,1279.04,346.37,72.12,0.0,1029.0,1603.33,256.54,733.53,136.01,24840.3,250.72,43.81,4.31,594.76,569.17,27.08,130.48,854.69,10.22,2240.33,0.1,297.37,54.21,147.33,1660.95,468.99,388.08,36.14,792.24,704.4,4159.93,1813.12,405.82,400.78,39.93,814.28,586.89,626.24,9.39,452.54,783.17,16.86
