,专用设备制造业外商及港澳台商投资工业企业资产总计,仪器仪表制造业外商及港澳台商投资工业企业资产总计,其他制造业外商及港澳台商投资工业企业资产总计,其他采矿业外商及港澳台商投资工业企业资产总计,农副食品加工业外商及港澳台商投资工业企业资产总计,化学原料和化学制品制造业外商及港澳台商投资工业企业资产总计,化学纤维制造业外商及港澳台商投资工业企业资产总计,医药制造业外商及港澳台商投资工业企业资产总计,印刷和记录媒介复制业外商及港澳台商投资工业企业资产总计,外商及港澳台商投资工业企业资产总计,家具制造业外商及港澳台商投资工业企业资产总计,废弃资源综合利用业外商及港澳台商投资工业企业资产总计,开采辅助活动外商及港澳台商投资工业企业资产总计,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业资产总计,有色金属冶炼和压延加工业外商及港澳台商投资工业企业资产总计,有色金属矿采选业外商及港澳台商投资工业企业资产总计,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业资产总计,橡胶和塑料制品业外商及港澳台商投资工业企业资产总计,水的生产和供应业外商及港澳台商投资工业企业资产总计,汽车制造业外商及港澳台商投资工业企业资产总计,烟草制品业外商及港澳台商投资工业企业资产总计,煤炭开采和洗选业外商及港澳台商投资工业企业资产总计,燃气生产和供应业外商及港澳台商投资工业企业资产总计,电力、热力生产和供应业外商及港澳台商投资工业企业资产总计,电气机械和器材制造业外商及港澳台商投资工业企业资产总计,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业资产总计,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业资产总计,石油和天然气开采业外商及港澳台商投资工业企业资产总计,纺织业外商及港澳台商投资工业企业资产总计,纺织服装、服饰业外商及港澳台商投资工业企业资产总计,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业资产总计,通用设备制造业外商及港澳台商投资工业企业资产总计,造纸和纸制品业外商及港澳台商投资工业企业资产总计,酒、饮料和精制茶制造业外商及港澳台商投资工业企业资产总计,金属制品、机械和设备修理业外商及港澳台商投资工业企业资产总计,金属制品业外商及港澳台商投资工业企业资产总计,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业资产总计,非金属矿物制品业外商及港澳台商投资工业企业资产总计,非金属矿采选业外商及港澳台商投资工业企业资产总计,食品制造业外商及港澳台商投资工业企业资产总计,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业资产总计,黑色金属矿采选业外商及港澳台商投资工业企业资产总计
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,6551.56336,1751.51051,396.47779,,5788.12201,13444.1678,1841.65622,4017.281,1072.00953,172320.28,1199.79892,391.61028,122.32482,1985.39113,3931.88108,210.33656,645.38,5799.44263,1012.66206,16210.93069,1.58533,1866.49602,1763.37085,6538.22898,11744.41753,2595.58215,2608.81858,730.32733,4672.80245,3777.35763,28031.10691,9037.96854,4942.78462,3097.02571,348.6646,4624.51695,3670.96885,5803.52824,95.65636,3663.12282,6111.52043,221.88639
2013年,7060.59,1874.22,419.58,0.0,5878.67,15149.8,2023.86,4501.61,1184.93,188661.42,1327.27,351.99,133.48,2293.21,4655.55,214.72,667.91,6158.23,1133.48,19394.46,1.88,2066.87,2205.09,6753.56,12435.31,2663.12,2650.55,783.48,4794.07,3965.81,30896.36,10003.25,5290.87,3385.02,355.82,4841.57,3804.04,6309.53,108.54,4087.12,6607.48,228.51
2014年,7795.48,2004.95,433.49,0.0,5729.0,16155.29,2085.78,5137.6,1209.88,198162.05,1349.01,262.36,149.58,2502.06,5074.27,296.75,712.66,6152.6,1270.52,21382.04,1.96,2166.15,2451.79,6889.83,12791.18,2773.67,2782.93,905.42,4881.11,4021.1,33299.76,10598.71,5390.98,3622.02,362.52,5164.03,3574.66,6422.49,130.81,4251.86,5711.12,264.63
