,专用设备制造业外商及港澳台商投资工业企业应交所得税,仪器仪表制造业外商及港澳台商投资工业企业应交所得税,其他制造业外商及港澳台商投资工业企业应交所得税,其他采矿业外商及港澳台商投资工业企业应交所得税,农副食品加工业外商及港澳台商投资工业企业应交所得税,化学原料和化学制品制造业外商及港澳台商投资工业企业应交所得税,化学纤维制造业外商及港澳台商投资工业企业应交所得税,医药制造业外商及港澳台商投资工业企业应交所得税,印刷和记录媒介复制业外商及港澳台商投资工业企业应交所得税,外商及港澳台商投资工业企业应交所得税,家具制造业外商及港澳台商投资工业企业应交所得税,废弃资源综合利用业外商及港澳台商投资工业企业应交所得税,开采辅助活动外商及港澳台商投资工业企业应交所得税,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业应交所得税,有色金属冶炼和压延加工业外商及港澳台商投资工业企业应交所得税,有色金属矿采选业外商及港澳台商投资工业企业应交所得税,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业应交所得税,橡胶和塑料制品业外商及港澳台商投资工业企业应交所得税,水的生产和供应业外商及港澳台商投资工业企业应交所得税,汽车制造业外商及港澳台商投资工业企业应交所得税,烟草制品业外商及港澳台商投资工业企业应交所得税,煤炭开采和洗选业外商及港澳台商投资工业企业应交所得税,燃气生产和供应业外商及港澳台商投资工业企业应交所得税,电力、热力生产和供应业外商及港澳台商投资工业企业应交所得税,电气机械和器材制造业外商及港澳台商投资工业企业应交所得税,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业应交所得税,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业应交所得税,石油和天然气开采业外商及港澳台商投资工业企业应交所得税,纺织业外商及港澳台商投资工业企业应交所得税,纺织服装、服饰业外商及港澳台商投资工业企业应交所得税,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业应交所得税,通用设备制造业外商及港澳台商投资工业企业应交所得税,造纸和纸制品业外商及港澳台商投资工业企业应交所得税,酒、饮料和精制茶制造业外商及港澳台商投资工业企业应交所得税,金属制品、机械和设备修理业外商及港澳台商投资工业企业应交所得税,金属制品业外商及港澳台商投资工业企业应交所得税,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业应交所得税,非金属矿物制品业外商及港澳台商投资工业企业应交所得税,非金属矿采选业外商及港澳台商投资工业企业应交所得税,食品制造业外商及港澳台商投资工业企业应交所得税,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业应交所得税,黑色金属矿采选业外商及港澳台商投资工业企业应交所得税
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,78.61736,32.29135,5.05321,,57.54718,179.26053,13.50244,83.08077,20.02918,2207.54,12.76543,1.60695,1.22273,26.71099,27.33523,6.62142,7.31007,60.94652,7.63449,381.50783,,28.0041,28.45641,57.05285,136.091,35.04347,6.83805,41.69541,45.14783,59.99107,278.32784,140.98556,34.27204,47.84312,1.91803,55.44519,41.38804,53.69243,1.54296,79.71592,28.18406,2.85969
2013年,89.47,35.57,5.46,0.0,63.41,207.04,13.93,91.93,22.5,2645.7,13.57,1.3,1.51,31.36,28.42,4.8,8.73,74.7,10.22,512.24,0.21,25.0,36.54,101.58,147.94,36.35,26.22,55.41,53.21,61.2,322.63,161.04,39.28,65.53,2.46,59.13,39.67,63.97,1.47,96.01,31.27,3.45
2014年,81.98,36.48,5.25,0.0,61.28,213.26,17.07,114.81,22.68,2884.56,13.92,0.47,1.81,34.36,24.35,3.94,7.27,75.92,12.28,634.79,0.19,16.45,40.3,132.71,168.46,36.24,15.15,38.16,51.77,61.65,374.53,176.43,36.32,61.68,1.84,61.63,42.45,77.64,1.68,89.08,36.64,1.67
