,专用设备制造业外商及港澳台商投资工业企业管理费用,仪器仪表制造业外商及港澳台商投资工业企业管理费用,其他制造业外商及港澳台商投资工业企业管理费用,其他采矿业外商及港澳台商投资工业企业管理费用,农副食品加工业外商及港澳台商投资工业企业管理费用,化学原料和化学制品制造业外商及港澳台商投资工业企业管理费用,化学纤维制造业外商及港澳台商投资工业企业管理费用,医药制造业外商及港澳台商投资工业企业管理费用,印刷和记录媒介复制业外商及港澳台商投资工业企业管理费用,外商及港澳台商投资工业企业管理费用,家具制造业外商及港澳台商投资工业企业管理费用,废弃资源综合利用业外商及港澳台商投资工业企业管理费用,开采辅助活动外商及港澳台商投资工业企业管理费用,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业管理费用,有色金属冶炼和压延加工业外商及港澳台商投资工业企业管理费用,有色金属矿采选业外商及港澳台商投资工业企业管理费用,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业管理费用,橡胶和塑料制品业外商及港澳台商投资工业企业管理费用,水的生产和供应业外商及港澳台商投资工业企业管理费用,汽车制造业外商及港澳台商投资工业企业管理费用,烟草制品业外商及港澳台商投资工业企业管理费用,煤炭开采和洗选业外商及港澳台商投资工业企业管理费用,燃气生产和供应业外商及港澳台商投资工业企业管理费用,电力、热力生产和供应业外商及港澳台商投资工业企业管理费用,电气机械和器材制造业外商及港澳台商投资工业企业管理费用,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业管理费用,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业管理费用,石油和天然气开采业外商及港澳台商投资工业企业管理费用,纺织业外商及港澳台商投资工业企业管理费用,纺织服装、服饰业外商及港澳台商投资工业企业管理费用,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业管理费用,通用设备制造业外商及港澳台商投资工业企业管理费用,造纸和纸制品业外商及港澳台商投资工业企业管理费用,酒、饮料和精制茶制造业外商及港澳台商投资工业企业管理费用,金属制品、机械和设备修理业外商及港澳台商投资工业企业管理费用,金属制品业外商及港澳台商投资工业企业管理费用,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业管理费用,非金属矿物制品业外商及港澳台商投资工业企业管理费用,非金属矿采选业外商及港澳台商投资工业企业管理费用,食品制造业外商及港澳台商投资工业企业管理费用,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业管理费用,黑色金属矿采选业外商及港澳台商投资工业企业管理费用
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,410.96093,151.02786,29.45013,,226.7546,603.49842,63.26339,294.83979,69.90856,8982.57,83.85446,8.29959,25.33502,165.45406,124.88169,11.26622,35.73594,341.53766,28.4396,1070.2658,0.22025,42.6088,59.07323,78.12241,699.18376,209.80191,74.72388,12.06333,203.28235,300.45237,1556.53457,594.06538,129.88543,154.61485,23.81282,283.34572,137.68408,246.51935,7.28468,225.2812,192.8253,6.41187
2013年,447.46,163.87,28.42,0.0,217.58,655.75,76.01,338.1,77.18,9878.32,95.32,13.27,16.34,193.84,130.49,11.75,39.33,371.4,31.06,1319.22,0.23,44.64,69.25,81.98,769.32,212.18,83.91,15.07,209.01,302.4,1716.67,664.49,137.94,164.44,25.22,306.82,137.66,270.03,8.0,253.66,170.59,8.44
2014年,466.69,173.24,29.96,0.0,210.77,735.94,74.05,366.84,78.64,10365.13,101.66,9.74,15.44,204.71,136.2,10.92,43.1,381.68,26.48,1524.67,0.27,45.2,71.89,71.36,796.91,218.73,84.43,4.29,212.25,296.7,1726.34,711.85,146.16,170.91,22.27,334.57,141.21,275.94,7.92,267.12,159.3,8.76
