,专用设备制造业外商及港澳台商投资工业企业利息支出,仪器仪表制造业外商及港澳台商投资工业企业利息支出,其他制造业外商及港澳台商投资工业企业利息支出,其他采矿业外商及港澳台商投资工业企业利息支出,农副食品加工业外商及港澳台商投资工业企业利息支出,化学原料和化学制品制造业外商及港澳台商投资工业企业利息支出,化学纤维制造业外商及港澳台商投资工业企业利息支出,医药制造业外商及港澳台商投资工业企业利息支出,印刷和记录媒介复制业外商及港澳台商投资工业企业利息支出,外商及港澳台商投资工业企业利息支出,家具制造业外商及港澳台商投资工业企业利息支出,废弃资源综合利用业外商及港澳台商投资工业企业利息支出,开采辅助活动外商及港澳台商投资工业企业利息支出,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业利息支出,有色金属冶炼和压延加工业外商及港澳台商投资工业企业利息支出,有色金属矿采选业外商及港澳台商投资工业企业利息支出,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业利息支出,橡胶和塑料制品业外商及港澳台商投资工业企业利息支出,水的生产和供应业外商及港澳台商投资工业企业利息支出,汽车制造业外商及港澳台商投资工业企业利息支出,烟草制品业外商及港澳台商投资工业企业利息支出,煤炭开采和洗选业外商及港澳台商投资工业企业利息支出,燃气生产和供应业外商及港澳台商投资工业企业利息支出,电力、热力生产和供应业外商及港澳台商投资工业企业利息支出,电气机械和器材制造业外商及港澳台商投资工业企业利息支出,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业利息支出,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业利息支出,石油和天然气开采业外商及港澳台商投资工业企业利息支出,纺织业外商及港澳台商投资工业企业利息支出,纺织服装、服饰业外商及港澳台商投资工业企业利息支出,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业利息支出,通用设备制造业外商及港澳台商投资工业企业利息支出,造纸和纸制品业外商及港澳台商投资工业企业利息支出,酒、饮料和精制茶制造业外商及港澳台商投资工业企业利息支出,金属制品、机械和设备修理业外商及港澳台商投资工业企业利息支出,金属制品业外商及港澳台商投资工业企业利息支出,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业利息支出,非金属矿物制品业外商及港澳台商投资工业企业利息支出,非金属矿采选业外商及港澳台商投资工业企业利息支出,食品制造业外商及港澳台商投资工业企业利息支出,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业利息支出,黑色金属矿采选业外商及港澳台商投资工业企业利息支出
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,66.47917,11.68648,3.9084,,89.13815,180.92921,37.98809,37.33532,7.61017,1910.74,11.39804,9.00992,0.58735,24.1311,76.68523,1.90679,9.36599,71.33174,18.34893,75.96603,0.01227,21.00844,15.72812,157.28397,140.19686,31.22128,49.26486,2.17791,69.47068,42.60659,165.71536,66.6818,82.10801,23.6262,5.40642,48.79915,36.51125,80.48505,1.53095,27.17975,107.65203,2.26993
2013年,64.42,10.7,4.24,0.0,77.41,184.18,38.88,38.96,8.11,1853.27,12.93,6.94,0.67,23.7,86.83,1.63,9.8,64.23,19.88,82.71,0.02,33.72,19.15,144.58,129.56,29.29,47.06,0.54,69.57,41.13,137.69,64.56,78.36,22.26,5.09,45.25,28.08,76.84,1.77,29.98,111.33,1.19
2014年,63.22,10.61,4.06,0.0,74.22,198.58,40.07,44.19,8.29,1933.42,13.61,3.52,0.98,25.91,101.24,4.27,10.35,61.63,19.49,99.7,0.02,29.31,20.85,148.33,118.83,30.09,45.68,1.08,68.52,40.88,172.98,73.69,80.32,20.6,13.65,47.31,33.32,76.39,2.12,26.33,97.74,1.44
