,采矿业总投入,采矿业部门生产1单位总产出对中间投入产品的消耗量,采矿业部门生产1单位总产出对其他制造业部门产品的消耗量,采矿业部门生产1单位总产出对其他服务业部门产品的消耗量,采矿业部门生产1单位总产出对农、林、牧、渔业部门产品的消耗量,采矿业部门生产1单位总产出对劳动者报酬产品的消耗量,采矿业部门生产1单位总产出对化学工业部门产品的消耗量,采矿业部门生产1单位总产出对固定资产折旧产品的消耗量,采矿业部门生产1单位总产出对增加值产品的消耗量,采矿业部门生产1单位总产出对建筑业部门产品的消耗量,采矿业部门生产1单位总产出对房地产业、租赁和商务服务业部门产品的消耗量,采矿业部门生产1单位总产出对批发零售贸易、住宿和餐饮业部门产品的消耗量,采矿业部门生产1单位总产出对机械设备制造业部门产品的消耗量,采矿业部门生产1单位总产出对炼焦、燃气及石油加工业部门产品的消耗量,采矿业部门生产1单位总产出对生产税净额产品的消耗量,采矿业部门生产1单位总产出对电力、热力及水的生产和供应业部门产品的消耗量,采矿业部门生产1单位总产出对纺织、服装及皮革产品制造业部门产品的消耗量,采矿业部门生产1单位总产出对营业盈余产品的消耗量,采矿业部门生产1单位总产出对运输仓储邮政、信息传输、计算机服务和软件业部门产品的消耗量,采矿业部门生产1单位总产出对采矿业部门产品的消耗量,采矿业部门生产1单位总产出对金属产品制造业部门产品的消耗量,采矿业部门生产1单位总产出对金融业部门产品的消耗量,采矿业部门生产1单位总产出对非金属矿物制品业部门产品的消耗量,采矿业部门生产1单位总产出对食品、饮料制造及烟草制品业部门产品的消耗量
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,1.0,0.527095035885,0.0118949426731,0.0241722517851,0.00267734073537,0.166655201637,0.0382961296156,0.0513797021732,0.472904964115,0.000925774560558,0.00382083054467,0.0223449482594,0.0963060829832,0.0375635653741,0.0862325394392,0.0819004513843,0.00467835416768,0.168637520866,0.0438974119003,0.0749895433972,0.0534390797788,0.0149225899531,0.0130535156157,0.00221222315653
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,1.0,0.547864802229,0.0109672326248,0.0205666428799,0.00333995300503,0.154583652287,0.0397280812957,0.0472572802267,0.452135197771,0.000872189855071,0.00456262393182,0.0212611931152,0.0997172899415,0.0318791702171,0.108127663782,0.0741949084145,0.00402043428909,0.142166601475,0.0443966872599,0.115916452392,0.0484496940433,0.0134432670776,0.0126485895396,0.00190039234713
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,1.0,0.510181557091,0.0120140899996,0.0183857450055,0.000466490842416,0.194754771688,0.0355664614457,0.051196944908,0.489818442909,0.00233968403204,0.0173968512923,0.0177947072799,0.0603263262472,0.0287806693096,0.115153933477,0.0583757583398,0.00303542780998,0.128712792836,0.0259020076495,0.13358734873,0.0512209508212,0.034400074387,0.00622927765936,0.00435968623993
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
