,15-19岁育龄妇女第一孩次出生人口数(人口抽样调查),15岁育龄妇女第一孩次出生人口数(人口抽样调查),16岁育龄妇女第一孩次出生人口数(人口抽样调查),17岁育龄妇女第一孩次出生人口数(人口抽样调查),18岁育龄妇女第一孩次出生人口数(人口抽样调查),19岁育龄妇女第一孩次出生人口数(人口抽样调查),20-24岁育龄妇女第一孩次出生人口数(人口抽样调查),20岁育龄妇女第一孩次出生人口数(人口抽样调查),21岁育龄妇女第一孩次出生人口数(人口抽样调查),22岁育龄妇女第一孩次出生人口数(人口抽样调查),23岁育龄妇女第一孩次出生人口数(人口抽样调查),24岁育龄妇女第一孩次出生人口数(人口抽样调查),25-29岁育龄妇女第一孩次出生人口数(人口抽样调查),25岁育龄妇女第一孩次出生人口数(人口抽样调查),26岁育龄妇女第一孩次出生人口数(人口抽样调查),27岁育龄妇女第一孩次出生人口数(人口抽样调查),28岁育龄妇女第一孩次出生人口数(人口抽样调查),29岁育龄妇女第一孩次出生人口数(人口抽样调查),30-34岁育龄妇女第一孩次出生人口数(人口抽样调查),30岁育龄妇女第一孩次出生人口数(人口抽样调查),31岁育龄妇女第一孩次出生人口数(人口抽样调查),32岁育龄妇女第一孩次出生人口数(人口抽样调查),33岁育龄妇女第一孩次出生人口数(人口抽样调查),34岁育龄妇女第一孩次出生人口数(人口抽样调查),35-39岁育龄妇女第一孩次出生人口数(人口抽样调查),35岁育龄妇女第一孩次出生人口数(人口抽样调查),36岁育龄妇女第一孩次出生人口数(人口抽样调查),37岁育龄妇女第一孩次出生人口数(人口抽样调查),38岁育龄妇女第一孩次出生人口数(人口抽样调查),39岁育龄妇女第一孩次出生人口数(人口抽样调查),40-44岁育龄妇女第一孩次出生人口数(人口抽样调查),40岁育龄妇女第一孩次出生人口数(人口抽样调查),41岁育龄妇女第一孩次出生人口数(人口抽样调查),42岁育龄妇女第一孩次出生人口数(人口抽样调查),43岁育龄妇女第一孩次出生人口数(人口抽样调查),44岁育龄妇女第一孩次出生人口数(人口抽样调查),45-49岁育龄妇女第一孩次出生人口数(人口抽样调查),45岁育龄妇女第一孩次出生人口数(人口抽样调查),46岁育龄妇女第一孩次出生人口数(人口抽样调查),47岁育龄妇女第一孩次出生人口数(人口抽样调查),48岁育龄妇女第一孩次出生人口数(人口抽样调查),49岁育龄妇女第一孩次出生人口数(人口抽样调查),第一孩次出生人口数(人口抽样调查)
2003年,238.0,6.0,8.0,21.0,55.0,147.0,4614.0,420.0,786.0,1021.0,1160.0,1227.0,3440.0,1030.0,824.0,706.0,508.0,373.0,743.0,278.0,193.0,128.0,86.0,59.0,106.0,47.0,27.0,14.0,12.0,6.0,12.0,3.0,4.0,2.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,9159.0
2004年,258.0,3.0,10.0,29.0,64.0,152.0,4593.0,396.0,820.0,1079.0,1144.0,1154.0,3495.0,1063.0,875.0,663.0,514.0,381.0,807.0,270.0,198.0,148.0,108.0,83.0,141.0,56.0,35.0,19.0,17.0,14.0,20.0,8.0,6.0,3.0,1.0,1.0,5.0,,1.0,1.0,2.0,2.0,9319.0
2005年,3993.0,17.0,88.0,402.0,1019.0,2466.0,55745.0,6344.0,10302.0,12802.0,14169.0,12128.0,33103.0,10829.0,8299.0,6114.0,4511.0,3350.0,6925.0,2390.0,1782.0,1185.0,860.0,709.0,1275.0,452.0,367.0,215.0,125.0,116.0,240.0,84.0,59.0,47.0,20.0,30.0,101.0,14.0,28.0,14.0,22.0,23.0,101383.0
2006年,210.0,0.0,7.0,24.0,53.0,126.0,3604.0,352.0,606.0,806.0,839.0,1001.0,2629.0,776.0,635.0,553.0,385.0,281.0,707.0,223.0,183.0,127.0,87.0,87.0,252.0,85.0,62.0,42.0,36.0,26.0,120.0,23.0,26.0,24.0,17.0,31.0,49.0,10.0,11.0,9.0,10.0,9.0,7571.0
2007年,166.0,,,10.0,58.0,98.0,3422.0,349.0,658.0,728.0,804.0,883.0,2905.0,842.0,671.0,583.0,462.0,347.0,867.0,216.0,231.0,172.0,138.0,110.0,405.0,91.0,104.0,74.0,63.0,73.0,205.0,50.0,42.0,37.0,39.0,36.0,122.0,21.0,18.0,38.0,18.0,27.0,8133.0
2008年,215.0,1.0,2.0,14.0,51.0,147.0,3455.0,329.0,701.0,803.0,784.0,838.0,2727.0,685.0,697.0,524.0,452.0,370.0,917.0,274.0,170.0,191.0,153.0,129.0,493.0,94.0,122.0,82.0,108.0,87.0,333.0,72.0,63.0,68.0,76.0,55.0,188.0,65.0,47.0,22.0,29.0,23.0,8377.0
2009年,219.0,1.0,9.0,18.0,47.0,145.0,3395.0,364.0,602.0,852.0,856.0,722.0,2441.0,661.0,541.0,541.0,370.0,329.0,782.0,234.0,186.0,126.0,129.0,107.0,372.0,90.0,68.0,80.0,60.0,75.0,265.0,66.0,73.0,36.0,47.0,43.0,196.0,47.0,47.0,38.0,28.0,36.0,7693.0
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,218.0,7.0,9.0,33.0,57.0,112.0,3057.0,257.0,584.0,658.0,739.0,818.0,2291.0,621.0,520.0,398.0,363.0,390.0,622.0,218.0,161.0,110.0,82.0,51.0,147.0,47.0,28.0,28.0,28.0,16.0,60.0,18.0,18.0,8.0,13.0,3.0,31.0,6.0,4.0,5.0,12.0,5.0,6428.0
2012年,231.0,,11.0,37.0,69.0,113.0,3090.0,236.0,462.0,749.0,873.0,770.0,2867.0,765.0,687.0,501.0,493.0,422.0,893.0,323.0,212.0,158.0,113.0,87.0,215.0,52.0,55.0,42.0,34.0,33.0,79.0,34.0,12.0,18.0,7.0,8.0,37.0,7.0,9.0,5.0,4.0,11.0,7412.0
2013年,244.0,2.0,13.0,44.0,81.0,104.0,2777.0,237.0,395.0,547.0,807.0,792.0,2772.0,721.0,671.0,554.0,482.0,344.0,932.0,270.0,240.0,159.0,146.0,117.0,250.0,77.0,58.0,44.0,37.0,35.0,79.0,26.0,19.0,13.0,11.0,10.0,38.0,11.0,5.0,5.0,6.0,11.0,7092.0
2014年,318.0,5.0,16.0,52.0,88.0,158.0,2733.0,327.0,434.0,484.0,731.0,756.0,2591.0,698.0,674.0,530.0,375.0,314.0,692.0,219.0,173.0,141.0,84.0,75.0,174.0,65.0,37.0,33.0,24.0,14.0,38.0,9.0,14.0,8.0,6.0,1.0,8.0,,3.0,2.0,2.0,1.0,6553.0
