,15-19岁育龄妇女第一孩次生育率(人口抽样调查),15岁育龄妇女第一孩次生育率(人口抽样调查),16岁育龄妇女第一孩次生育率(人口抽样调查),17岁育龄妇女第一孩次生育率(人口抽样调查),18岁育龄妇女第一孩次生育率(人口抽样调查),19岁育龄妇女第一孩次生育率(人口抽样调查),20-24岁育龄妇女第一孩次生育率(人口抽样调查),20岁育龄妇女第一孩次生育率(人口抽样调查),21岁育龄妇女第一孩次生育率(人口抽样调查),22岁育龄妇女第一孩次生育率(人口抽样调查),23岁育龄妇女第一孩次生育率(人口抽样调查),24岁育龄妇女第一孩次生育率(人口抽样调查),25-29岁育龄妇女第一孩次生育率(人口抽样调查),25岁育龄妇女第一孩次生育率(人口抽样调查),26岁育龄妇女第一孩次生育率(人口抽样调查),27岁育龄妇女第一孩次生育率(人口抽样调查),28岁育龄妇女第一孩次生育率(人口抽样调查),29岁育龄妇女第一孩次生育率(人口抽样调查),30-34岁育龄妇女第一孩次生育率(人口抽样调查),30岁育龄妇女第一孩次生育率(人口抽样调查),31岁育龄妇女第一孩次生育率(人口抽样调查),32岁育龄妇女第一孩次生育率(人口抽样调查),33岁育龄妇女第一孩次生育率(人口抽样调查),34岁育龄妇女第一孩次生育率(人口抽样调查),35-39岁育龄妇女第一孩次生育率(人口抽样调查),35岁育龄妇女第一孩次生育率(人口抽样调查),36岁育龄妇女第一孩次生育率(人口抽样调查),37岁育龄妇女第一孩次生育率(人口抽样调查),38岁育龄妇女第一孩次生育率(人口抽样调查),39岁育龄妇女第一孩次生育率(人口抽样调查),40-44岁育龄妇女第一孩次生育率(人口抽样调查),40岁育龄妇女第一孩次生育率(人口抽样调查),41岁育龄妇女第一孩次生育率(人口抽样调查),42岁育龄妇女第一孩次生育率(人口抽样调查),43岁育龄妇女第一孩次生育率(人口抽样调查),44岁育龄妇女第一孩次生育率(人口抽样调查),45-49岁育龄妇女第一孩次生育率(人口抽样调查),45岁育龄妇女第一孩次生育率(人口抽样调查),46岁育龄妇女第一孩次生育率(人口抽样调查),47岁育龄妇女第一孩次生育率(人口抽样调查),48岁育龄妇女第一孩次生育率(人口抽样调查),49岁育龄妇女第一孩次生育率(人口抽样调查),第一孩次生育率(人口抽样调查)
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,4.99,0.51,0.75,2.28,7.07,19.72,111.73,53.13,96.58,128.89,137.67,137.86,70.86,121.19,93.17,72.28,49.18,33.53,11.82,23.98,15.96,9.81,6.58,4.49,1.73,3.81,2.32,1.17,1.01,0.42,0.28,0.26,0.47,0.28,0.18,0.2,0.12,0.11,0.14,0.08,0.1,0.2,26.12
2004年,5.14,0.27,0.83,2.71,7.41,20.32,111.69,53.19,99.52,125.26,138.38,134.96,75.95,120.4,102.24,74.83,53.91,37.16,13.51,24.91,17.55,12.42,8.5,6.43,2.3,4.3,2.83,1.67,1.41,1.12,0.41,0.63,0.47,0.39,0.17,0.16,0.12,0.0,0.06,0.11,0.16,0.24,26.53
2005年,6.01,0.11,0.62,2.91,8.5,23.75,103.09,63.79,101.27,113.13,118.47,113.58,56.88,93.96,72.88,55.31,38.91,26.51,9.12,17.86,12.31,7.71,5.46,4.19,1.53,2.66,2.0,1.35,0.82,0.68,0.34,0.51,0.33,0.26,0.2,0.34,0.17,0.14,0.27,0.11,0.17,0.18,21.68
2006年,4.25,0.04,0.59,2.33,5.63,13.88,92.68,42.95,86.05,108.14,111.41,115.5,68.75,100.65,85.87,69.92,48.66,38.35,14.85,25.89,21.24,13.18,8.44,8.32,4.34,7.5,5.01,3.68,2.89,2.54,2.05,1.92,2.23,2.06,1.27,2.99,1.27,1.75,1.51,1.32,1.17,0.87,23.02
2007年,3.58,0.0,0.03,0.94,5.86,11.25,85.39,37.56,77.74,98.85,107.11,118.5,73.53,98.49,86.7,77.87,58.47,44.29,19.65,29.0,27.78,19.84,14.57,10.77,6.95,8.62,9.34,5.95,5.42,5.84,3.52,4.9,3.58,3.15,3.43,2.78,3.2,2.11,3.09,5.26,2.74,3.18,25.04
2008年,4.96,0.1,0.2,1.72,5.07,16.2,84.51,38.46,76.75,96.55,105.49,112.45,70.08,90.62,81.22,70.3,59.28,47.99,22.16,34.14,23.69,22.76,18.06,13.84,8.92,9.16,11.56,7.72,8.75,7.56,5.84,5.81,6.15,5.81,6.59,4.84,4.4,4.93,4.75,3.96,4.06,3.55,26.22
2009年,5.57,0.12,1.14,2.39,6.14,15.31,77.8,38.62,69.8,88.41,102.02,95.32,64.57,89.01,73.21,65.17,50.28,44.81,19.6,30.51,24.05,17.14,15.41,12.18,6.95,9.45,6.61,7.44,5.47,6.18,4.69,5.79,5.99,3.54,4.12,3.8,4.2,4.2,3.6,3.91,4.98,5.07,24.24
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,5.69,0.94,1.24,4.57,7.19,13.24,57.34,27.17,51.12,60.6,71.44,72.97,51.74,63.97,61.1,47.8,44.0,41.06,15.45,26.73,20.4,13.4,9.93,6.57,3.1,5.37,3.25,2.93,2.76,1.54,1.13,1.73,1.58,0.76,1.11,0.38,0.63,0.59,0.36,0.51,1.05,0.58,19.75
2012年,6.43,0.0,1.45,5.31,9.93,14.84,60.23,27.59,44.51,65.83,83.34,73.19,65.68,77.82,78.25,60.33,60.82,48.79,22.21,36.32,27.57,19.69,14.21,11.35,4.8,6.58,6.52,4.66,3.53,3.28,1.51,3.33,1.14,1.7,0.61,0.82,0.75,0.82,0.94,0.52,0.4,1.1,23.38
2013年,7.32,0.34,1.95,6.07,12.97,14.84,58.17,29.58,47.08,56.12,71.38,76.85,61.22,69.88,66.82,62.19,58.79,44.02,22.84,32.45,27.89,20.6,17.79,14.67,5.96,10.35,7.43,5.23,4.13,3.68,1.52,2.61,1.97,1.21,1.06,0.86,0.8,1.21,0.56,0.53,0.63,1.05,22.96
2014年,10.06,0.87,2.63,8.59,13.52,21.83,60.46,42.17,54.29,60.04,72.6,66.76,54.13,68.71,63.6,53.01,41.68,38.71,17.01,27.77,20.63,15.97,11.14,9.34,4.3,8.16,5.0,4.18,2.83,1.6,0.75,0.94,1.4,0.81,0.57,0.09,0.17,0.0,0.33,0.22,0.2,0.11,21.5040707767
