,专用设备制造业规模以上工业企业产成品,仪器仪表制造业规模以上工业企业产成品,其他制造业规模以上工业企业产成品,其他采矿业规模以上工业企业产成品,农副食品加工业规模以上工业企业产成品,化学原料和化学制品制造业规模以上工业企业产成品,化学纤维制造业规模以上工业企业产成品,医药制造业规模以上工业企业产成品,印刷和记录媒介复制业规模以上工业企业产成品,家具制造业规模以上工业企业产成品,废弃资源综合利用业规模以上工业企业产成品,开采辅助活动规模以上工业企业产成品,文教、工美、体育和娱乐用品制造业规模以上工业企业产成品,有色金属冶炼和压延加工业规模以上工业企业产成品,有色金属矿采选业规模以上工业企业产成品,木材加工和木、竹、藤、棕、草制品业规模以上工业企业产成品,橡胶和塑料制品业规模以上工业企业产成品,水的生产和供应业规模以上工业企业产成品,汽车制造业规模以上工业企业产成品,烟草制品业规模以上工业企业产成品,煤炭开采和洗选业规模以上工业企业产成品,燃气生产和供应业规模以上工业企业产成品,电力、热力生产和供应业规模以上工业企业产成品,电气机械和器材制造业规模以上工业企业产成品,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业产成品,石油加工、炼焦和核燃料加工业规模以上工业企业产成品,石油和天然气开采业规模以上工业企业产成品,纺织业规模以上工业企业产成品,纺织服装、服饰业规模以上工业企业产成品,规模以上工业企业产成品,计算机、通信和其他电子设备制造业规模以上工业企业产成品,通用设备制造业规模以上工业企业产成品,造纸和纸制品业规模以上工业企业产成品,酒、饮料和精制茶制造业规模以上工业企业产成品,金属制品、机械和设备修理业规模以上工业企业产成品,金属制品业规模以上工业企业产成品,铁路、船舶、航空航天和其他运输设备规模以上工业企业产成品,非金属矿物制品业规模以上工业企业产成品,非金属矿采选业规模以上工业企业产成品,食品制造业规模以上工业企业产成品,黑色金属冶炼和压延加工业规模以上工业企业产成品,黑色金属矿采选业规模以上工业企业产成品
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,1528.81443,293.12256,75.06047,0.29355,1779.68195,2389.24113,356.7847,877.57857,160.09245,210.17646,128.89902,21.97765,584.55853,1538.39395,188.6124,301.09177,947.45997,8.58126,1806.8839,229.49695,795.93585,36.96829,76.75491,2405.32261,323.64887,1058.20638,95.50535,1413.74606,861.04298,31919.19469,2000.44731,1801.47022,469.62039,602.64432,30.17022,1072.08729,466.88664,1505.83225,101.81443,529.94351,2574.85942,269.48572
2013年,1606.48,309.34,91.87,0.29,1979.45,2535.52,403.73,971.56,187.13,247.57,130.61,9.24,667.79,1567.95,203.02,335.35,1003.67,9.55,2014.23,215.92,888.46,43.07,85.48,2619.22,350.86,1112.57,110.79,1463.95,919.18,34535.8,2148.58,1996.28,448.89,717.89,23.4,1205.45,500.98,1674.95,120.1,553.85,2782.87,278.71
2014年,1767.55,355.59,112.9,0.33,2114.69,2797.96,380.53,1161.04,210.84,288.54,132.07,12.34,780.33,1657.2,207.36,382.42,1146.75,12.25,2413.37,301.24,977.23,35.93,106.36,2915.77,423.61,1188.85,99.82,1541.41,954.9,38359.51,2629.81,2235.98,477.38,797.43,17.69,1380.36,545.09,1858.04,141.14,638.5,2835.13,323.77
