,专用设备制造业规模以上工业企业本年应交增值税,仪器仪表制造业规模以上工业企业本年应交增值税,其他制造业规模以上工业企业本年应交增值税,其他采矿业规模以上工业企业本年应交增值税,农副食品加工业规模以上工业企业本年应交增值税,化学原料和化学制品制造业规模以上工业企业本年应交增值税,化学纤维制造业规模以上工业企业本年应交增值税,医药制造业规模以上工业企业本年应交增值税,印刷和记录媒介复制业规模以上工业企业本年应交增值税,家具制造业规模以上工业企业本年应交增值税,废弃资源综合利用业规模以上工业企业本年应交增值税,开采辅助活动规模以上工业企业本年应交增值税,文教、工美、体育和娱乐用品制造业规模以上工业企业本年应交增值税,有色金属冶炼和压延加工业规模以上工业企业本年应交增值税,有色金属矿采选业规模以上工业企业本年应交增值税,木材加工和木、竹、藤、棕、草制品业规模以上工业企业本年应交增值税,橡胶和塑料制品业规模以上工业企业本年应交增值税,水的生产和供应业规模以上工业企业本年应交增值税,汽车制造业规模以上工业企业本年应交增值税,烟草制品业规模以上工业企业本年应交增值税,煤炭开采和洗选业规模以上工业企业本年应交增值税,燃气生产和供应业规模以上工业企业本年应交增值税,电力、热力生产和供应业规模以上工业企业本年应交增值税,电气机械和器材制造业规模以上工业企业本年应交增值税,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业本年应交增值税,石油加工、炼焦和核燃料加工业规模以上工业企业本年应交增值税,石油和天然气开采业规模以上工业企业本年应交增值税,纺织业规模以上工业企业本年应交增值税,纺织服装、服饰业规模以上工业企业本年应交增值税,规模以上工业企业本年应交增值税,计算机、通信和其他电子设备制造业规模以上工业企业本年应交增值税,通用设备制造业规模以上工业企业本年应交增值税,造纸和纸制品业规模以上工业企业本年应交增值税,酒、饮料和精制茶制造业规模以上工业企业本年应交增值税,金属制品、机械和设备修理业规模以上工业企业本年应交增值税,金属制品业规模以上工业企业本年应交增值税,铁路、船舶、航空航天和其他运输设备规模以上工业企业本年应交增值税,非金属矿物制品业规模以上工业企业本年应交增值税,非金属矿采选业规模以上工业企业本年应交增值税,食品制造业规模以上工业企业本年应交增值税,黑色金属冶炼和压延加工业规模以上工业企业本年应交增值税,黑色金属矿采选业规模以上工业企业本年应交增值税
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,828.27112,224.12709,55.58684,0.82421,1054.2167,1852.08019,128.07406,822.53906,149.52399,164.9598,101.81418,67.98083,239.27628,918.28895,205.78013,297.87215,600.0176,56.32063,1520.27699,953.3023,2307.28234,81.99568,2198.63806,1462.2374,314.09645,1342.03331,1061.06451,828.16137,505.15979,29566.64,1562.41093,1131.01037,357.68418,600.0639,23.64179,756.60684,436.42684,1603.2058,181.01841,565.96383,1563.32394,443.48291
2013年,987.74,263.04,66.42,0.86,1269.61,2123.19,153.33,990.29,196.61,193.51,127.05,90.48,321.7,1013.08,206.78,350.29,724.38,63.61,1994.95,1031.0,2143.47,99.03,2397.34,1717.68,361.72,1551.45,1048.67,947.13,581.02,33460.27,1835.13,1295.75,374.2,656.07,22.97,886.27,462.16,1911.68,209.1,649.27,1622.8,519.44
2014年,991.88,278.31,72.21,0.77,1204.37,2280.11,157.96,1109.17,224.24,207.66,128.28,89.08,356.7,1050.51,196.5,371.85,745.3,55.66,2206.63,1105.19,1748.98,110.92,2533.54,1858.38,386.37,1529.25,1100.18,987.55,611.03,33979.04,1735.97,1348.55,376.86,635.14,23.16,953.34,476.53,1928.24,211.64,660.78,1469.33,460.92
