,专用设备制造业规模以上工业企业主营业务收入,仪器仪表制造业规模以上工业企业主营业务收入,其他制造业规模以上工业企业主营业务收入,其他采矿业规模以上工业企业主营业务收入,农副食品加工业规模以上工业企业主营业务收入,化学原料和化学制品制造业规模以上工业企业主营业务收入,化学纤维制造业规模以上工业企业主营业务收入,医药制造业规模以上工业企业主营业务收入,印刷和记录媒介复制业规模以上工业企业主营业务收入,家具制造业规模以上工业企业主营业务收入,废弃资源综合利用业规模以上工业企业主营业务收入,开采辅助活动规模以上工业企业主营业务收入,文教、工美、体育和娱乐用品制造业规模以上工业企业主营业务收入,有色金属冶炼和压延加工业规模以上工业企业主营业务收入,有色金属矿采选业规模以上工业企业主营业务收入,木材加工和木、竹、藤、棕、草制品业规模以上工业企业主营业务收入,橡胶和塑料制品业规模以上工业企业主营业务收入,水的生产和供应业规模以上工业企业主营业务收入,汽车制造业规模以上工业企业主营业务收入,烟草制品业规模以上工业企业主营业务收入,煤炭开采和洗选业规模以上工业企业主营业务收入,燃气生产和供应业规模以上工业企业主营业务收入,电力、热力生产和供应业规模以上工业企业主营业务收入,电气机械和器材制造业规模以上工业企业主营业务收入,皮革、毛皮、羽毛及其制品和制鞋业规模以上工业企业主营业务收入,石油加工、炼焦和核燃料加工业规模以上工业企业主营业务收入,石油和天然气开采业规模以上工业企业主营业务收入,纺织业规模以上工业企业主营业务收入,纺织服装、服饰业规模以上工业企业主营业务收入,规模以上工业企业主营业务收入,计算机、通信和其他电子设备制造业规模以上工业企业主营业务收入,通用设备制造业规模以上工业企业主营业务收入,造纸和纸制品业规模以上工业企业主营业务收入,酒、饮料和精制茶制造业规模以上工业企业主营业务收入,金属制品、机械和设备修理业规模以上工业企业主营业务收入,金属制品业规模以上工业企业主营业务收入,铁路、船舶、航空航天和其他运输设备规模以上工业企业主营业务收入,非金属矿物制品业规模以上工业企业主营业务收入,非金属矿采选业规模以上工业企业主营业务收入,食品制造业规模以上工业企业主营业务收入,黑色金属冶炼和压延加工业规模以上工业企业主营业务收入,黑色金属矿采选业规模以上工业企业主营业务收入
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,28711.38713,6656.47805,2073.60506,21.20798,52145.57749,67756.23069,6744.15319,17337.6744,4535.42781,5669.89245,2920.54502,1868.86829,10277.37729,41267.2369,5652.83476,10274.87915,24156.8618,1309.78444,51235.57685,7571.51649,34049.98174,3358.54724,52732.5225,54522.61308,11268.72118,39399.01353,11665.26998,32241.14324,17285.88915,929291.51,70430.06714,38043.25141,12501.49133,13549.14297,885.85823,29069.7456,15748.38294,43989.02869,4211.81266,15834.33191,71559.18269,8758.39651
2013年,32714.72,7567.75,2345.15,22.07,60117.42,76645.34,7055.2,20484.22,6014.77,6641.74,3443.83,2038.53,12935.36,47192.14,6195.79,12004.82,27848.79,1503.17,59692.6,8308.08,32949.89,4059.32,56080.66,61553.59,12643.39,40980.89,11590.08,36076.62,19454.61,1038659.45,78817.8,43575.01,12891.85,15327.37,918.01,33228.95,16362.54,51967.15,4915.45,18546.36,76096.64,9851.79
2014年,34826.39,8347.58,2579.38,24.54,63665.12,83104.14,7158.81,23350.33,6765.3,7273.41,3668.55,2099.53,14939.35,51312.09,6296.76,13246.85,29919.12,1713.53,67818.48,8962.65,30321.97,5227.09,57065.54,66977.77,13896.08,41094.41,11425.21,38294.75,21054.4,1107032.52,85486.3,47016.78,13535.18,16369.97,842.33,36396.44,18158.64,57436.7,5287.58,20399.89,74332.77,9340.81
